game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,5,WOGR,1B1W,LLM,252,OBGY,0B2W,VOI,57,WWYO,0B0W,VOI,5,BGRR,1B3W,VOI,1,GRBR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,4,OGWW,1B0W,LLM,182,BGRR,1B2W,VOI,9,ORBR,1B1W,VOI,3,RGBY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
3,BYYW,True,4,ORRO,0B0W,LLM,256,WGYW,2B0W,VOI,29,WGBG,0B2W,VOI,3,BYYW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
4,BGWY,True,5,WGRR,1B1W,LLM,230,RGBY,2B1W,VOI,9,RGGB,1B1W,VOI,4,YGBW,1B3W,VOI,1,BGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
5,BROG,True,4,GGRO,0B3W,LLM,44,RBOG,2B2W,VOI,2,ROBG,1B3W,VOI,1,BROG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
6,GGWY,True,5,YYYY,1B0W,LLM,500,BGWY,3B0W,VOI,12,WGWY,3B0W,VOI,3,RGWY,3B0W,VOI,2,GGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,6,RWOG,3B0W,LLM,20,RBOG,2B0W,VOI,12,RWGG,2B0W,VOI,7,OWOG,2B0W,VOI,3,RWOR,3B0W,VOI,2,RWOW,4B0W,VOI,1,,,,,,,,,,,,,,,,
8,WGRR,True,5,YOBW,0B1W,LLM,152,RGGB,1B1W,VOI,30,RROG,0B3W,VOI,2,OGRO,2B0W,VOI,1,WGRR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,4,YBYO,1B0W,LLM,182,OGRO,1B2W,VOI,15,RWOO,2B2W,VOI,2,ROWO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,4,GYRW,1B1W,LLM,252,GRBR,0B0W,VOI,20,YOYW,1B2W,VOI,2,WYYY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
11,ORRR,True,5,BBOR,1B1W,LLM,230,RWOO,0B2W,VOI,41,BOWY,0B1W,VOI,4,ORGR,3B0W,VOI,2,ORRR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
12,RGOW,True,5,YYGO,0B2W,LLM,222,BROG,1B2W,VOI,38,ROWG,1B3W,VOI,2,OWRG,0B4W,VOI,1,RGOW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
13,RGOG,True,6,YYBW,0B0W,LLM,81,ORRR,0B2W,VOI,7,ROOG,3B0W,VOI,3,ROOO,2B0W,VOI,2,ROGG,2B2W,VOI,1,RGOG,4B0W,VOI,1,,,,,,,,,,,,,,,,
14,RWGW,True,4,RRBG,1B1W,LLM,230,RGOW,2B1W,VOI,10,RWOR,2B0W,VOI,1,RWGW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
15,BRBY,True,6,WWBB,1B1W,LLM,208,RWGW,0B1W,VOI,39,BORB,1B2W,VOI,6,GBOB,0B2W,VOI,3,BRBR,3B0W,VOI,2,BRBY,4B0W,VOI,1,,,,,,,,,,,,,,,,
16,BGGB,True,5,YBYB,1B1W,LLM,208,WYYY,0B0W,VOI,42,BORB,2B0W,VOI,2,BGBB,3B0W,VOI,1,BGGB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
17,OOOB,True,5,GGYB,1B0W,LLM,182,OBRB,2B0W,VOI,15,OOWB,3B0W,VOI,2,OWWB,2B0W,VOI,1,OOOB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
18,WOGB,True,5,RGWW,0B2W,LLM,222,ORGR,1B1W,VOI,47,WROO,1B1W,VOI,8,WOGG,3B0W,VOI,2,WOGB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
19,RGYR,True,5,YRBG,0B3W,LLM,136,RGGB,2B0W,VOI,26,RGWY,2B1W,VOI,5,RGYO,3B0W,VOI,1,RGYR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
20,WGWY,True,2,GYWW,1B3W,LLM,4,WGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,GWGW,True,5,BRGB,1B0W,LLM,182,YOWB,0B1W,VOI,26,ORRR,0B0W,VOI,10,GGGW,3B0W,VOI,3,GWGW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
22,YWWG,True,3,OYWG,2B1W,LLM,48,ROWG,2B0W,VOI,5,YWWG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,BRYG,True,4,YYGY,0B2W,LLM,61,RGYR,1B2W,VOI,7,GRYB,2B2W,VOI,1,BRYG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
