game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,5,OYBY,1B0W,LLM,182,RWRY,0B2W,VOI,26,ORGW,1B1W,VOI,5,WYGG,0B1W,VOI,1,GRBR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,5,YYBW,1B1W,LLM,230,YGYR,1B2W,VOI,19,GYWR,0B3W,VOI,3,YBRG,0B4W,VOI,1,RGBY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
3,BYYW,True,3,RGYW,2B0W,LLM,96,RWOW,1B0W,VOI,26,BYYW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,BGWY,True,5,YYOR,0B1W,LLM,276,BRGB,1B1W,VOI,51,BBWO,2B0W,VOI,4,GBGO,0B2W,VOI,1,BGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
5,BROG,True,4,RROO,2B0W,LLM,114,BROW,3B0W,VOI,6,YROW,2B0W,VOI,2,BROG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
6,GGWY,True,5,YWOB,0B2W,LLM,312,WGGO,1B2W,VOI,22,OGWR,2B0W,VOI,4,OGYG,1B2W,VOI,1,GGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,5,WOGY,0B2W,LLM,312,OBBG,0B1W,VOI,54,RRWO,1B2W,VOI,5,RGRW,2B0W,VOI,1,RWOW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
8,WGRR,True,5,RBWB,0B2W,LLM,222,BRYR,1B1W,VOI,39,WRRG,2B2W,VOI,2,GRRW,1B3W,VOI,1,WGRR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,5,RWWB,2B0W,LLM,105,RORB,2B0W,VOI,19,YOWB,2B0W,VOI,2,ROWG,3B0W,VOI,1,ROWO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,4,RBGY,1B0W,LLM,108,WOWY,2B0W,VOI,12,OOYY,2B0W,VOI,1,WYYY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
