game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,4,RBRY,0B3W,LLM,44,BYGR,1B2W,VOI,7,BRYO,1B1W,VOI,1,GRBR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,4,WYWY,1B0W,LLM,256,WBRB,0B2W,VOI,41,ROWR,1B0W,VOI,6,RGBY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
3,BYYW,True,3,YOWR,0B2W,LLM,312,GGYO,1B0W,VOI,54,BYYW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,BGWY,True,4,WWWR,1B0W,LLM,317,YGWG,2B1W,VOI,15,GGWO,2B0W,VOI,1,BGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
5,BROG,True,6,RGWW,0B2W,LLM,222,WBRR,0B2W,VOI,36,BWBG,2B0W,VOI,6,YRBG,2B1W,VOI,2,BRGG,3B0W,VOI,1,BROG,4B0W,CSS,1,,,,,,,,,,,,,,,,
6,GGWY,True,4,WYBO,0B2W,LLM,312,GOWG,2B1W,VOI,14,BGWG,2B1W,VOI,2,GGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,3,BBRG,0B1W,LLM,276,WRWO,0B4W,VOI,1,RWOW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,WGRR,True,5,WGWY,2B0W,LLM,105,YGRY,2B0W,VOI,19,WGRG,3B0W,VOI,3,WGRO,3B0W,VOI,2,WGRR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,5,RWYR,1B1W,LLM,230,GORR,1B1W,VOI,39,OBWR,1B2W,VOI,6,OWRO,1B3W,VOI,1,ROWO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,5,RGWO,0B1W,LLM,152,YRYB,1B1W,VOI,30,YBBW,0B2W,VOI,4,GYGB,1B0W,VOI,1,WYYY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
