game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,5,WROB,1B1W,VOI,252,YWGB,0B2W,LLM,57,RRWY,1B1W,LLM,8,RYOG,0B2W,LLM,3,GRBR,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,4,WRYB,0B3W,VOI,136,BWGR,0B3W,LLM,19,ROBW,2B0W,LLM,4,RGBY,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
3,BYYW,True,4,RBWG,0B2W,VOI,312,WYRY,1B2W,LLM,26,YYGW,2B1W,LLM,2,BYYW,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
4,BGWY,True,5,ORWB,1B1W,VOI,252,OGBO,1B1W,LLM,49,OYGW,0B3W,LLM,5,GWWO,1B1W,LLM,1,BGWY,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
5,BROG,True,4,OWGB,0B3W,VOI,136,RBOW,1B2W,LLM,24,RGBO,0B4W,LLM,1,BROG,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
6,GGWY,True,5,BYOR,0B1W,VOI,152,OWGG,0B3W,LLM,8,GGRW,2B1W,LLM,2,GGWB,3B0W,LLM,1,GGWY,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,5,GWYR,1B1W,VOI,252,GYBB,0B0W,LLM,20,RWRW,3B0W,LLM,5,RWRO,2B1W,LLM,2,RWOW,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
8,WGRR,True,4,GYWO,0B2W,VOI,312,YGBG,1B0W,LLM,43,YRYW,0B2W,LLM,5,WGRR,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,4,BWYO,1B1W,VOI,252,BROR,0B2W,LLM,35,RBYG,1B0W,LLM,2,ROWO,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,5,OWRY,1B1W,VOI,252,YWGW,0B2W,LLM,40,OYBG,1B0W,LLM,3,WRRG,1B0W,LLM,1,WYYY,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
11,ORRR,True,5,GRYB,1B0W,VOI,108,GWWO,0B1W,LLM,18,RRRW,2B1W,LLM,2,RROR,2B2W,LLM,1,ORRR,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
12,RGOW,True,5,WOBY,0B2W,VOI,312,YYOO,1B0W,LLM,98,RROW,3B0W,LLM,4,RROB,2B0W,LLM,3,RGOW,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
13,RGOG,True,4,YOGB,0B2W,VOI,312,BRBG,1B1W,LLM,53,RYBW,1B0W,LLM,2,RGOG,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
14,RWGW,True,4,BWOG,1B1W,VOI,252,RWRB,2B0W,LLM,23,RWYO,2B0W,LLM,3,RWGW,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
15,BRBY,True,5,WRBY,3B0W,VOI,20,WRRY,2B0W,LLM,13,WRBO,2B0W,LLM,7,GRBY,3B0W,LLM,2,BRBY,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
16,BGGB,True,5,GYOB,1B1W,VOI,252,OBWB,1B1W,LLM,42,RWYB,1B0W,LLM,4,GWWO,0B1W,LLM,2,BGGB,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
17,OOOB,True,6,WOYB,2B0W,VOI,96,WWRB,1B0W,LLM,26,GGYB,1B0W,LLM,5,BOOB,3B0W,LLM,2,BOBB,2B0W,LLM,1,OOOB,4B0W,LLM,1,,,,,,,,,,,,,,,,
