game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,4,OYRB,0B2W,VOI,312,WBBO,1B0W,LLM,44,RGBR,2B2W,LLM,3,GRBR,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,3,BWYO,0B2W,VOI,312,WYRG,0B3W,LLM,32,RGBY,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,BYYW,True,6,YOBW,1B2W,VOI,132,WBOW,1B1W,LLM,38,WYBB,1B2W,LLM,4,BYGW,3B0W,LLM,2,BYRW,3B0W,LLM,1,BYYW,4B0W,LLM,1,,,,,,,,,,,,,,,,
4,BGWY,True,4,GRBW,0B3W,VOI,136,RBWY,2B1W,LLM,11,RBYG,0B3W,LLM,1,BGWY,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
5,BROG,True,6,GORY,0B3W,VOI,136,YBOR,1B2W,LLM,20,YRYO,1B1W,LLM,5,BGYR,1B2W,LLM,2,OBYG,1B2W,LLM,1,BROG,4B0W,LLM,1,,,,,,,,,,,,,,,,
6,GGWY,True,5,GRYB,1B1W,VOI,252,RWYR,0B2W,LLM,39,WYBB,0B2W,LLM,5,BRWO,1B0W,LLM,1,GGWY,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,6,BOGW,1B1W,VOI,252,YOYG,0B1W,LLM,56,RGWW,2B1W,LLM,4,GGRW,1B1W,LLM,2,ORWW,1B3W,LLM,1,RWOW,4B0W,LLM,1,,,,,,,,,,,,,,,,
8,WGRR,True,5,WGYO,2B0W,VOI,96,WGWW,2B0W,LLM,15,WGRG,3B0W,LLM,4,WGRB,3B0W,LLM,1,WGRR,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,4,RGYB,1B0W,VOI,108,WYYW,0B1W,LLM,20,RRWO,3B0W,LLM,2,ROWO,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,5,BYGR,1B0W,VOI,108,WYOY,3B0W,LLM,6,WYOW,2B0W,LLM,3,YYOY,2B1W,LLM,1,WYYY,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
11,ORRR,True,5,GRYB,1B0W,VOI,108,GOGO,0B1W,LLM,20,WWOB,0B1W,LLM,2,OYYY,1B0W,LLM,1,ORRR,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
12,RGOW,True,4,RBGW,2B1W,VOI,48,RBWO,1B2W,LLM,10,RYBW,2B0W,LLM,1,RGOW,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
13,RGOG,True,5,WBRO,0B2W,VOI,312,YYOB,1B0W,LLM,50,YWGR,0B2W,LLM,12,GOOW,1B1W,LLM,3,RGOG,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
14,RWGW,True,4,YBGR,1B1W,VOI,252,YGYO,0B1W,LLM,50,WYWR,0B3W,LLM,1,RWGW,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
