game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,4,ROOO,0B1W,LLM,308,BGRR,1B3W,CSS,2,GRRB,2B2W,CSS,1,GRBR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,4,RGYR,2B1W,LLM,40,RGGY,3B0W,CSS,3,RGWY,3B0W,CSS,2,RGBY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
3,BYYW,True,5,ROYW,2B0W,LLM,96,GOOW,1B0W,CSS,26,ROBB,0B1W,CSS,4,BWYW,3B0W,CSS,1,BYYW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
4,BGWY,True,5,RBOG,0B2W,LLM,312,WOWR,1B0W,CSS,54,OOYB,0B2W,CSS,6,YRBR,0B2W,CSS,1,BGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
5,BROG,True,3,WGWB,0B2W,LLM,222,BRYG,3B0W,CSS,8,BROG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,GGWY,True,5,GGYY,3B0W,LLM,20,GWYY,2B1W,CSS,6,RGYY,2B0W,CSS,2,GGYW,2B2W,CSS,1,GGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,4,BBYY,0B0W,LLM,256,GGOO,1B0W,CSS,32,WWRO,1B3W,CSS,2,RWOW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
8,WGRR,True,5,YYYY,0B0W,LLM,625,BBGO,0B1W,CSS,92,RGRW,2B2W,CSS,4,RGWR,2B2W,CSS,1,WGRR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,5,OGWB,1B1W,LLM,252,BWRB,0B2W,CSS,43,GRWY,1B1W,CSS,7,WOWR,2B1W,CSS,1,ROWO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,5,BGWG,0B1W,LLM,276,YOBY,1B1W,CSS,53,WRYY,3B0W,CSS,4,WWYY,3B0W,CSS,1,WYYY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
11,ORRR,True,5,GRWG,1B0W,LLM,182,BYYG,0B0W,CSS,16,OROR,3B0W,CSS,3,RROR,2B2W,CSS,1,ORRR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
12,RGOW,True,4,ROGB,1B2W,LLM,132,GRWB,0B3W,CSS,23,WOBG,0B3W,CSS,3,RGOW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
13,RGOG,True,4,WBRG,1B1W,LLM,252,WGOY,2B0W,CSS,19,WROW,1B1W,CSS,3,RGOG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
14,RWGW,True,4,YWRW,2B1W,LLM,40,YRYW,1B1W,CSS,10,YWWO,1B1W,CSS,2,RWGW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
15,BRBY,True,5,BGWW,1B0W,LLM,182,RROW,1B0W,CSS,27,GGOO,0B0W,CSS,5,YYYW,0B1W,CSS,1,BRBY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
16,BGGB,True,4,BRWW,1B0W,LLM,182,OOGW,1B0W,CSS,27,BGGY,3B0W,CSS,4,BGGB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
17,OOOB,True,5,GOWW,1B0W,LLM,182,YYRW,0B0W,CSS,16,GBBG,0B1W,CSS,2,BOOO,2B2W,CSS,1,OOOB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
18,WOGB,True,4,BBYY,0B1W,LLM,256,GGWB,1B2W,CSS,21,GRBW,0B3W,CSS,3,WOGB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
19,RGYR,True,5,WOGO,0B1W,LLM,276,BGYY,2B0W,CSS,28,BWYR,2B0W,CSS,5,BGRR,2B1W,CSS,1,RGYR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
20,WGWY,True,4,YORO,0B1W,LLM,276,WYWG,2B2W,CSS,4,GYWW,1B3W,CSS,1,WGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
21,GWGW,True,5,YWRW,2B0W,LLM,105,ORRW,1B0W,CSS,27,YYRG,0B1W,CSS,5,GWWW,3B0W,CSS,2,GWGW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
22,YWWG,True,5,GGRO,0B1W,LLM,276,WYOW,0B3W,CSS,12,YOWB,2B0W,CSS,2,YWWR,3B0W,CSS,1,YWWG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
23,BRYG,True,4,RRYR,2B0W,LLM,123,RRWB,1B1W,CSS,28,RWYY,1B1W,CSS,2,BRYG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
24,OGYG,True,5,GYWB,0B2W,LLM,312,YRBY,0B1W,CSS,53,BGOO,1B1W,CSS,8,RWGO,0B2W,CSS,2,OGYG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
25,WYYR,True,5,WOBY,1B1W,LLM,252,WROW,1B1W,CSS,42,WGWB,1B0W,CSS,7,YRWY,0B4W,CSS,1,WYYR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
