game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,4,WBGR,1B2W,LLM,132,WGBO,1B1W,CSS,24,WRYB,1B1W,CSS,3,GRBR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,5,WRWY,1B1W,LLM,230,BWWO,0B1W,CSS,41,OYRY,1B1W,CSS,5,RBGY,2B2W,CSS,1,RGBY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
3,BYYW,True,5,YWGO,0B2W,LLM,312,OOBW,1B1W,CSS,53,WBBY,0B3W,CSS,5,BRYW,3B0W,CSS,1,BYYW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
4,BGWY,True,5,BGRO,2B0W,LLM,96,RWRO,0B1W,CSS,7,BGGW,2B1W,CSS,2,BGWB,3B0W,CSS,1,BGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
5,BROG,True,5,YGGB,0B2W,LLM,222,BOBY,1B1W,CSS,41,BYYW,1B0W,CSS,6,GOYR,0B3W,CSS,1,BROG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
6,GGWY,True,4,BWYO,0B2W,LLM,312,GGOW,2B1W,CSS,13,YGOG,1B2W,CSS,1,GGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,5,RRYO,1B1W,LLM,230,OOYB,0B1W,CSS,48,WRWY,0B3W,CSS,2,RYGW,2B0W,CSS,1,RWOW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
8,WGRR,True,5,BYYR,1B0W,LLM,182,WGYW,2B0W,CSS,12,WOYO,1B0W,CSS,3,GGYG,1B0W,CSS,1,WGRR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,5,RORB,2B0W,LLM,105,OOYB,1B1W,CSS,24,YGRB,0B1W,CSS,3,ROOW,2B2W,CSS,1,ROWO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,5,GYOO,1B0W,LLM,182,GBBW,0B1W,CSS,31,WROR,1B0W,CSS,3,WYWY,3B0W,CSS,1,WYYY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
11,ORRR,True,5,OYGR,2B0W,LLM,96,BYGY,0B0W,CSS,9,ORWR,3B0W,CSS,4,OOWR,2B0W,CSS,1,ORRR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
12,RGOW,True,4,YWGR,0B3W,LLM,136,BYWG,0B2W,CSS,29,OGRW,2B2W,CSS,3,RGOW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
13,RGOG,True,3,BWOG,2B0W,LLM,96,BWWR,0B1W,CSS,7,RGOG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,RWGW,True,5,GOWY,0B2W,LLM,312,BBOW,1B0W,CSS,50,RWYW,3B0W,CSS,5,RYYW,2B0W,CSS,2,RWGW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
15,BRBY,True,5,GYYR,0B2W,LLM,222,ROGG,0B1W,CSS,30,WWRY,1B1W,CSS,4,YRRB,1B2W,CSS,1,BRBY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
16,BGGB,True,4,RYGB,2B0W,LLM,96,RWGG,1B1W,CSS,24,RYOW,0B0W,CSS,3,BGGB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
17,OOOB,True,5,BBRR,0B1W,LLM,256,OYWB,2B0W,CSS,18,GYGB,1B0W,CSS,4,RYWY,0B0W,CSS,1,OOOB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
18,WOGB,True,5,BOYB,2B0W,LLM,105,ROYY,1B0W,CSS,26,BOOW,1B2W,CSS,4,GOWB,2B2W,CSS,1,WOGB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
