game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,4,GROY,2B0W,LLM,96,GRBW,3B0W,LLM,6,GRRW,2B1W,CSS,1,GRBR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,5,WYOR,0B2W,LLM,312,YWWB,0B2W,LLM,52,BOYG,0B3W,CSS,7,OGBW,2B0W,CSS,2,RGBY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
3,BYYW,True,5,ROBW,1B1W,LLM,252,RWGY,0B2W,LLM,57,OYOW,2B0W,CSS,6,OGWW,1B0W,CSS,1,BYYW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
4,BGWY,True,4,YYRG,0B2W,LLM,222,GWYW,0B3W,LLM,9,WOGY,1B2W,CSS,1,BGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
5,BROG,True,3,YWBY,0B1W,LLM,276,WGWG,1B0W,LLM,48,BROG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,GGWY,True,5,GWRY,2B1W,LLM,48,GWBR,1B1W,LLM,16,WWGY,1B2W,CSS,4,GOWY,3B0W,CSS,2,GGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,3,GBYB,0B0W,LLM,81,WORW,1B3W,LLM,4,RWOW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,WGRR,True,4,GGGO,1B0W,LLM,317,GWRR,2B2W,LLM,4,GRRW,1B3W,CSS,1,WGRR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,4,BGRY,0B1W,LLM,152,OWBO,1B2W,LLM,21,OOYW,1B2W,CSS,3,ROWO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,5,WYOG,2B0W,LLM,96,WYRB,2B0W,LLM,16,WWRG,1B0W,CSS,3,WOOB,1B0W,CSS,1,WYYY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
11,ORRR,True,5,YWYY,0B0W,LLM,256,GORO,1B1W,LLM,46,BBOO,0B1W,CSS,6,GRGB,1B0W,CSS,1,ORRR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
12,RGOW,True,2,GWRO,0B4W,LLM,9,RGOW,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,RGOG,True,5,GBRY,0B2W,LLM,312,RWBO,1B1W,LLM,63,BYBW,0B0W,CSS,7,RROG,3B0W,CSS,2,RGOG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
14,RWGW,True,4,GOWO,0B2W,LLM,222,WGYR,0B3W,LLM,27,YBGW,2B0W,CSS,3,RWGW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
15,BRBY,True,6,WYOR,0B2W,LLM,312,YOBY,2B0W,LLM,32,YRBG,2B1W,CSS,5,YRGY,2B0W,CSS,2,RRBY,3B0W,CSS,1,BRBY,4B0W,CSS,1,,,,,,,,,,,,,,,,
16,BGGB,True,5,WYOB,1B0W,LLM,108,RGGB,3B0W,LLM,6,RGRB,2B0W,CSS,2,GGGB,3B0W,CSS,1,BGGB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
17,OOOB,True,4,GBOY,1B1W,LLM,252,WBYR,0B1W,LLM,31,GORG,1B0W,CSS,4,OOOB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
18,WOGB,True,5,ORYR,0B1W,LLM,276,WYBB,2B0W,LLM,28,WOBG,2B2W,CSS,2,WGBO,1B3W,CSS,1,WOGB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
19,RGYR,True,4,YRYR,2B1W,LLM,32,YRRB,0B3W,LLM,4,ROYR,3B0W,CSS,2,RGYR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
20,WGWY,True,5,RWBW,0B2W,LLM,222,BGWB,2B0W,LLM,30,OGRB,1B0W,CSS,3,YYWB,1B1W,CSS,1,WGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
21,GWGW,True,4,WOWR,0B2W,LLM,222,BWRY,1B0W,LLM,16,ORRG,0B1W,CSS,1,GWGW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
22,YWWG,True,5,GBWY,1B2W,LLM,132,WBYR,0B2W,LLM,38,BGOY,0B2W,CSS,7,GYGW,0B3W,CSS,1,YWWG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
23,BRYG,True,5,GWOO,0B1W,LLM,276,BYGB,1B2W,LLM,27,BGRY,1B3W,CSS,3,RBGY,0B4W,CSS,1,BRYG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
24,OGYG,True,4,WGYG,3B0W,LLM,20,WGYB,2B0W,LLM,8,GGYG,3B0W,CSS,3,OGYG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
25,WYYR,True,5,GOYG,1B0W,LLM,182,RORW,0B2W,LLM,17,GWBR,1B1W,CSS,2,BRYR,2B0W,CSS,1,WYYR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
26,BYOW,True,5,WRYR,0B2W,LLM,222,RWOG,1B1W,LLM,42,YWGY,0B2W,CSS,4,BYRG,2B0W,CSS,1,BYOW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
27,RRBG,True,2,RWYG,2B0W,LLM,96,RRBG,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,GYRB,True,5,GWOR,1B1W,LLM,252,GYYW,2B0W,LLM,23,GGYO,1B1W,CSS,4,OWYW,0B1W,CSS,1,GYRB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
29,ORRG,True,5,GOGG,1B1W,LLM,156,GWOO,0B2W,LLM,32,OYGR,1B2W,CSS,4,OBYG,2B0W,CSS,1,ORRG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
30,YGBR,True,2,YRWG,1B2W,LLM,132,YGBR,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,GBWR,True,2,GBRW,2B2W,LLM,6,GBWR,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,BRGB,True,4,YYWO,0B0W,LLM,81,RRBG,1B2W,LLM,18,RBGB,2B2W,CSS,1,BRGB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
33,YGRW,True,3,RWBG,0B3W,LLM,136,BYRW,2B1W,LLM,9,YGRW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,RWGY,True,5,YBRY,1B1W,LLM,230,YWBG,1B2W,LLM,23,OGBY,1B1W,CSS,5,GWYY,2B1W,CSS,1,RWGY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
35,YYYO,True,4,GWYY,1B1W,LLM,230,GBWR,0B0W,LLM,6,YOOY,1B2W,CSS,1,YYYO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
36,RWYR,True,5,WYBB,0B2W,LLM,222,YWYO,2B0W,LLM,31,YWGR,2B1W,CSS,3,YWRW,1B2W,CSS,1,RWYR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
37,YBBY,True,5,YBGR,2B0W,LLM,96,YOGO,1B0W,LLM,36,GWGR,0B0W,CSS,4,YBYY,3B0W,CSS,2,YBBY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
38,YGYB,True,4,YYRR,1B1W,LLM,208,ROBR,0B1W,LLM,39,GYOY,0B3W,CSS,3,YGYB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
39,WOBR,True,5,YRGW,0B2W,LLM,312,WWOR,2B1W,LLM,11,RWOO,0B3W,CSS,2,WORR,3B0W,CSS,1,WOBR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
40,BYRG,True,6,GBOW,0B2W,LLM,312,WRYO,0B2W,LLM,64,BORR,2B0W,CSS,9,BWBR,1B1W,CSS,2,BGRY,2B2W,CSS,1,BYRG,4B0W,CSS,1,,,,,,,,,,,,,,,,
41,RBBO,True,5,YRBR,1B1W,LLM,230,GRWB,0B2W,LLM,53,OWRR,0B2W,CSS,5,WOBY,1B1W,CSS,1,RBBO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
42,OBRO,True,5,YOYO,1B1W,LLM,208,YGOB,0B2W,LLM,42,BYYR,0B2W,CSS,5,WORY,1B1W,CSS,1,OBRO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
43,WRYR,True,4,ORYB,2B0W,LLM,96,ORGR,2B0W,LLM,14,OWGB,0B1W,CSS,1,WRYR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
44,GGRY,True,4,YBBY,1B0W,LLM,256,GBRR,2B0W,LLM,23,GBWO,1B0W,CSS,1,GGRY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
45,YYYG,True,4,YGWB,1B1W,LLM,252,YRBY,1B1W,LLM,49,RGBO,0B1W,CSS,7,YYYG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
46,ROBW,True,4,OGRR,0B2W,LLM,222,ROWO,2B1W,LLM,12,ROYW,3B0W,CSS,1,ROBW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
47,WGBB,True,6,GBRY,0B2W,LLM,312,WYWR,1B0W,LLM,50,ORBR,1B0W,CSS,8,OYGO,0B1W,CSS,2,WGBG,3B0W,CSS,1,WGBB,4B0W,CSS,1,,,,,,,,,,,,,,,,
