game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,4,GBGG,1B1W,LLM,156,BRGB,1B2W,LLM,20,RRBG,2B2W,CSS,1,GRBR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,3,GGYO,1B1W,LLM,230,GOBR,1B2W,LLM,24,RGBY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,BYYW,True,4,WGBW,1B1W,LLM,230,WYWO,1B1W,LLM,39,WRGY,0B2W,CSS,6,BYYW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
4,BGWY,True,5,WGGW,1B1W,LLM,208,WOWB,1B1W,LLM,32,RRWW,1B0W,CSS,6,YGWO,2B1W,CSS,1,BGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
5,BROG,True,6,GRWB,1B2W,LLM,132,GWGR,0B2W,LLM,42,YRBG,2B1W,CSS,4,YBWG,1B1W,CSS,2,BRRG,3B0W,CSS,1,BROG,4B0W,CSS,1,,,,,,,,,,,,,,,,
6,GGWY,True,5,YYGR,0B2W,LLM,222,GGOY,3B0W,LLM,8,OGOY,2B0W,CSS,2,GGBY,3B0W,CSS,1,GGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,4,WBGO,0B2W,LLM,312,YWOR,2B1W,LLM,16,BWYR,1B1W,CSS,3,RWOW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
8,WGRR,True,4,WBOO,1B0W,LLM,182,WYGR,2B1W,LLM,15,WWYR,2B0W,CSS,2,WGRR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,4,GRGO,1B1W,LLM,230,BRWG,1B1W,LLM,46,WROY,0B3W,CSS,4,ROWO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,5,GBWY,1B1W,LLM,252,GRRW,0B1W,LLM,56,YOWO,0B2W,CSS,8,OGGY,1B0W,CSS,2,WYYY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
11,ORRR,True,4,WOYR,1B1W,LLM,252,WYGB,0B0W,LLM,6,OORO,2B0W,CSS,1,ORRR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
12,RGOW,True,5,RYGR,1B1W,LLM,230,RROW,3B0W,LLM,6,RRBW,2B0W,CSS,2,RROO,2B0W,CSS,1,RGOW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
13,RGOG,True,5,BRBY,0B1W,LLM,276,WGOR,2B1W,LLM,18,RGWR,2B0W,CSS,4,OGGR,1B3W,CSS,1,RGOG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
14,RWGW,True,4,WWYR,1B2W,LLM,84,WYRG,0B3W,LLM,14,RBYW,2B0W,CSS,1,RWGW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
15,BRBY,True,4,WGWO,0B0W,LLM,81,YYBY,2B0W,LLM,15,RYRY,1B1W,CSS,2,BRBY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
16,BGGB,True,3,WYOR,0B0W,LLM,16,GGGG,2B0W,LLM,6,BGGB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,OOOB,True,6,WWGW,0B0W,LLM,256,YRYY,0B0W,LLM,16,BBOO,1B2W,CSS,4,BOBB,2B0W,CSS,2,OOBO,2B2W,CSS,1,OOOB,4B0W,CSS,1,,,,,,,,,,,,,,,,
18,WOGB,True,5,RRYG,0B1W,LLM,276,WGBW,1B2W,LLM,27,BOGW,2B2W,CSS,2,OBGW,1B3W,CSS,1,WOGB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
19,RGYR,True,5,YWGB,0B2W,LLM,312,BBRG,0B2W,LLM,43,GROW,0B2W,CSS,6,OYBR,1B1W,CSS,1,RGYR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
20,WGWY,True,4,WGRW,2B1W,LLM,40,WWRY,2B1W,LLM,5,BWRW,0B2W,CSS,1,WGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
21,GWGW,True,4,YYWR,0B1W,LLM,276,OGGY,1B1W,LLM,57,GBGW,3B0W,CSS,1,GWGW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
22,YWWG,True,4,WOGO,0B2W,LLM,222,YGWW,2B2W,LLM,2,GYWW,1B3W,CSS,1,YWWG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
23,BRYG,True,4,WYWG,1B1W,LLM,230,WOYO,1B0W,LLM,35,WGBB,0B2W,CSS,4,BRYG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
24,OGYG,True,5,BRBG,1B0W,LLM,182,YRWO,0B2W,LLM,35,BOYY,1B1W,CSS,6,WOBW,0B1W,CSS,1,OGYG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
25,WYYR,True,3,RWYR,2B1W,LLM,40,RWBY,0B3W,LLM,4,WYYR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,BYOW,True,5,GGYY,0B1W,LLM,256,WBGR,0B2W,LLM,51,YWOB,1B3W,CSS,3,YOBW,1B3W,CSS,1,BYOW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
27,RRBG,True,4,WYRO,0B1W,LLM,152,YGYY,0B1W,LLM,63,BWGB,0B2W,CSS,7,RRBG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
28,GYRB,True,5,WYGW,1B1W,LLM,230,WBYO,0B2W,LLM,64,BYBG,1B2W,CSS,4,BGGY,0B3W,CSS,1,GYRB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
29,ORRG,True,5,RYYY,0B1W,LLM,308,WORW,1B1W,LLM,57,OBRG,3B0W,CSS,5,OBRO,2B0W,CSS,2,ORRG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
30,YGBR,True,4,WYBW,1B1W,LLM,230,YRYW,1B1W,LLM,44,WRWO,0B1W,CSS,5,YGBR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
31,GBWR,True,4,RYWW,1B1W,LLM,230,RWBR,1B2W,LLM,13,BOWR,2B1W,CSS,2,GBWR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
32,BRGB,True,5,GWOB,1B1W,LLM,252,YBOO,0B1W,LLM,50,BWRW,1B1W,CSS,8,GRYW,1B1W,CSS,1,BRGB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
33,YGRW,True,4,BBYG,0B2W,LLM,222,YYBR,1B1W,LLM,39,WYGY,0B3W,CSS,1,YGRW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
34,RWGY,True,4,ORWB,0B2W,LLM,312,YYRW,0B3W,LLM,11,WGYR,0B4W,CSS,1,RWGY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
35,YYYO,True,5,GRGY,0B1W,LLM,276,WGWO,1B0W,LLM,42,OBYO,2B0W,CSS,6,BBRO,1B0W,CSS,1,YYYO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
36,RWYR,True,5,YGOY,0B1W,LLM,276,WOBB,0B1W,LLM,43,RWGW,2B0W,CSS,6,RYRW,1B3W,CSS,1,RWYR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
37,YBBY,True,5,WYWO,0B1W,LLM,276,BRYG,0B2W,LLM,52,OORB,0B1W,CSS,7,GWGR,0B0W,CSS,1,YBBY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
38,YGYB,True,5,YWBG,1B2W,LLM,132,BWGB,1B1W,LLM,27,YBGR,1B2W,CSS,4,GWYR,1B1W,CSS,1,YGYB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
39,WOBR,True,4,WWOB,1B2W,LLM,84,WBBO,2B1W,LLM,7,WOBG,3B0W,CSS,2,WOBR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
40,BYRG,True,5,WGGO,0B1W,LLM,276,RYWR,1B1W,LLM,53,BROR,1B1W,CSS,6,OOYR,0B2W,CSS,1,BYRG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
41,RBBO,True,4,WWOW,0B1W,LLM,308,ORGY,0B2W,LLM,52,GBBO,3B0W,CSS,4,RBBO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
42,OBRO,True,5,RBWW,1B1W,LLM,230,YRYW,0B1W,LLM,64,GBRR,2B0W,CSS,8,OBOR,2B2W,CSS,1,OBRO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
43,WRYR,True,5,WYWY,1B1W,LLM,208,WWGW,1B0W,LLM,35,YYGO,0B1W,CSS,8,BWBY,0B2W,CSS,1,WRYR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
44,GGRY,True,4,OOGR,0B2W,LLM,222,RYWO,0B2W,LLM,52,WGOB,1B0W,CSS,3,GGRY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
45,YYYG,True,5,GWYW,1B1W,LLM,230,WWOO,0B0W,LLM,42,GYRR,1B1W,CSS,6,GBGY,0B2W,CSS,1,YYYG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
46,ROBW,True,5,YYWO,0B2W,LLM,222,WBOW,1B2W,LLM,24,OGBW,2B1W,CSS,3,BOBW,3B0W,CSS,1,ROBW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
47,WGBB,True,4,BGYO,1B1W,LLM,252,RGBR,2B0W,LLM,23,WGOR,2B0W,CSS,4,WGBB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
48,BOOR,True,4,WOWY,1B0W,LLM,182,ROOB,2B2W,LLM,3,ROBO,1B3W,CSS,2,BOOR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
49,WWOY,True,5,BROR,1B0W,LLM,182,YRYG,0B1W,LLM,37,OWOY,3B0W,CSS,2,OOOY,2B0W,CSS,1,WWOY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
50,WWGR,True,4,BGWW,0B3W,LLM,44,GWGB,2B0W,LLM,7,WWOB,2B0W,CSS,2,WWGR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
51,YBYB,True,5,WBOW,1B0W,LLM,182,YYOG,1B1W,LLM,38,RYYW,1B1W,CSS,6,WGYG,1B0W,CSS,2,YBYB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
52,WBWR,True,5,WGOW,1B1W,LLM,230,RYGW,0B2W,LLM,64,OGYO,0B0W,CSS,7,WWRB,1B3W,CSS,1,WBWR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
53,GOWY,True,6,WGWO,1B2W,LLM,84,WOGG,1B2W,LLM,11,OWGO,0B3W,CSS,3,GOWR,3B0W,CSS,2,GOWB,3B0W,CSS,1,GOWY,4B0W,CSS,1,,,,,,,,,,,,,,,,
