game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,4,YGBO,1B1W,LLM,252,YWOW,0B0W,LLM,20,RRBG,2B2W,VOI,1,GRBR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,4,YYRW,0B2W,LLM,222,RGYB,2B2W,LLM,4,GRYB,0B4W,VOI,1,RGBY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
3,BYYW,True,6,ROWB,0B2W,LLM,312,GBOY,0B2W,LLM,64,BGRG,1B0W,VOI,7,OYRO,1B0W,VOI,2,BYBW,3B0W,VOI,1,BYYW,4B0W,VOI,1,,,,,,,,,,,,,,,,
4,BGWY,True,3,YYGW,0B3W,LLM,44,WGYB,1B3W,LLM,2,BGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,BROG,True,4,GGGW,0B1W,LLM,308,OOWR,0B2W,LLM,47,WWYO,0B1W,VOI,3,BROG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
6,GGWY,True,5,YWYY,1B1W,LLM,156,YYOG,0B2W,LLM,38,BGWY,3B0W,VOI,4,WGWY,3B0W,VOI,2,GGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,4,OWOW,3B0W,LLM,20,OWOB,2B0W,LLM,8,OWYW,2B1W,VOI,3,RWOW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
8,WGRR,True,5,OYYB,0B0W,LLM,81,WRGG,1B2W,LLM,18,RWGR,1B3W,VOI,2,GRWR,1B3W,VOI,1,WGRR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,4,GROY,0B2W,LLM,312,RBRG,1B0W,LLM,46,OWRW,0B3W,VOI,2,ROWO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,6,YWWY,1B2W,LLM,36,WWYR,2B0W,LLM,4,WOYY,3B0W,VOI,3,WGYY,3B0W,VOI,2,WBYY,3B0W,VOI,1,WYYY,4B0W,VOI,1,,,,,,,,,,,,,,,,
