game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,6,WWRR,1B1W,CSS,208,RWGY,0B2W,LLM,42,WYWO,0B0W,LLM,4,GRRB,2B2W,LLM,2,BRRG,1B3W,LLM,1,GRBR,4B0W,LLM,1,,,,,,,,,,,,,,,,
2,RGBY,True,5,GOWO,0B1W,CSS,276,YBGG,0B3W,LLM,7,BGYY,2B1W,LLM,2,RGYB,2B2W,LLM,1,RGBY,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
3,BYYW,False,5,BRRO,1B0W,CSS,182,BGGG,1B0W,LLM,61,BWWW,2B0W,LLM,12,BWBY,1B2W,LLM,2,BBWB,1B1W,LLM,1,,,,,,,,,,,,,,,,,,,,
4,BGWY,True,6,YYOB,0B2W,CSS,222,RBBY,1B1W,LLM,51,GORY,1B1W,LLM,13,GBYW,0B4W,LLM,2,BWGY,2B2W,LLM,1,BGWY,4B0W,LLM,1,,,,,,,,,,,,,,,,
5,BROG,True,4,GOWO,0B2W,CSS,222,WGGG,1B0W,LLM,61,OGBR,0B4W,LLM,2,BROG,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
6,GGWY,True,4,OGBB,1B0W,CSS,182,GGRW,2B1W,LLM,12,WGRR,1B1W,LLM,3,GGWY,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,4,WBRR,0B2W,CSS,222,YGBW,1B0W,LLM,12,ORBB,0B2W,LLM,3,RWOW,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
8,WGRR,True,3,OGOW,1B1W,CSS,230,WGBG,2B0W,LLM,13,WGRR,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,4,ORRY,0B2W,CSS,222,RGWO,3B0W,LLM,8,RBWO,3B0W,LLM,2,ROWO,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,5,OBOY,1B0W,CSS,182,GBGG,0B0W,LLM,43,RROR,0B0W,LLM,8,YWYY,2B2W,LLM,2,WYYY,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
