game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,4,GGYW,1B0W,CSS,182,BGBR,2B1W,LLM,8,BGOB,0B2W,LLM,1,GRBR,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,4,BRWO,0B2W,CSS,312,RBYB,1B2W,LLM,20,YBGR,0B4W,LLM,3,RGBY,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
3,BYYW,True,4,GGRY,0B1W,CSS,276,WYOW,2B0W,LLM,28,WYBB,1B2W,LLM,1,BYYW,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
4,BGWY,True,5,OWWY,2B0W,CSS,105,OOWO,1B0W,LLM,48,ORYY,1B0W,LLM,4,GBWY,2B2W,LLM,1,BGWY,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
5,BROG,True,6,BYGY,1B1W,CSS,230,WYOG,2B0W,LLM,18,WYBB,0B1W,LLM,3,BOOG,3B0W,LLM,2,BGOG,3B0W,LLM,1,BROG,4B0W,LLM,1,,,,,,,,,,,,,,,,
6,GGWY,True,5,OBBY,1B0W,CSS,182,YGGY,2B1W,LLM,8,WYGY,1B2W,LLM,2,RGYY,2B0W,LLM,1,GGWY,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,5,WYBB,0B1W,CSS,276,RWOO,3B0W,LLM,9,RWGO,2B1W,LLM,3,RWOR,3B0W,LLM,1,RWOW,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
8,WGRR,True,4,BBYO,0B0W,CSS,81,RGGW,1B2W,LLM,18,GRWW,0B3W,LLM,3,WGRR,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,3,ROOW,2B2W,CSS,5,OROW,0B4W,LLM,1,ROWO,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,6,WYRY,3B0W,CSS,20,WYRO,2B0W,LLM,8,WYBY,3B0W,LLM,3,WYGY,3B0W,LLM,2,WYWY,3B0W,LLM,1,WYYY,4B0W,LLM,1,,,,,,,,,,,,,,,,
