game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,5,BWWG,0B2W,CSS,222,GBYB,1B1W,CSS,41,WBRY,0B2W,LLM,13,ORGB,1B2W,LLM,1,GRBR,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,3,WGRW,1B1W,CSS,230,RGBO,3B0W,CSS,7,RGBY,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,BYYW,True,4,OROB,0B1W,CSS,276,RWWG,0B1W,CSS,38,GYYO,2B0W,LLM,3,BYYW,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
4,BGWY,True,3,OOBG,0B2W,CSS,222,WBGB,0B3W,CSS,5,BGWY,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,BROG,True,4,YOWY,0B1W,CSS,276,OBRG,1B3W,CSS,6,RBGO,0B4W,LLM,2,BROG,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
6,GGWY,True,5,WYBW,0B2W,CSS,222,RBYG,0B2W,CSS,43,GWOB,1B1W,LLM,7,BWRR,0B1W,LLM,1,GGWY,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,5,YOYG,0B1W,CSS,276,WGBB,0B1W,CSS,43,RYWR,1B1W,LLM,10,RWOO,3B0W,LLM,1,RWOW,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
8,WGRR,True,3,RRYB,0B2W,CSS,222,BYBO,0B0W,CSS,4,WGRR,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,ROWO,False,2,YBBW,0B1W,CSS,276,ORWR,1B2W,CSS,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,WYYY,False,3,OGGR,0B0W,CSS,81,BBWB,0B1W,CSS,8,YWYY,2B2W,LLM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,ORRR,False,2,BOGB,0B1W,CSS,276,GRRW,2B0W,CSS,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,RGOW,True,4,WYWG,0B2W,CSS,222,OGGY,1B1W,CSS,41,GBRY,0B2W,LLM,9,RGOW,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
