game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,5,WWYR,1B0W,CSS,182,OGRR,1B2W,CSS,15,GBOR,2B1W,CSS,4,BROR,2B1W,LLM,1,GRBR,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,6,OYWY,1B0W,CSS,182,ORBB,1B1W,CSS,38,OGGR,1B1W,CSS,7,RYGB,1B3W,LLM,3,BRGY,1B3W,LLM,1,RGBY,4B0W,LLM,1,,,,,,,,,,,,,,,,
3,BYYW,True,4,OWBG,0B2W,CSS,312,RYWB,1B2W,CSS,34,RBOY,0B2W,CSS,7,BYYW,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
4,BGWY,True,6,BGRB,2B0W,CSS,105,YGRR,1B1W,CSS,24,BGOY,3B0W,CSS,3,BGGY,3B0W,LLM,2,BGYY,3B0W,LLM,1,BGWY,4B0W,LLM,1,,,,,,,,,,,,,,,,
5,BROG,True,5,RBYY,0B2W,CSS,222,BRGB,2B1W,CSS,16,WRBB,1B1W,CSS,2,BRRG,3B0W,LLM,1,BROG,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
6,GGWY,True,3,GWYG,1B3W,CSS,4,GYGW,1B3W,CSS,1,GGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,3,GRRG,0B1W,CSS,256,BYGO,0B1W,CSS,27,RWOW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,WGRR,True,5,BROW,0B2W,CSS,312,YOBY,0B0W,CSS,21,RWGG,0B3W,CSS,2,WGWR,3B0W,LLM,1,WGRR,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,5,OYBW,0B2W,CSS,312,YBYR,0B1W,CSS,56,GWGB,0B1W,CSS,7,WROO,1B3W,LLM,1,ROWO,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,5,BBGY,1B0W,CSS,182,OWGG,0B1W,CSS,40,RBWR,0B1W,CSS,4,YROY,1B1W,LLM,1,WYYY,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
11,ORRR,True,5,GGWB,0B0W,CSS,81,YYYO,0B1W,CSS,8,RROR,2B2W,CSS,2,RORR,2B2W,LLM,1,ORRR,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
12,RGOW,True,5,OYBY,0B1W,CSS,276,YRWR,0B2W,CSS,42,WORG,0B4W,CSS,2,RWGO,1B3W,LLM,1,RGOW,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
13,RGOG,True,5,BYOG,2B0W,CSS,96,WYOO,1B0W,CSS,26,BROR,1B1W,CSS,3,BYRB,0B1W,LLM,1,RGOG,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
14,RWGW,True,5,GBOG,0B1W,CSS,276,RWBW,3B0W,CSS,9,RYBW,2B0W,CSS,3,BWBW,2B0W,LLM,1,RWGW,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
15,BRBY,True,4,GRRB,1B1W,CSS,230,OGGB,0B1W,CSS,48,WBRW,0B2W,CSS,7,BRBY,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
16,BGGB,True,5,YRYG,0B1W,CSS,276,BOGB,3B0W,CSS,9,BOGW,2B0W,CSS,3,BORB,2B0W,LLM,2,BGGB,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
17,OOOB,True,5,YGOO,1B1W,CSS,230,ROOW,2B0W,CSS,17,RROY,1B0W,CSS,4,BOOB,3B0W,LLM,1,OOOB,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
18,WOGB,True,5,YGYB,1B1W,CSS,230,WRYY,1B0W,CSS,23,GRBB,1B1W,CSS,5,WGBG,1B2W,LLM,2,WOGB,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
19,RGYR,True,5,WWRO,0B1W,CSS,276,YRBY,0B2W,CSS,34,BGGR,2B0W,CSS,4,RYGR,2B2W,LLM,1,RGYR,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
20,WGWY,True,4,YGRY,2B0W,CSS,105,YGGB,1B1W,CSS,24,BGRO,1B0W,CSS,1,WGWY,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
21,GWGW,True,4,YBGG,1B1W,CSS,230,GWGR,3B0W,CSS,6,GOGR,2B0W,CSS,2,GWGW,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
22,YWWG,True,6,BYBG,1B1W,CSS,230,WYGY,0B3W,CSS,12,OWYG,2B1W,CSS,3,YOYG,2B0W,LLM,2,YWRG,3B0W,LLM,1,YWWG,4B0W,LLM,1,,,,,,,,,,,,,,,,
23,BRYG,True,4,BRGG,3B0W,CSS,20,BROG,3B0W,CSS,4,BRWG,3B0W,CSS,3,BRYG,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
24,OGYG,True,4,GYGB,0B3W,CSS,44,YBRG,1B1W,CSS,7,BGOG,2B1W,CSS,2,OGYG,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
25,WYYR,True,5,YBYG,1B1W,CSS,230,YORY,0B3W,CSS,12,GRYO,1B1W,CSS,4,RYYW,2B2W,LLM,1,WYYR,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
26,BYOW,True,4,RWWY,0B2W,CSS,222,BGYW,2B1W,CSS,13,YGOW,2B1W,CSS,1,BYOW,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
27,RRBG,True,5,WYWO,0B0W,CSS,81,GRGG,2B0W,CSS,15,GBBG,2B0W,CSS,2,GRBR,2B2W,LLM,1,RRBG,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
28,GYRB,True,4,BRYR,0B3W,CSS,44,ROBY,0B3W,CSS,8,YBRW,1B2W,CSS,1,GYRB,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
