game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,3,GUESS,-----,5,5,LLM,LORNA,-Y---,5,5,CSS,PHOTO,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
2,PARTY,True,5,BASED,-G---,4,4,LLM,TANIA,YG---,4,4,CSS,MATCH,-GY--,4,4,CSS,FAULT,-G--Y,4,4,CSS,PARTY,GGGGG,0,0,CSS,,,,,
3,TRICK,True,5,POLLY,-----,5,5,LLM,CRIES,YGG--,3,3,CSS,BRICK,-GGGG,1,1,CSS,FRICK,-GGGG,1,1,CSS,TRICK,GGGGG,0,0,CSS,,,,,
4,DIRTY,True,4,BASED,----Y,5,5,LLM,DONOR,G---Y,4,4,CSS,DRILL,GYY--,4,4,CSS,DIRTY,GGGGG,0,0,CSS,,,,,,,,,,
5,USUAL,True,4,BASED,-YY--,5,5,LLM,STARS,Y-Y--,5,4,CSS,ASIAN,-G-G-,3,3,CSS,USUAL,GGGGG,0,0,CSS,,,,,,,,,,
6,TRULY,True,4,BASED,-----,5,5,LLM,PINTO,---Y-,5,5,CSS,TULLY,GY-GG,2,2,CSS,TRULY,GGGGG,0,0,CSS,,,,,,,,,,
7,SPENT,True,4,GIVEN,---YY,5,4,LLM,STONE,GY-GY,3,3,CSS,SCENT,G-GGG,1,1,CSS,SPENT,GGGGG,0,0,CSS,,,,,,,,,,
8,PAUSE,True,2,BASED,-GYY-,4,3,LLM,PAUSE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,
9,CRAZY,True,5,BASED,-Y---,5,5,LLM,ALAIN,--G--,4,4,CSS,CHART,G-GY-,3,3,CSS,CRAMP,GGG--,2,2,CSS,CRAZY,GGGGG,0,0,CSS,,,,,
10,BASES,True,3,BASED,GGGG-,1,1,LLM,BASEL,GGGG-,1,1,CSS,BASES,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
11,YOUNG,True,5,CALMS,-----,5,5,LLM,TREND,---G-,4,4,CSS,BOING,-G-GG,2,2,CSS,JOONG,-G-GG,2,2,CSS,YOUNG,GGGGG,0,0,CSS,,,,,
12,MEANS,True,5,BASED,-YYY-,5,5,LLM,STARE,Y-G-Y,4,4,CSS,LEANS,-GGGG,1,1,CSS,JEANS,-GGGG,1,1,CSS,MEANS,GGGGG,0,0,CSS,,,,,
13,TRUTH,True,6,TIBER,G---Y,4,4,LLM,TORUS,G-YY-,4,3,CSS,TRUDY,GGG--,2,2,CSS,TRUNK,GGG--,2,2,CSS,TRUMP,GGG--,2,2,CSS,TRUTH,GGGGG,0,0,CSS
14,FIRED,True,3,BASED,---GG,3,3,LLM,TIRED,-GGGG,1,1,CSS,FIRED,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
15,FOLKS,True,4,DEVOS,---YG,4,4,LLM,BOLTS,-GG-G,2,2,CSS,POLLS,-GG-G,2,2,CSS,FOLKS,GGGGG,0,0,CSS,,,,,,,,,,
16,CHILE,True,4,SMYTH,----Y,5,5,LLM,HOARE,Y---G,4,4,CSS,WHINE,-GG-G,2,2,CSS,CHILE,GGGGG,0,0,CSS,,,,,,,,,,
17,BLACK,True,3,BASED,GY---,4,4,LLM,BRAIN,G-G--,3,3,CSS,BLACK,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
18,GRANT,True,5,BASED,-Y---,5,5,LLM,ALAIN,--G-Y,4,4,CSS,THANK,Y-GG-,3,3,CSS,QUANT,--GGG,2,2,CSS,GRANT,GGGGG,0,0,CSS,,,,,
19,MEALS,True,5,BASED,-YYY-,5,5,LLM,STARE,Y-G-Y,4,4,CSS,LEAPS,YGG-G,2,2,CSS,HEALS,-GGGG,1,1,CSS,MEALS,GGGGG,0,0,CSS,,,,,
20,CREAM,True,4,GIVEN,---Y-,5,5,LLM,MEALS,YYY--,5,4,CSS,BREAM,-GGGG,1,1,CSS,CREAM,GGGGG,0,0,CSS,,,,,,,,,,
21,AWAKE,True,4,BASED,-Y-Y-,5,4,LLM,LEARN,-YG--,4,4,CSS,AGAVE,G-G-G,2,2,CSS,AWAKE,GGGGG,0,0,CSS,,,,,,,,,,
22,OCCUR,True,4,BASED,-----,5,5,LLM,COLIN,YY---,5,5,CSS,MCCOY,-GGY-,3,3,CSS,OCCUR,GGGGG,0,0,CSS,,,,,,,,,,
23,YEARS,True,5,BASED,-YYY-,5,5,LLM,STARE,Y-GGY,3,3,CSS,WEARS,-GGGG,1,1,CSS,HEARS,-GGGG,1,1,CSS,YEARS,GGGGG,0,0,CSS,,,,,
24,GRADE,True,4,BASED,-Y-YY,5,4,LLM,READE,Y-GGG,2,2,CSS,TRADE,-GGGG,1,1,CSS,GRADE,GGGGG,0,0,CSS,,,,,,,,,,
25,CHILL,True,5,BASED,-----,5,5,LLM,TURIN,---Y-,5,5,CSS,MILKY,-YY--,5,4,CSS,CHILI,GGGG-,1,1,CSS,CHILL,GGGGG,0,0,CSS,,,,,
26,FLOOD,True,3,BASED,----G,4,4,LLM,LURID,Y---G,4,4,CSS,FLOOD,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
27,APPLY,True,5,BASED,-Y---,5,5,LLM,ROHAN,---Y-,5,5,CSS,CLAIM,-YY--,5,5,CSS,APTLY,GG-GG,1,1,CSS,APPLY,GGGGG,0,0,CSS,,,,,
28,SMILE,True,5,BASED,--YY-,5,5,LLM,SEEIN,GY-Y-,4,4,CSS,STIPE,G-G-G,2,2,CSS,SLIME,GYGYG,2,2,CSS,SMILE,GGGGG,0,0,CSS,,,,,
29,KNOCK,True,4,BASED,-----,5,5,LLM,TIMON,---YY,5,5,CSS,CHONG,Y-GY-,4,4,CSS,KNOCK,GGGGG,0,0,CSS,,,,,,,,,,
30,SLEEP,True,5,BASED,--YG-,4,4,LLM,SIREN,G--G-,3,3,CSS,SLEET,GGGG-,1,1,CSS,SLEEK,GGGG-,1,1,CSS,SLEEP,GGGGG,0,0,CSS,,,,,
31,BRICK,True,5,DRAMA,-G---,4,4,LLM,TRIBE,-GGY-,3,3,CSS,BRINK,GGG-G,1,1,CSS,BRISK,GGG-G,1,1,CSS,BRICK,GGGGG,0,0,CSS,,,,,
32,WROTE,True,4,BASED,---Y-,5,5,LLM,CLINE,----G,4,4,CSS,TOURE,YY-YG,4,4,CSS,WROTE,GGGGG,0,0,CSS,,,,,,,,,,
33,RATED,True,2,BASED,-G-GG,2,2,LLM,RATED,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,
