game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,4,HOUSE,YY---,5,4,LLM,CHOIR,-GG--,3,3,CSS,THONG,YGG--,3,3,CSS,PHOTO,GGGGG,0,0,CSS,,,,,,,,,,
2,PARTY,True,5,FIRMS,--G--,4,4,LLM,CARNE,-GG--,3,3,CSS,DARLA,-GG--,3,3,CSS,BARTH,-GGG-,2,2,CSS,PARTY,GGGGG,0,0,CSS,,,,,
3,TRICK,True,4,GRAIN,-G-Y-,4,4,LLM,TRIES,GGG--,2,2,CSS,TRIPP,GGG--,2,2,CSS,TRICK,GGGGG,0,0,CSS,,,,,,,,,,
4,DIRTY,True,3,HOUSE,-----,5,5,LLM,NADIR,--YYY,5,4,CSS,DIRTY,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
5,USUAL,True,4,STYLE,Y--Y-,5,4,LLM,PALOS,-YY-Y,5,5,CSS,FLASH,-YYY-,5,5,CSS,USUAL,GGGGG,0,0,CSS,,,,,,,,,,
6,TRULY,True,3,BLURS,-YGY-,4,4,LLM,LAUER,Y-G-Y,4,4,CSS,TRULY,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
7,SPENT,True,5,RIVER,---Y-,5,5,LLM,NEALE,YY---,5,5,CSS,SHENG,G-GG-,2,2,CSS,STENT,G-GGG,1,1,CSS,SPENT,GGGGG,0,0,CSS,,,,,
8,PAUSE,True,3,HOUSE,--GGG,2,2,LLM,AMUSE,Y-GGG,2,2,CSS,PAUSE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
9,CRAZY,True,4,HOUSE,-----,5,5,LLM,MALIN,-Y---,5,5,CSS,TRACY,-GGYG,2,2,CSS,CRAZY,GGGGG,0,0,CSS,,,,,,,,,,
10,BASES,True,4,ROCKS,----G,4,4,LLM,SEATS,YYY-G,4,4,CSS,EASES,-GGGG,1,1,CSS,BASES,GGGGG,0,0,CSS,,,,,,,,,,
11,YOUNG,True,3,GRINS,Y--G-,4,4,LLM,CHONG,--YGG,3,3,CSS,YOUNG,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
12,MEANS,True,5,HOUSE,---YY,5,5,LLM,TIRES,---YG,4,4,CSS,DEALS,-GG-G,2,2,CSS,BEAMS,-GGYG,2,2,CSS,MEANS,GGGGG,0,0,CSS,,,,,
13,TRUTH,True,3,HOUSE,Y-G--,4,4,LLM,THUNK,GYG--,3,3,CSS,TRUTH,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
