game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,4,TRAIN,Y----,5,5,LLM,DUETS,---G-,4,4,CSS,BOOTH,-YGGY,3,3,VOI,PHOTO,GGGGG,0,0,CSS,,,,,,,,,,
2,PARTY,True,5,GIVEN,-----,5,5,LLM,CLOTS,---G-,4,4,CSS,FATTY,-G-GG,2,2,VOI,MARTY,-GGGG,1,1,CSS,PARTY,GGGGG,0,0,VOI,,,,,
3,TRICK,True,5,BASED,-----,5,5,LLM,LUTON,--Y--,5,5,CSS,MIRTH,-YYY-,5,5,VOI,TRIPP,GGG--,2,2,CSS,TRICK,GGGGG,0,0,VOI,,,,,
4,DIRTY,True,3,BASED,----Y,5,5,LLM,DONOR,G---Y,4,4,CSS,DIRTY,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
5,USUAL,True,3,CRUMP,--G--,4,4,LLM,SAULT,YYGY-,4,4,CSS,USUAL,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
6,TRULY,True,5,GUESS,-Y---,5,5,LLM,COUNT,--G-Y,4,4,CSS,THUMP,G-G--,3,3,VOI,TRUDY,GGG-G,1,1,CSS,TRULY,GGGGG,0,0,VOI,,,,,
7,SPENT,True,5,BASED,--YY-,5,5,LLM,SEINE,GY-G-,3,3,CSS,SCENT,G-GGG,1,1,VOI,STENT,G-GGG,1,1,CSS,SPENT,GGGGG,0,0,VOI,,,,,
8,PAUSE,True,2,BASED,-GYY-,4,3,LLM,PAUSE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,
9,CRAZY,True,5,BASED,-Y---,5,5,LLM,LORNA,--Y-Y,5,5,CSS,TRACK,-GGY-,3,3,VOI,CRAIG,GGG--,2,2,CSS,CRAZY,GGGGG,0,0,VOI,,,,,
10,BASES,True,3,BASED,GGGG-,1,1,LLM,BASEL,GGGG-,1,1,CSS,BASES,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
11,YOUNG,True,4,BASED,-----,5,5,LLM,CONTI,-GY--,4,4,CSS,HORNY,-G-GY,3,3,VOI,YOUNG,GGGGG,0,0,CSS,,,,,,,,,,
12,MEANS,True,4,BASED,-YYY-,5,5,LLM,SLATE,Y-G-Y,4,4,CSS,REAMS,-GGYG,2,2,VOI,MEANS,GGGGG,0,0,CSS,,,,,,,,,,
13,TRUTH,True,5,BASED,-----,5,5,LLM,MICRO,---Y-,5,5,CSS,GRUNT,-GG-Y,3,3,VOI,TRULY,GGG--,2,2,CSS,TRUTH,GGGGG,0,0,VOI,,,,,
14,FIRED,True,3,BASED,---GG,3,3,LLM,TIRED,-GGGG,1,1,CSS,FIRED,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
15,FOLKS,True,5,BASED,--Y--,5,5,LLM,COLTS,-GG-G,2,2,CSS,SOLIS,-GG-G,2,2,VOI,ROLLS,-GG-G,2,2,CSS,FOLKS,GGGGG,0,0,VOI,,,,,
16,CHILE,True,3,LANKY,Y----,5,5,LLM,ELLIS,YY-Y-,5,5,CSS,CHILE,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
17,BLACK,True,5,GIVEN,-----,5,5,LLM,HALTS,-YY--,5,5,CSS,AURAL,Y---Y,5,5,VOI,FLAKY,-GGY-,3,3,CSS,BLACK,GGGGG,0,0,VOI,,,,,
18,GRANT,True,4,GUESS,G----,4,4,LLM,GORAN,G-YYY,4,2,CSS,GRAND,GGGG-,1,1,VOI,GRANT,GGGGG,0,0,CSS,,,,,,,,,,
19,MEALS,True,4,BASED,-YYY-,5,5,LLM,STARE,Y-G-Y,4,4,CSS,LEANS,YGG-G,2,2,VOI,MEALS,GGGGG,0,0,CSS,,,,,,,,,,
20,CREAM,True,4,WOULD,-----,5,5,LLM,RATES,YY-Y-,5,5,CSS,BRACE,-GYYY,4,4,VOI,CREAM,GGGGG,0,0,CSS,,,,,,,,,,
21,AWAKE,True,4,GUESS,--Y--,5,5,LLM,REALM,-YG--,4,4,CSS,THANE,--G-G,3,3,VOI,AWAKE,GGGGG,0,0,CSS,,,,,,,,,,
22,OCCUR,True,4,BASED,-----,5,5,LLM,POINT,-Y---,5,5,CSS,GROOM,-YY--,5,5,VOI,OCCUR,GGGGG,0,0,CSS,,,,,,,,,,
23,YEARS,False,6,BASED,-YYY-,5,5,LLM,TEARS,-GGGG,1,1,CSS,GEARS,-GGGG,1,1,VOI,MEARS,-GGGG,1,1,CSS,FEARS,-GGGG,1,1,VOI,REARS,-GGGG,1,1,CSS
24,GRADE,True,4,BASED,-Y-YY,5,4,LLM,READE,Y-GGG,2,2,CSS,TRADE,-GGGG,1,1,VOI,GRADE,GGGGG,0,0,CSS,,,,,,,,,,
25,CHILL,True,5,GUESS,-----,5,5,LLM,RADON,-----,5,5,CSS,BLYTH,-Y--Y,5,5,VOI,CHILI,GGGG-,1,1,CSS,CHILL,GGGGG,0,0,VOI,,,,,
26,FLOOD,True,3,BASED,----G,4,4,LLM,LURID,Y---G,4,4,CSS,FLOOD,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
27,APPLY,True,5,BASED,-Y---,5,5,LLM,TIARA,--Y--,5,5,CSS,LOHAN,Y--Y-,5,5,VOI,AMPLY,G-GGG,1,1,CSS,APPLY,GGGGG,0,0,VOI,,,,,
28,SMILE,True,5,GUESS,--YY-,5,5,LLM,SAREE,G---G,3,3,CSS,STIPE,G-G-G,2,2,VOI,SLIDE,GYG-G,2,2,CSS,SMILE,GGGGG,0,0,VOI,,,,,
29,KNOCK,True,4,GUESS,-----,5,5,LLM,COLIN,YY--Y,5,5,CSS,NACHO,Y-Y-Y,5,4,VOI,KNOCK,GGGGG,0,0,CSS,,,,,,,,,,
30,SLEEP,True,5,BASED,--YG-,4,4,LLM,TIRES,---GY,4,4,CSS,SWEEP,G-GGG,1,1,VOI,SHEEP,G-GGG,1,1,CSS,SLEEP,GGGGG,0,0,VOI,,,,,
31,BRICK,True,4,AFTER,----Y,5,5,LLM,GRINS,-GG--,3,3,CSS,PRICK,-GGGG,1,1,VOI,BRICK,GGGGG,0,0,CSS,,,,,,,,,,
32,WROTE,True,4,GUESS,--Y--,5,5,LLM,LATER,--YYY,5,4,CSS,NORTE,-YYGG,3,3,VOI,WROTE,GGGGG,0,0,CSS,,,,,,,,,,
33,RATED,True,2,BASED,-G-GG,2,2,LLM,RATED,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,
34,ALERT,True,3,BASED,-Y-Y-,5,4,LLM,GLARE,-GYGY,3,3,CSS,ALERT,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
35,CAGES,False,6,GIVEN,Y--G-,4,4,LLM,EAGER,-GGG-,2,2,CSS,MAGES,-GGGG,1,1,VOI,WAGES,-GGGG,1,1,CSS,SAGES,-GGGG,1,1,VOI,PAGES,-GGGG,1,1,CSS
36,TEDDY,True,4,BASED,---YY,5,5,LLM,DRONE,Y---Y,5,5,CSS,MEDIC,-GG--,3,3,VOI,TEDDY,GGGGG,0,0,CSS,,,,,,,,,,
37,COLES,True,6,BASED,--YG-,4,4,LLM,SIREN,Y--G-,4,4,CSS,MOLES,-GGGG,1,1,VOI,POLES,-GGGG,1,1,CSS,HOLES,-GGGG,1,1,VOI,COLES,GGGGG,0,0,CSS
