game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,4,GUESS,-----,5,5,LLM,RAINY,-----,5,5,CSS,BOOTH,-YGGY,3,3,CSS,PHOTO,GGGGG,0,0,VOI,,,,,,,,,,
2,PARTY,True,4,BASED,-G---,4,4,LLM,LAMAR,-G--Y,4,4,CSS,CAIRO,-G-Y-,4,4,CSS,PARTY,GGGGG,0,0,VOI,,,,,,,,,,
3,TRICK,True,3,BASED,-----,5,5,LLM,TIMON,GY---,4,4,CSS,TRICK,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
4,DIRTY,True,3,BASED,----Y,5,5,LLM,DONOR,G---Y,4,4,CSS,DIRTY,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
5,USUAL,True,4,BASED,-YY--,5,5,LLM,STARS,Y-Y--,5,4,CSS,ASIAN,-G-G-,3,3,CSS,USUAL,GGGGG,0,0,VOI,,,,,,,,,,
6,TRULY,True,4,BASED,-----,5,5,LLM,COUNT,--G-Y,4,4,CSS,THUMP,G-G--,3,3,CSS,TRULY,GGGGG,0,0,VOI,,,,,,,,,,
7,SPENT,True,4,GUESS,--GY-,4,4,LLM,STEEN,GYG-Y,3,3,CSS,SCENT,G-GGG,1,1,CSS,SPENT,GGGGG,0,0,VOI,,,,,,,,,,
8,PAUSE,True,2,BASED,-GYY-,4,3,LLM,PAUSE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,
9,CRAZY,True,5,BASED,-Y---,5,5,LLM,ARIAN,YG---,4,4,CSS,TRACT,-GGY-,3,3,CSS,CRAMP,GGG--,2,2,VOI,CRAZY,GGGGG,0,0,VOI,,,,,
10,BASES,True,5,GUESS,--YYG,4,4,LLM,SALES,YG-GG,2,2,CSS,CASES,-GGGG,1,1,CSS,VASES,-GGGG,1,1,VOI,BASES,GGGGG,0,0,VOI,,,,,
11,YOUNG,True,4,BASED,-----,5,5,LLM,CHOIR,--Y--,5,5,CSS,LOFTY,-G--Y,4,4,CSS,YOUNG,GGGGG,0,0,VOI,,,,,,,,,,
12,MEANS,True,5,BASED,-YYY-,5,5,LLM,TEARS,-GG-G,2,2,CSS,LEAPS,-GG-G,2,2,CSS,JEANS,-GGGG,1,1,VOI,MEANS,GGGGG,0,0,VOI,,,,,
13,TRUTH,True,4,KAZUO,---Y-,5,5,LLM,CULTS,-Y-G-,4,4,CSS,UNITE,Y--G-,4,4,CSS,TRUTH,GGGGG,0,0,VOI,,,,,,,,,,
14,FIRED,True,5,GULAG,-----,5,5,LLM,TIRES,-GGG-,2,2,CSS,MIRED,-GGGG,1,1,CSS,HIRED,-GGGG,1,1,VOI,FIRED,GGGGG,0,0,VOI,,,,,
15,FOLKS,True,5,BASED,--Y--,5,5,LLM,SLOTH,YYY--,5,5,CSS,LOUIS,YG--G,3,3,CSS,YOLKS,-GGGG,1,1,VOI,FOLKS,GGGGG,0,0,VOI,,,,,
16,CHILE,True,5,BASED,---Y-,5,5,LLM,LEONE,Y---G,4,4,CSS,MILLE,-Y-GG,3,3,CSS,WHILE,-GGGG,1,1,VOI,CHILE,GGGGG,0,0,VOI,,,,,
17,BLACK,True,4,BASED,GY---,4,4,LLM,BRAIN,G-G--,3,3,CSS,BLATT,GGG--,2,2,CSS,BLACK,GGGGG,0,0,VOI,,,,,,,,,,
18,GRANT,True,3,BASED,-Y---,5,5,LLM,TRAIN,YGG-Y,3,3,CSS,GRANT,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
19,MEALS,True,5,BASED,-YYY-,5,5,LLM,TEARS,-GG-G,2,2,CSS,LEAPS,YGG-G,2,2,CSS,SEALS,-GGGG,1,1,VOI,MEALS,GGGGG,0,0,VOI,,,,,
20,CREAM,True,6,BASED,-Y-Y-,5,5,LLM,GLARE,--YYY,5,5,CSS,REINA,YY--Y,5,4,CSS,FREAK,-GGG-,2,2,VOI,TREAT,-GGG-,2,2,VOI,CREAM,GGGGG,0,0,VOI
21,AWAKE,True,5,STOCK,----Y,5,5,LLM,KAINE,YY--G,4,4,CSS,BLAKE,--GGG,2,2,CSS,QUAKE,--GGG,2,2,VOI,AWAKE,GGGGG,0,0,VOI,,,,,
22,OCCUR,True,5,BASED,-----,5,5,LLM,PHILO,----Y,5,5,CSS,MORON,-YY--,5,5,CSS,TROUT,-YYG-,4,4,VOI,OCCUR,GGGGG,0,0,VOI,,,,,
23,YEARS,False,6,BASED,-YYY-,5,5,LLM,TEARS,-GGGG,1,1,CSS,SEARS,-GGGG,1,1,CSS,MEARS,-GGGG,1,1,VOI,FEARS,-GGGG,1,1,VOI,REARS,-GGGG,1,1,VOI
24,GRADE,True,4,SINCE,----G,4,4,LLM,GLARE,G-GYG,2,2,CSS,GRAVE,GGG-G,1,1,CSS,GRADE,GGGGG,0,0,VOI,,,,,,,,,,
25,CHILL,True,4,BASED,-----,5,5,LLM,RICOH,-YY-Y,5,5,CSS,CHINK,GGG--,2,2,CSS,CHILL,GGGGG,0,0,VOI,,,,,,,,,,
26,FLOOD,True,3,SLOPE,-GG--,3,3,LLM,ALOOF,-GGGY,2,2,CSS,FLOOD,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
27,APPLY,True,4,GIVEN,-----,5,5,LLM,COATS,--Y--,5,5,CSS,MARLA,-Y-G-,4,4,CSS,APPLY,GGGGG,0,0,VOI,,,,,,,,,,
28,SMILE,True,4,LICKS,YY--Y,5,5,LLM,SPIEL,G-GYY,3,3,CSS,SLIME,GYGYG,2,2,CSS,SMILE,GGGGG,0,0,VOI,,,,,,,,,,
29,KNOCK,True,4,TEETH,-----,5,5,LLM,SARIN,----Y,5,5,CSS,BUNDY,--Y--,5,5,CSS,KNOCK,GGGGG,0,0,VOI,,,,,,,,,,
30,SLEEP,True,4,BASED,--YG-,4,4,LLM,NILES,--YGY,4,4,CSS,SLEET,GGGG-,1,1,CSS,SLEEP,GGGGG,0,0,VOI,,,,,,,,,,
31,BRICK,True,4,BASED,G----,4,4,LLM,BURNT,G-Y--,4,4,CSS,BROOK,GG--G,2,2,CSS,BRICK,GGGGG,0,0,VOI,,,,,,,,,,
32,WROTE,True,4,BASED,---Y-,5,5,LLM,LITRE,--YYG,4,4,CSS,PORTE,-YYGG,3,3,CSS,WROTE,GGGGG,0,0,VOI,,,,,,,,,,
33,RATED,True,3,GIVEN,---G-,4,4,LLM,DARES,YGYG-,3,3,CSS,RATED,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
34,ALERT,True,4,KEIKO,-Y---,5,5,LLM,CATER,-YYYY,5,3,CSS,GREAT,-YGYG,3,3,CSS,ALERT,GGGGG,0,0,VOI,,,,,,,,,,
35,CAGES,True,3,BASED,-GYG-,3,3,LLM,CARES,GG-GG,1,1,CSS,CAGES,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
36,TEDDY,True,4,BASED,---YY,5,5,LLM,DRONE,Y---Y,5,5,CSS,MEHDI,-G-G-,3,3,CSS,TEDDY,GGGGG,0,0,VOI,,,,,,,,,,
37,COLES,False,6,BASED,--YG-,4,4,LLM,SIREN,Y--G-,4,4,CSS,MOLES,-GGGG,1,1,CSS,FOLES,-GGGG,1,1,VOI,HOLES,-GGGG,1,1,VOI,POLES,-GGGG,1,1,VOI
38,HWANG,True,5,BASED,-Y---,5,5,LLM,TRAIN,--G-Y,4,4,CSS,CHANG,-YGGG,2,2,CSS,HUANG,G-GGG,1,1,VOI,HWANG,GGGGG,0,0,VOI,,,,,
39,WRATH,True,5,GUESS,-----,5,5,LLM,LORNA,--Y-Y,5,5,CSS,TAHIR,YYY-Y,5,5,CSS,CHART,-YGYY,4,4,VOI,WRATH,GGGGG,0,0,VOI,,,,,
