game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,4,GIVEN,-----,5,5,LLM,TOURS,YY---,5,5,VOI,ALOFT,--G-Y,4,4,VOI,PHOTO,GGGGG,0,0,VOI,,,,,,,,,,
2,PARTY,True,4,LANES,-G---,4,4,LLM,FACTO,-G-G-,3,3,VOI,MARTY,-GGGG,1,1,VOI,PARTY,GGGGG,0,0,VOI,,,,,,,,,,
3,TRICK,True,4,CRAVE,YG---,4,4,LLM,BROCK,-G-GG,2,2,VOI,TRUCK,GG-GG,1,1,VOI,TRICK,GGGGG,0,0,VOI,,,,,,,,,,
4,DIRTY,True,5,PANTS,---G-,4,4,LLM,KYOTO,-Y-G-,4,4,VOI,BLYTH,--YG-,4,4,VOI,DITTY,GG-GG,1,1,VOI,DIRTY,GGGGG,0,0,VOI,,,,,
5,USUAL,True,5,GIVEN,-----,5,5,LLM,FROTH,-----,5,5,VOI,SALMA,YYY--,5,4,VOI,CLASP,-YYY-,5,5,VOI,USUAL,GGGGG,0,0,VOI,,,,,
6,TRULY,True,5,TOYED,G-Y--,4,4,LLM,TITTY,G---G,3,3,VOI,TABBY,G---G,3,3,VOI,TUMMY,GY--G,3,3,VOI,TRULY,GGGGG,0,0,VOI,,,,,
7,SPENT,True,4,TERSE,YY-Y-,5,5,LLM,ITEMS,-YG-Y,4,4,VOI,SLEPT,G-GYG,2,2,VOI,SPENT,GGGGG,0,0,VOI,,,,,,,,,,
8,PAUSE,True,2,SUPER,YYYY-,5,4,LLM,PAUSE,GGGGG,0,0,VOI,,,,,,,,,,,,,,,,,,,,
9,CRAZY,True,4,BASED,-Y---,5,5,LLM,ALCOA,Y-Y--,5,5,VOI,TRACY,-GGYG,2,2,VOI,CRAZY,GGGGG,0,0,VOI,,,,,,,,,,
10,BASES,True,5,WOULD,-----,5,5,LLM,CATES,-G-GG,2,2,VOI,MAGES,-G-GG,2,2,VOI,SAVES,YG-GG,2,2,VOI,BASES,GGGGG,0,0,VOI,,,,,
11,YOUNG,True,4,WOULD,-GG--,3,3,LLM,TOURS,-GG--,3,3,VOI,COUGH,-GGY-,3,3,VOI,YOUNG,GGGGG,0,0,VOI,,,,,,,,,,
12,MEANS,True,3,RAMAN,-YY-Y,5,4,LLM,AMINO,YY-G-,4,4,VOI,MEANS,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
