game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,3,SHANE,-G---,4,4,LLM,CHIRP,-G--Y,4,4,VOI,PHOTO,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
2,PARTY,True,5,SUMMA,----Y,5,5,LLM,LAYER,-GY-Y,4,4,VOI,HARRY,-GG-G,2,2,VOI,DARBY,-GG-G,2,2,CSS,PARTY,GGGGG,0,0,CSS,,,,,
3,TRICK,True,3,RISER,YY---,5,4,LLM,TRAIN,GG-Y-,3,3,VOI,TRICK,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
4,DIRTY,True,4,WOULD,----Y,5,5,LLM,DIANE,GG---,3,3,VOI,DITTY,GG-GG,1,1,VOI,DIRTY,GGGGG,0,0,CSS,,,,,,,,,,
5,USUAL,True,3,ASTON,YG---,4,4,LLM,ISSAC,-G-G-,3,3,VOI,USUAL,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
6,TRULY,True,3,NORTH,--YY-,5,5,LLM,TEARS,G--Y-,4,4,VOI,TRULY,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
7,SPENT,True,3,VALID,-----,5,5,LLM,SOREN,G--YY,4,3,VOI,SPENT,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
8,PAUSE,True,5,GRAVY,--Y--,5,5,LLM,NASAL,-GY--,4,4,VOI,TACKS,-G--Y,4,4,VOI,SADIQ,YG---,4,4,CSS,PAUSE,GGGGG,0,0,CSS,,,,,
9,CRAZY,True,5,BASED,-Y---,5,5,LLM,ACORN,YY-Y-,5,5,VOI,TRACI,-GGY-,3,3,VOI,CRAWL,GGG--,2,2,CSS,CRAZY,GGGGG,0,0,CSS,,,,,
10,BASES,True,6,GIVEN,---G-,4,4,LLM,ALDER,Y--G-,4,4,VOI,TAKES,-G-GG,2,2,VOI,CASES,-GGGG,1,1,CSS,EASES,-GGGG,1,1,CSS,BASES,GGGGG,0,0,CSS
11,YOUNG,True,4,STANK,---G-,4,4,LLM,COYNE,-GYG-,3,3,VOI,RONNY,-G-GY,3,3,VOI,YOUNG,GGGGG,0,0,CSS,,,,,,,,,,
12,MEANS,True,4,WOULD,-----,5,5,LLM,HAIRS,-Y--G,4,4,VOI,TEAMS,-GGYG,2,2,VOI,MEANS,GGGGG,0,0,CSS,,,,,,,,,,
13,TRUTH,True,4,SHINS,-Y---,5,5,LLM,HAUTE,Y-GG-,3,3,VOI,YOUTH,--GGG,2,2,VOI,TRUTH,GGGGG,0,0,CSS,,,,,,,,,,
14,FIRED,True,3,WOULD,----G,4,4,LLM,RATED,Y--GG,3,3,VOI,FIRED,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
15,FOLKS,True,5,GIVEN,-----,5,5,LLM,RAMOS,---YG,4,4,VOI,CLOTS,-YY-G,4,4,VOI,FOLDS,GGG-G,1,1,CSS,FOLKS,GGGGG,0,0,CSS,,,,,
16,CHILE,True,5,BASED,---Y-,5,5,LLM,LOIRE,Y-G-G,3,3,VOI,EXILE,--GGG,2,2,VOI,WHILE,-GGGG,1,1,CSS,CHILE,GGGGG,0,0,CSS,,,,,
17,BLACK,True,3,BASED,GY---,4,4,LLM,BRAWN,G-G--,3,3,VOI,BLACK,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
18,GRANT,True,4,DELLA,----Y,5,5,LLM,YARNS,-YYG-,4,4,VOI,FRANK,-GGG-,2,2,VOI,GRANT,GGGGG,0,0,CSS,,,,,,,,,,
19,MEALS,True,5,WOULD,---G-,4,4,LLM,SALLE,YY-GY,4,4,VOI,HEALS,-GGGG,1,1,VOI,REALS,-GGGG,1,1,CSS,MEALS,GGGGG,0,0,CSS,,,,,
20,CREAM,True,4,FRAUD,-GY--,4,4,LLM,ARENA,YGG--,3,3,VOI,BREAM,-GGGG,1,1,VOI,CREAM,GGGGG,0,0,CSS,,,,,,,,,,
21,AWAKE,True,4,RANGE,-Y--G,4,4,LLM,SLATE,--G-G,3,3,VOI,PEAKE,--GGG,2,2,VOI,AWAKE,GGGGG,0,0,CSS,,,,,,,,,,
22,OCCUR,True,4,GUESS,-Y---,5,5,LLM,ADULT,--Y--,5,5,VOI,OPIUM,G--G-,3,3,VOI,OCCUR,GGGGG,0,0,CSS,,,,,,,,,,
23,YEARS,True,6,LANCE,-Y--Y,5,5,LLM,AREAS,YYY-G,4,3,VOI,REAMS,YGG-G,2,2,VOI,SEARS,-GGGG,1,1,CSS,BEARS,-GGGG,1,1,CSS,YEARS,GGGGG,0,0,CSS
24,GRADE,True,3,YOURE,---YG,4,4,LLM,CARNE,-YY-G,4,4,VOI,GRADE,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
25,CHILL,True,4,GIVEN,-Y---,5,5,LLM,STAIR,---Y-,5,5,VOI,FLICK,-YGY-,4,4,VOI,CHILL,GGGGG,0,0,CSS,,,,,,,,,,
26,FLOOD,True,5,ABABA,-----,5,5,LLM,HEIRS,-----,5,5,VOI,MOLDY,-YYY-,5,4,VOI,CLOUD,-GG-G,2,2,CSS,FLOOD,GGGGG,0,0,CSS,,,,,
