game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,5,SIREN,-----,5,5,CSS,WOULD,-Y---,5,5,LLM,CABOT,---YY,5,4,LLM,KYOTO,--GGG,2,2,LLM,PHOTO,GGGGG,0,0,LLM,,,,,
2,PARTY,True,4,DEALS,--Y--,5,5,CSS,MANIA,-G---,4,4,LLM,TAROT,YGG--,3,3,LLM,PARTY,GGGGG,0,0,LLM,,,,,,,,,,
3,TRICK,True,3,RAISE,Y-G--,4,4,CSS,GRILL,-GG--,3,3,LLM,TRICK,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
4,DIRTY,True,4,LAINE,--Y--,5,5,CSS,MOTIF,--YY-,5,5,LLM,BIRTH,-GGG-,2,2,LLM,DIRTY,GGGGG,0,0,LLM,,,,,,,,,,
5,USUAL,True,4,MARNE,-Y---,5,5,CSS,STACK,Y-Y--,5,4,LLM,ALIAS,-Y-GY,4,4,LLM,USUAL,GGGGG,0,0,LLM,,,,,,,,,,
6,TRULY,True,3,TESLA,G--G-,3,3,CSS,TROLL,GG-G-,2,2,LLM,TRULY,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
7,SPENT,True,5,NOISE,Y--YY,5,5,CSS,LANES,--YYY,5,5,LLM,STENT,G-GGG,1,1,LLM,SCENT,G-GGG,1,1,LLM,SPENT,GGGGG,0,0,LLM,,,,,
8,PAUSE,True,4,CARNE,-G--G,3,3,CSS,SABLE,YG--G,3,3,LLM,PASTE,GGY-G,2,2,LLM,PAUSE,GGGGG,0,0,LLM,,,,,,,,,,
9,CRAZY,True,6,SLIDE,-----,5,5,CSS,MACAO,-YY--,5,5,LLM,CRANK,GGG--,2,2,LLM,CRAFT,GGG--,2,2,LLM,CRABB,GGG--,2,2,LLM,CRAZY,GGGGG,0,0,LLM
10,BASES,True,4,ARTIE,Y---Y,5,5,CSS,BASED,GGGG-,1,1,LLM,BASEL,GGGG-,1,1,LLM,BASES,GGGGG,0,0,LLM,,,,,,,,,,
