game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,3,DALES,-----,5,5,CSS,PROOF,G-GY-,3,3,LLM,PHOTO,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
2,PARTY,True,3,TIRES,Y-G--,4,4,CSS,MARTY,-GGGG,1,1,LLM,PARTY,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
3,TRICK,True,3,SALEM,-----,5,5,CSS,KNOWN,Y----,5,5,LLM,TRICK,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
4,DIRTY,True,3,AROSE,-Y---,5,5,CSS,BIRTH,-GGG-,2,2,LLM,DIRTY,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
5,USUAL,True,3,HATES,-Y--Y,5,5,CSS,SCALA,Y-YY-,5,3,LLM,USUAL,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
6,TRULY,True,4,PAINS,-----,5,5,CSS,HOUSE,--G--,4,4,LLM,TRUCK,GGG--,2,2,LLM,TRULY,GGGGG,0,0,LLM,,,,,,,,,,
7,SPENT,True,3,MARIS,----Y,5,5,CSS,SENSE,GYY--,4,3,LLM,SPENT,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
8,PAUSE,True,4,TONES,---YY,5,5,CSS,SPEAK,YYYY-,5,5,LLM,PARSE,GG-GG,1,1,LLM,PAUSE,GGGGG,0,0,LLM,,,,,,,,,,
9,CRAZY,True,4,SONAR,---YY,5,5,CSS,LARVA,-YY--,5,5,LLM,GRAZE,-GGG-,2,2,LLM,CRAZY,GGGGG,0,0,LLM,,,,,,,,,,
10,BASES,False,6,RAINS,-G--G,3,3,CSS,WAKES,-G-GG,2,2,LLM,MALES,-G-GG,2,2,LLM,HAVES,-G-GG,2,2,LLM,TAPES,-G-GG,2,2,LLM,CASES,-GGGG,1,1,LLM
11,YOUNG,True,4,LEANS,---G-,4,4,CSS,THINK,---G-,4,4,LLM,BOUND,-GGG-,2,2,LLM,YOUNG,GGGGG,0,0,LLM,,,,,,,,,,
12,MEANS,True,4,SARIN,YY--Y,5,5,CSS,BEANS,-GGGG,1,1,LLM,JEANS,-GGGG,1,1,LLM,MEANS,GGGGG,0,0,LLM,,,,,,,,,,
13,TRUTH,True,4,LINES,-----,5,5,CSS,HOUSE,Y-G--,4,4,LLM,THUMB,GYG--,3,3,LLM,TRUTH,GGGGG,0,0,LLM,,,,,,,,,,
14,FIRED,True,5,SLATE,----Y,5,5,CSS,BREEN,-Y-G-,4,4,LLM,ROWER,Y--G-,4,4,LLM,HIRED,-GGGG,1,1,LLM,FIRED,GGGGG,0,0,LLM,,,,,
15,FOLKS,True,4,ASHER,-Y---,5,5,CSS,KINGS,Y---G,4,4,LLM,COOKS,-G-GG,2,2,LLM,FOLKS,GGGGG,0,0,LLM,,,,,,,,,,
16,CHILE,True,3,HALES,Y-YY-,5,3,CSS,WHILE,-GGGG,1,1,LLM,CHILE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
17,BLACK,True,3,DARES,-Y---,5,5,CSS,FLANK,-GG-G,2,2,LLM,BLACK,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
18,GRANT,True,3,RIOTS,Y--Y-,5,4,CSS,GRUNT,GG-GG,1,1,LLM,GRANT,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
19,MEALS,True,5,HEATS,-GG-G,2,2,CSS,BEANS,-GG-G,2,2,LLM,SEARS,-GG-G,2,2,LLM,LEAPS,YGG-G,2,2,LLM,MEALS,GGGGG,0,0,LLM,,,,,
20,CREAM,True,6,SHANE,--Y-Y,5,5,CSS,RAZER,YY-Y-,5,5,LLM,BREAD,-GGG-,2,2,LLM,TREAT,-GGG-,2,2,LLM,WREAK,-GGG-,2,2,LLM,CREAM,GGGGG,0,0,LLM
21,AWAKE,True,4,RATES,-Y-Y-,5,4,CSS,HEAVE,--G-G,3,3,LLM,BLAZE,--G-G,3,3,LLM,AWAKE,GGGGG,0,0,LLM,,,,,,,,,,
22,OCCUR,True,4,RAISE,Y----,5,5,CSS,BROOM,-YY--,5,5,LLM,WORLD,-YY--,5,5,LLM,OCCUR,GGGGG,0,0,LLM,,,,,,,,,,
23,YEARS,True,3,RACES,YY-YG,4,4,CSS,HEARS,-GGGG,1,1,LLM,YEARS,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
