game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,False,1,ROSIE,-Y---,5,5,CSS,,,,,,,,,,,,,,,,,,,,,,,,,
2,PARTY,False,1,AIRES,Y-G--,4,4,CSS,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRICK,False,1,STARE,-Y-Y-,5,5,CSS,,,,,,,,,,,,,,,,,,,,,,,,,
4,DIRTY,False,1,SLOAN,-----,5,5,CSS,,,,,,,,,,,,,,,,,,,,,,,,,
5,USUAL,False,1,SAREE,YY---,5,5,CSS,,,,,,,,,,,,,,,,,,,,,,,,,
6,TRULY,False,1,ROSEN,Y----,5,5,CSS,,,,,,,,,,,,,,,,,,,,,,,,,
7,SPENT,False,1,SLAIN,G---Y,4,4,CSS,,,,,,,,,,,,,,,,,,,,,,,,,
8,PAUSE,False,1,ALIEN,Y--Y-,5,4,CSS,,,,,,,,,,,,,,,,,,,,,,,,,
9,CRAZY,False,1,DANTE,-Y---,5,5,CSS,,,,,,,,,,,,,,,,,,,,,,,,,
10,BASES,False,1,ARISE,Y--YY,5,4,CSS,,,,,,,,,,,,,,,,,,,,,,,,,
11,YOUNG,False,1,RAINE,---G-,4,4,CSS,,,,,,,,,,,,,,,,,,,,,,,,,
12,MEANS,False,1,HALES,-Y-YG,4,4,CSS,,,,,,,,,,,,,,,,,,,,,,,,,
13,TRUTH,False,1,LEANS,-----,5,5,CSS,,,,,,,,,,,,,,,,,,,,,,,,,
14,FIRED,False,1,LAUDE,---YY,5,5,CSS,,,,,,,,,,,,,,,,,,,,,,,,,
15,FOLKS,False,1,MEARS,----G,4,4,CSS,,,,,,,,,,,,,,,,,,,,,,,,,
16,CHILE,False,1,TEARS,-Y---,5,5,CSS,,,,,,,,,,,,,,,,,,,,,,,,,
17,BLACK,False,1,RAMEN,-Y---,5,5,CSS,,,,,,,,,,,,,,,,,,,,,,,,,
18,GRANT,False,1,BALES,-Y---,5,5,CSS,,,,,,,,,,,,,,,,,,,,,,,,,
19,MEALS,False,1,ELIAS,YY-YG,4,4,CSS,,,,,,,,,,,,,,,,,,,,,,,,,
20,CREAM,False,1,STALE,--Y-Y,5,5,CSS,,,,,,,,,,,,,,,,,,,,,,,,,
21,AWAKE,False,1,TIRES,---Y-,5,5,CSS,,,,,,,,,,,,,,,,,,,,,,,,,
22,OCCUR,False,1,SORTA,-YY--,5,5,CSS,,,,,,,,,,,,,,,,,,,,,,,,,
23,YEARS,False,1,SPATE,Y-G-Y,4,4,CSS,,,,,,,,,,,,,,,,,,,,,,,,,
24,GRADE,False,1,SELMA,-Y--Y,5,5,CSS,,,,,,,,,,,,,,,,,,,,,,,,,
25,CHILL,False,1,IRENA,Y----,5,5,CSS,,,,,,,,,,,,,,,,,,,,,,,,,
26,FLOOD,False,1,LANES,Y----,5,5,CSS,,,,,,,,,,,,,,,,,,,,,,,,,
27,APPLY,False,1,LACES,YY---,5,5,CSS,,,,,,,,,,,,,,,,,,,,,,,,,
28,SMILE,False,1,TIRES,-Y-YY,5,4,CSS,,,,,,,,,,,,,,,,,,,,,,,,,
29,KNOCK,False,1,MARES,-----,5,5,CSS,,,,,,,,,,,,,,,,,,,,,,,,,
30,SLEEP,False,1,SORTA,G----,4,4,CSS,,,,,,,,,,,,,,,,,,,,,,,,,
31,BRICK,False,1,ROAST,Y----,5,5,CSS,,,,,,,,,,,,,,,,,,,,,,,,,
32,WROTE,False,1,REALS,YY---,5,5,CSS,,,,,,,,,,,,,,,,,,,,,,,,,
33,RATED,False,1,SINCE,----Y,5,5,CSS,,,,,,,,,,,,,,,,,,,,,,,,,
34,ALERT,False,1,STERN,-YGG-,3,3,CSS,,,,,,,,,,,,,,,,,,,,,,,,,
35,CAGES,False,1,SALEH,YG-G-,3,3,CSS,,,,,,,,,,,,,,,,,,,,,,,,,
