game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,4,DATES,--Y--,5,5,CSS,TYROL,Y--Y-,5,5,LLM,MOUNT,-Y--Y,5,5,LLM,PHOTO,GGGGG,0,0,LLM,,,,,,,,,,
2,PARTY,True,4,SALON,-G---,4,4,CSS,MARCH,-GG--,3,3,LLM,PARRY,GGG-G,1,1,LLM,PARTY,GGGGG,0,0,LLM,,,,,,,,,,
3,TRICK,True,4,READS,Y----,5,5,CSS,FOCUS,--Y--,5,5,LLM,CRICK,-GGGG,1,1,LLM,TRICK,GGGGG,0,0,LLM,,,,,,,,,,
4,DIRTY,True,4,IRENA,YY---,5,4,CSS,STIRS,-YYY-,5,4,LLM,GIRTH,-GGG-,2,2,LLM,DIRTY,GGGGG,0,0,LLM,,,,,,,,,,
5,USUAL,True,3,SAREE,YY---,5,5,CSS,ASLAN,-GYG-,3,3,LLM,USUAL,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
6,TRULY,True,3,EARLS,--YG-,4,4,CSS,TRULL,GGGG-,1,1,LLM,TRULY,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
7,SPENT,True,4,RAGES,---YY,5,5,CSS,SHELF,G-G--,3,3,LLM,STEIN,GYG-Y,3,3,LLM,SPENT,GGGGG,0,0,LLM,,,,,,,,,,
8,PAUSE,True,3,LEARN,-YY--,5,5,CSS,PACES,GG-YY,3,3,LLM,PAUSE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
9,CRAZY,False,6,REINS,Y----,5,5,CSS,MAURO,-Y-Y-,5,5,LLM,CRAFT,GGG--,2,2,LLM,CRABB,GGG--,2,2,LLM,CRACK,GGG--,2,2,LLM,CRAWL,GGG--,2,2,LLM
10,BASES,True,3,ARTIS,Y---G,4,4,CSS,BASED,GGGG-,1,1,LLM,BASES,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
11,YOUNG,True,4,EATIN,----Y,5,5,CSS,RONDO,-GY--,4,4,LLM,JOHNS,-G-G-,3,3,LLM,YOUNG,GGGGG,0,0,LLM,,,,,,,,,,
12,MEANS,True,4,TIMES,--YYG,4,4,CSS,SEEMS,-G-YG,3,3,LLM,MENUS,GGY-G,2,2,LLM,MEANS,GGGGG,0,0,LLM,,,,,,,,,,
