game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,4,BASED,-----,5,5,LLM,POINT,GY--Y,4,4,CSS,PROTO,G-GGG,1,1,CSS,PHOTO,GGGGG,0,0,CSS,,,,,,,,,,
2,PARTY,True,4,BASED,-G---,4,4,LLM,MANTA,-G-G-,3,3,CSS,PATTI,GG-G-,2,2,CSS,PARTY,GGGGG,0,0,CSS,,,,,,,,,,
3,TRICK,True,4,GIVEN,-Y---,5,5,LLM,BAILS,--G--,4,4,CSS,CHIRP,Y-GY-,4,4,CSS,TRICK,GGGGG,0,0,CSS,,,,,,,,,,
4,DIRTY,True,3,BASED,----Y,5,5,LLM,DONOR,G---Y,4,4,CSS,DIRTY,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
5,USUAL,True,4,BASED,-YY--,5,5,LLM,CLANS,-YY-Y,5,5,CSS,SILVA,Y-Y-Y,5,5,CSS,USUAL,GGGGG,0,0,CSS,,,,,,,,,,
6,TRULY,True,4,BASED,-----,5,5,LLM,CLINT,-Y--Y,5,5,CSS,TULLY,GY-GG,2,2,CSS,TRULY,GGGGG,0,0,CSS,,,,,,,,,,
7,SPENT,True,4,BASED,--YY-,5,5,LLM,TIERS,Y-G-Y,4,4,CSS,SPELT,GGG-G,1,1,CSS,SPENT,GGGGG,0,0,CSS,,,,,,,,,,
8,PAUSE,True,3,BASED,-GYY-,4,3,LLM,LAPSE,-GYGG,2,2,CSS,PAUSE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
9,CRAZY,True,4,GIVEN,-----,5,5,LLM,SAULT,-Y---,5,5,CSS,COBRA,G--YY,4,4,CSS,CRAZY,GGGGG,0,0,CSS,,,,,,,,,,
10,BASES,True,5,GUESS,--YYG,4,4,LLM,SALES,YG-GG,2,2,CSS,VASES,-GGGG,1,1,CSS,CASES,-GGGG,1,1,CSS,BASES,GGGGG,0,0,CSS,,,,,
11,YOUNG,True,4,BASED,-----,5,5,LLM,CHINO,---GY,4,4,CSS,PRONG,--YGG,3,3,CSS,YOUNG,GGGGG,0,0,CSS,,,,,,,,,,
12,MEANS,True,4,BASED,-YYY-,5,5,LLM,STARE,Y-G-Y,4,4,CSS,LEAPS,-GG-G,2,2,CSS,MEANS,GGGGG,0,0,CSS,,,,,,,,,,
13,TRUTH,True,5,BASED,-----,5,5,LLM,TIMON,G----,4,4,CSS,TRUCK,GGG--,2,2,CSS,TRULY,GGG--,2,2,CSS,TRUTH,GGGGG,0,0,CSS,,,,,
14,FIRED,True,5,BASED,---GG,3,3,LLM,TIRED,-GGGG,1,1,CSS,HIRED,-GGGG,1,1,CSS,MIRED,-GGGG,1,1,CSS,FIRED,GGGGG,0,0,CSS,,,,,
15,FOLKS,True,5,GIVEN,-----,5,5,LLM,ORCAS,Y---G,4,4,CSS,PLOTS,-YY-G,4,4,CSS,FOLDS,GGG-G,1,1,CSS,FOLKS,GGGGG,0,0,CSS,,,,,
16,CHILE,True,3,SCOOT,-Y---,5,5,LLM,CLARE,GY--G,3,3,CSS,CHILE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
17,BLACK,True,3,BASED,GY---,4,4,LLM,BRAIN,G-G--,3,3,CSS,BLACK,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
18,GRANT,True,5,BASED,-Y---,5,5,LLM,LORNA,--YGY,4,4,CSS,FRANC,-GGG-,2,2,CSS,PRANK,-GGG-,2,2,CSS,GRANT,GGGGG,0,0,CSS,,,,,
19,MEALS,True,4,BASED,-YYY-,5,5,LLM,STALE,Y-GGY,3,3,CSS,REALS,-GGGG,1,1,CSS,MEALS,GGGGG,0,0,CSS,,,,,,,,,,
20,CREAM,True,4,GUESS,--G--,4,4,LLM,CRETE,GGG--,2,2,CSS,CREDO,GGG--,2,2,CSS,CREAM,GGGGG,0,0,CSS,,,,,,,,,,
21,AWAKE,True,6,GIVEN,---Y-,5,5,LLM,STARE,--G-G,3,3,CSS,BLAKE,--GGG,2,2,CSS,PEAKE,--GGG,2,2,CSS,QUAKE,--GGG,2,2,CSS,AWAKE,GGGGG,0,0,CSS
22,OCCUR,True,4,BASED,-----,5,5,LLM,COLIN,YY---,5,5,CSS,OFCOM,G-G--,3,3,CSS,OCCUR,GGGGG,0,0,CSS,,,,,,,,,,
23,YEARS,False,6,BASED,-YYY-,5,5,LLM,STARE,Y-GGY,3,3,CSS,GEARS,-GGGG,1,1,CSS,FEARS,-GGGG,1,1,CSS,NEARS,-GGGG,1,1,CSS,MEARS,-GGGG,1,1,CSS
24,GRADE,True,3,BASED,-Y-YY,5,4,LLM,READE,Y-GGG,2,2,CSS,GRADE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
25,CHILL,True,4,BISON,-Y---,5,5,LLM,ARTIE,---Y-,5,5,CSS,CHILD,GGGG-,1,1,CSS,CHILL,GGGGG,0,0,CSS,,,,,,,,,,
26,FLOOD,True,4,SINCE,-----,5,5,LLM,AURAL,----Y,5,5,CSS,DOLBY,YYY--,5,5,CSS,FLOOD,GGGGG,0,0,CSS,,,,,,,,,,
27,APPLY,True,4,BASED,-Y---,5,5,LLM,TRINA,----Y,5,5,CSS,FOCAL,---YY,5,5,CSS,APPLY,GGGGG,0,0,CSS,,,,,,,,,,
28,SMILE,True,5,BASED,--YY-,5,5,LLM,TEENS,-Y--Y,5,5,CSS,SPORE,G---G,3,3,CSS,SLICE,GYG-G,2,2,CSS,SMILE,GGGGG,0,0,CSS,,,,,
29,KNOCK,True,5,BASED,-----,5,5,LLM,RICOH,--YY-,5,5,CSS,CONGO,YYY--,5,5,CSS,UCONN,-YGY-,4,4,CSS,KNOCK,GGGGG,0,0,CSS,,,,,
30,SLEEP,True,5,BASED,--YG-,4,4,LLM,TIRES,---GY,4,4,CSS,SHEEP,G-GGG,1,1,CSS,SWEEP,G-GGG,1,1,CSS,SLEEP,GGGGG,0,0,CSS,,,,,
31,BRICK,True,6,GIVEN,-Y---,5,5,LLM,RAILS,Y-G--,4,4,CSS,CHIRP,Y-GY-,4,4,CSS,TRICK,-GGGG,1,1,CSS,FRICK,-GGGG,1,1,CSS,BRICK,GGGGG,0,0,CSS
32,WROTE,True,4,BASED,---Y-,5,5,LLM,NOIRE,-Y-YG,4,4,CSS,TROPE,YGG-G,2,2,CSS,WROTE,GGGGG,0,0,CSS,,,,,,,,,,
33,RATED,True,2,BASED,-G-GG,2,2,LLM,RATED,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,
34,ALERT,True,4,GUESS,--G--,4,4,LLM,ERECT,-YG-G,3,3,CSS,AVERT,G-GGG,1,1,CSS,ALERT,GGGGG,0,0,CSS,,,,,,,,,,
35,CAGES,True,5,BASED,-GYG-,3,3,LLM,CARES,GG-GG,1,1,CSS,CATES,GG-GG,1,1,CSS,CAKES,GG-GG,1,1,CSS,CAGES,GGGGG,0,0,CSS,,,,,
36,TEDDY,True,4,BASED,---YY,5,5,LLM,DRONE,Y---Y,5,5,CSS,MEDIC,-GG--,3,3,CSS,TEDDY,GGGGG,0,0,CSS,,,,,,,,,,
37,COLES,True,3,COULD,GG-Y-,3,3,LLM,COLIN,GGG--,2,2,CSS,COLES,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
38,HWANG,True,4,BASED,-Y---,5,5,LLM,LORNA,---GY,4,4,CSS,THANG,-YGGG,2,2,CSS,HWANG,GGGGG,0,0,CSS,,,,,,,,,,
39,WRATH,True,4,BASED,-Y---,5,5,LLM,TRAIN,YGG--,3,3,CSS,GRAFT,-GG-Y,3,3,CSS,WRATH,GGGGG,0,0,CSS,,,,,,,,,,
40,MACHO,True,5,BASED,-G---,4,4,LLM,NAIRA,-G---,4,4,CSS,CATHY,YG-G-,3,3,CSS,MACHU,GGGG-,1,1,CSS,MACHO,GGGGG,0,0,CSS,,,,,
41,LOPEZ,True,5,BASED,---G-,4,4,LLM,MINER,---G-,4,4,CSS,HOTEL,-G-GY,3,3,CSS,LOVEY,GG-G-,2,2,CSS,LOPEZ,GGGGG,0,0,CSS,,,,,
42,GOODY,True,3,BASED,----Y,5,5,LLM,DONOR,YG-Y-,4,4,CSS,GOODY,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
43,BROTH,True,4,GUESS,-----,5,5,LLM,LATIN,--Y--,5,5,CSS,BOOTH,G-GGG,1,1,CSS,BROTH,GGGGG,0,0,CSS,,,,,,,,,,
44,VERDE,True,3,BASED,---YY,5,5,LLM,DRONE,YY--G,4,4,CSS,VERDE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
45,TAMED,True,4,WORDS,---Y-,5,5,LLM,AIDEN,Y-YG-,4,4,CSS,MATED,YGYGG,2,2,CSS,TAMED,GGGGG,0,0,CSS,,,,,,,,,,
46,LEAFS,True,6,BASED,-YYY-,5,5,LLM,TEARS,-GG-G,2,2,CSS,LEAPS,GGG-G,1,1,CSS,LEANS,GGG-G,1,1,CSS,LEAKS,GGG-G,1,1,CSS,LEAFS,GGGGG,0,0,CSS
47,YACHT,True,4,BASED,-G---,4,4,LLM,NAIRA,-G---,4,4,CSS,CATHY,YGYGY,3,3,CSS,YACHT,GGGGG,0,0,CSS,,,,,,,,,,
48,MESSY,True,3,BASED,--GY-,4,4,LLM,POSSE,--GGY,3,3,CSS,MESSY,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
49,RYDER,True,4,BASED,---GY,4,4,LLM,DINER,Y--GG,3,3,CSS,ORDER,-YGGG,2,2,CSS,RYDER,GGGGG,0,0,CSS,,,,,,,,,,
50,MOTIF,True,4,BASED,-----,5,5,LLM,CRYIN,---G-,4,4,CSS,FILIP,Y--G-,4,4,CSS,MOTIF,GGGGG,0,0,CSS,,,,,,,,,,
51,RAVEN,True,4,BASED,-G-G-,3,3,LLM,LATER,-G-GY,3,3,CSS,MAREK,-GYG-,3,3,CSS,RAVEN,GGGGG,0,0,CSS,,,,,,,,,,
52,REICH,True,4,BASED,---Y-,5,5,LLM,LITRE,-Y-YY,5,5,CSS,ERICK,YYGG-,3,3,CSS,REICH,GGGGG,0,0,CSS,,,,,,,,,,
53,ICONS,True,5,BASED,--Y--,5,5,LLM,TOURS,-Y--G,4,4,CSS,SLOWS,--G-G,3,3,CSS,CHOPS,Y-G-G,3,3,CSS,ICONS,GGGGG,0,0,CSS,,,,,
54,SILKY,True,4,BASED,--Y--,5,5,LLM,RIOTS,-G--Y,4,4,CSS,SILLY,GGG-G,1,1,CSS,SILKY,GGGGG,0,0,CSS,,,,,,,,,,
55,CARVE,True,4,BASED,-G-Y-,4,4,LLM,LAINE,-G--G,3,3,CSS,CARTE,GGG-G,1,1,CSS,CARVE,GGGGG,0,0,CSS,,,,,,,,,,
56,LAGER,True,6,BASED,-G-G-,3,3,LLM,LATER,GG-GG,1,1,CSS,LAYER,GG-GG,1,1,CSS,LAVER,GG-GG,1,1,CSS,LAUER,GG-GG,1,1,CSS,LAGER,GGGGG,0,0,CSS
57,JERKS,True,5,BASED,--YY-,5,5,LLM,SEEIN,YG---,4,4,CSS,MELTS,-G--G,3,3,CSS,HEROS,-GG-G,2,2,CSS,JERKS,GGGGG,0,0,CSS,,,,,
58,LOTUS,True,4,ERNIE,-----,5,5,LLM,TOMAS,YG--G,3,3,CSS,BOLTS,-GYYG,3,3,CSS,LOTUS,GGGGG,0,0,CSS,,,,,,,,,,
59,LACEY,True,4,GUESS,--Y--,5,5,LLM,ARDEN,Y--G-,4,4,CSS,PATEL,-G-GY,3,3,CSS,LACEY,GGGGG,0,0,CSS,,,,,,,,,,
60,TUDOR,True,3,BASED,----Y,5,5,LLM,DONOR,Y--GG,3,3,CSS,TUDOR,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
61,QUOTA,True,4,BASED,-Y---,5,5,LLM,CLARA,----G,4,4,CSS,TONGA,YY--G,4,4,CSS,QUOTA,GGGGG,0,0,CSS,,,,,,,,,,
62,MOURN,True,4,GUESS,-Y---,5,5,LLM,RAOUL,Y-YY-,5,4,CSS,COURT,-GGG-,2,2,CSS,MOURN,GGGGG,0,0,CSS,,,,,,,,,,
63,PROMO,True,4,BASED,-----,5,5,LLM,NORTH,-YY--,5,5,CSS,GROOM,-GGYY,3,3,CSS,PROMO,GGGGG,0,0,CSS,,,,,,,,,,
64,CASTE,True,4,BASED,-GGY-,3,3,LLM,WASTE,-GGGG,1,1,CSS,HASTE,-GGGG,1,1,CSS,CASTE,GGGGG,0,0,CSS,,,,,,,,,,
65,CAPRI,True,4,BASED,-G---,4,4,LLM,MARTA,-GY--,4,4,CSS,RAYON,YG---,4,4,CSS,CAPRI,GGGGG,0,0,CSS,,,,,,,,,,
66,ALIAS,True,3,BASED,-YY--,5,5,LLM,SLATS,-GY-G,3,3,CSS,ALIAS,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
67,PADDY,True,5,GIVEN,-----,5,5,LLM,ROAST,--Y--,5,5,CSS,PALMA,GG---,3,3,CSS,PAPPY,GG--G,2,2,CSS,PADDY,GGGGG,0,0,CSS,,,,,
68,BLOBS,True,4,BASED,G-Y--,4,4,LLM,BOLUS,GYY-G,3,3,CSS,BLOWS,GGG-G,1,1,CSS,BLOBS,GGGGG,0,0,CSS,,,,,,,,,,
69,DILLY,True,4,BASED,----Y,5,5,LLM,DONOR,G----,4,4,CSS,DITCH,GG---,3,3,CSS,DILLY,GGGGG,0,0,CSS,,,,,,,,,,
70,GUTSY,True,4,BASED,--Y--,5,5,LLM,SNORT,Y---Y,5,5,CSS,KITTS,--G-Y,4,4,CSS,GUTSY,GGGGG,0,0,CSS,,,,,,,,,,
71,TABOR,True,6,GUESS,-----,5,5,LLM,RONDA,YY--Y,5,5,CSS,CAROL,-GYG-,3,3,CSS,MAYOR,-G-GG,2,2,CSS,VAPOR,-G-GG,2,2,CSS,TABOR,GGGGG,0,0,CSS
72,INLAY,True,4,GUESS,-----,5,5,LLM,LORNA,Y--YY,5,5,CSS,NADAL,Y--GY,4,4,CSS,INLAY,GGGGG,0,0,CSS,,,,,,,,,,
73,AHHHH,True,5,BASED,-Y---,5,5,LLM,KOALA,--Y--,5,5,CSS,ARMIN,G----,4,4,CSS,AWWWW,G----,4,4,CSS,AHHHH,GGGGG,0,0,CSS,,,,,
