game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,4,CROSS,--G--,4,4,LLM,ALONE,--G--,4,4,CSS,BOOTH,-YGGY,3,3,CSS,PHOTO,GGGGG,0,0,CSS,,,,,,,,,,
2,PARTY,True,5,SALES,-G---,4,4,LLM,MARIN,-GG--,3,3,CSS,GARDA,-GG--,3,3,CSS,BARTH,-GGG-,2,2,CSS,PARTY,GGGGG,0,0,CSS,,,,,
3,TRICK,True,3,SHARP,---Y-,5,5,LLM,TIBER,GY--Y,4,4,CSS,TRICK,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
4,DIRTY,True,4,STONE,-Y---,5,5,LLM,TRAIL,YY-Y-,5,5,CSS,MIRTH,-GGG-,2,2,CSS,DIRTY,GGGGG,0,0,CSS,,,,,,,,,,
5,USUAL,True,4,BOOZE,-----,5,5,LLM,MAILS,-Y-YY,5,5,CSS,STAHL,Y-Y-G,4,3,CSS,USUAL,GGGGG,0,0,CSS,,,,,,,,,,
6,TRULY,True,3,VILLA,---G-,4,4,LLM,STOLE,-Y-G-,4,4,CSS,TRULY,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
7,SPENT,True,5,SOLID,G----,4,4,LLM,SKATE,G--YY,4,4,CSS,STREP,GY-YY,4,4,CSS,SWEPT,G-GYG,2,2,CSS,SPENT,GGGGG,0,0,CSS,,,,,
8,PAUSE,True,3,SLEEP,Y-Y-Y,5,5,LLM,PEARS,GYY-Y,4,3,CSS,PAUSE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
9,CRAZY,True,6,SOUTH,-----,5,5,LLM,LAINE,-Y---,5,5,CSS,BRAGA,-GG--,3,3,CSS,CRAMP,GGG--,2,2,CSS,CRACK,GGG--,2,2,CSS,CRAZY,GGGGG,0,0,CSS
10,BASES,False,6,MOUSE,---YY,5,4,LLM,TALES,-G-GG,2,2,CSS,RACES,-G-GG,2,2,CSS,SAGES,YG-GG,2,2,CSS,EASES,-GGGG,1,1,CSS,VASES,-GGGG,1,1,CSS
