game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,4,EXIST,----Y,5,5,LLM,LOTTA,-Y-G-,4,4,CSS,FROTH,--GGY,3,3,VOI,PHOTO,GGGGG,0,0,CSS,,,,,,,,,,
2,PARTY,True,5,FLICK,-----,5,5,LLM,HATER,-GY-Y,4,4,CSS,TARDY,YGG-G,2,2,VOI,MARTY,-GGGG,1,1,CSS,PARTY,GGGGG,0,0,VOI,,,,,
3,TRICK,True,5,GROWL,-G---,4,4,LLM,TREAD,GG---,3,3,CSS,TRUST,GG---,3,3,VOI,TRIPP,GGG--,2,2,CSS,TRICK,GGGGG,0,0,VOI,,,,,
4,DIRTY,True,4,TRAIL,YY-Y-,5,5,LLM,RITES,YGY--,4,4,CSS,MIRTH,-GGG-,2,2,VOI,DIRTY,GGGGG,0,0,CSS,,,,,,,,,,
5,USUAL,True,3,PRISM,---Y-,5,5,LLM,SAHEL,YY--G,4,4,CSS,USUAL,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
6,TRULY,True,3,SCION,-----,5,5,LLM,ALTER,-YY-Y,5,5,CSS,TRULY,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
7,SPENT,True,4,LEWIS,-Y--Y,5,5,LLM,SAREE,G--Y-,4,4,CSS,STEYN,GYG-Y,3,3,VOI,SPENT,GGGGG,0,0,CSS,,,,,,,,,,
8,PAUSE,True,4,BLEVE,----G,4,4,LLM,ARISE,Y--GG,3,3,CSS,CAUSE,-GGGG,1,1,VOI,PAUSE,GGGGG,0,0,CSS,,,,,,,,,,
9,CRAZY,True,5,CORGI,G-Y--,4,4,LLM,CRATE,GGG--,2,2,CSS,CRABS,GGG--,2,2,VOI,CRACK,GGG--,2,2,CSS,CRAZY,GGGGG,0,0,VOI,,,,,
10,BASES,True,5,SPINS,Y---G,4,4,LLM,CASES,-GGGG,1,1,CSS,GASES,-GGGG,1,1,VOI,EASES,-GGGG,1,1,CSS,BASES,GGGGG,0,0,VOI,,,,,
11,YOUNG,True,5,REGAL,--Y--,5,5,LLM,GOTHS,YG---,4,4,CSS,DOING,-G-GG,2,2,VOI,JOONG,-G-GG,2,2,CSS,YOUNG,GGGGG,0,0,VOI,,,,,
12,MEANS,True,4,LUCID,-----,5,5,LLM,SOREN,Y--YY,5,5,CSS,GENTS,-GY-G,3,3,VOI,MEANS,GGGGG,0,0,CSS,,,,,,,,,,
13,TRUTH,True,3,THUMB,GYG--,3,3,LLM,TOUGH,G-G-G,2,2,CSS,TRUTH,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
14,FIRED,True,5,MALES,---G-,4,4,LLM,TONER,---GY,4,4,CSS,GREED,-Y-GG,3,3,VOI,WIRED,-GGGG,1,1,CSS,FIRED,GGGGG,0,0,VOI,,,,,
15,FOLKS,True,5,DEEDS,----G,4,4,LLM,MAILS,---YG,4,4,CSS,BLOCS,-YY-G,4,4,VOI,LOFTS,YGY-G,3,3,CSS,FOLKS,GGGGG,0,0,VOI,,,,,
16,CHILE,True,3,SHAKA,-G---,4,4,LLM,THINE,-GG-G,2,2,CSS,CHILE,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
17,BLACK,True,5,PEDAL,---YY,5,5,LLM,LAILA,YY---,5,4,CSS,CLASS,YGG--,3,3,VOI,BLANC,GGG-Y,2,2,CSS,BLACK,GGGGG,0,0,VOI,,,,,
18,GRANT,True,3,SABAN,-Y--Y,5,4,LLM,GIANT,G-GGG,1,1,CSS,GRANT,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
19,MEALS,True,3,MEHTA,GG--Y,3,3,LLM,MEDAL,GG-YY,3,2,CSS,MEALS,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
20,CREAM,True,4,BOXER,---YY,5,5,LLM,NEARS,-YYY-,5,4,CSS,CARTE,GYY-Y,4,4,VOI,CREAM,GGGGG,0,0,CSS,,,,,,,,,,
21,AWAKE,True,5,NOVEL,---Y-,5,5,LLM,PEERS,-Y---,5,5,CSS,IMAGE,--G-G,3,3,VOI,ABATE,G-G-G,2,2,CSS,AWAKE,GGGGG,0,0,VOI,,,,,
22,OCCUR,True,4,LOGIN,-Y---,5,5,LLM,OREOS,GY---,4,4,CSS,OVARY,G--Y-,4,4,VOI,OCCUR,GGGGG,0,0,CSS,,,,,,,,,,
23,YEARS,True,2,GRACE,-YG-Y,4,4,LLM,YEARS,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,
24,GRADE,True,5,SHUSH,-----,5,5,LLM,NADER,-YYYY,5,3,CSS,DRAPE,YGG-G,2,2,VOI,TRADE,-GGGG,1,1,CSS,GRADE,GGGGG,0,0,VOI,,,,,
25,CHILL,True,5,KEYED,-----,5,5,LLM,SAINT,--G--,4,4,CSS,PHILO,-GGG-,2,2,VOI,CHILI,GGGG-,1,1,CSS,CHILL,GGGGG,0,0,VOI,,,,,
26,FLOOD,True,4,SEEDY,---Y-,5,5,LLM,DORAN,YY---,5,5,CSS,IDIOT,-Y-G-,4,4,VOI,FLOOD,GGGGG,0,0,CSS,,,,,,,,,,
27,APPLY,True,5,CHAFF,--Y--,5,5,LLM,DARES,-Y---,5,5,CSS,ALINA,GY---,4,4,VOI,APTLY,GG-GG,1,1,CSS,APPLY,GGGGG,0,0,VOI,,,,,
28,SMILE,True,4,TRACT,-----,5,5,LLM,LINES,YY-YY,5,4,CSS,SLIME,GYGYG,2,2,VOI,SMILE,GGGGG,0,0,CSS,,,,,,,,,,
29,KNOCK,True,3,DARCY,---G-,4,4,LLM,ENOCH,-GGG-,2,2,CSS,KNOCK,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
30,SLEEP,True,5,CUBBY,-----,5,5,LLM,MISER,--YG-,4,4,CSS,SALEH,G-YG-,3,3,VOI,STEEL,G-GGY,2,2,CSS,SLEEP,GGGGG,0,0,VOI,,,,,
31,BRICK,False,6,SLAVS,-----,5,5,LLM,TENOR,----Y,5,5,CSS,RICKY,YYYY-,5,2,VOI,PRICK,-GGGG,1,1,CSS,CRICK,-GGGG,1,1,VOI,FRICK,-GGGG,1,1,CSS
32,WROTE,True,3,BRATS,-G-G-,3,3,LLM,TRITE,-G-GG,2,2,CSS,WROTE,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
33,RATED,True,6,LEASE,-YY--,5,4,LLM,ARDEN,YYYG-,4,4,CSS,PARED,-GYGG,2,2,VOI,RAGED,GG-GG,1,1,CSS,RAZED,GG-GG,1,1,VOI,RATED,GGGGG,0,0,CSS
34,ALERT,True,4,HYDRO,---G-,4,4,LLM,SPARE,--YGY,4,4,CSS,AVERT,G-GGG,1,1,VOI,ALERT,GGGGG,0,0,CSS,,,,,,,,,,
