game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,4,GUESS,-----,5,5,LLM,TRAIN,Y----,5,5,CSS,FOOTY,-YGG-,3,3,CSS,PHOTO,GGGGG,0,0,VOI,,,,,,,,,,
2,PARTY,True,4,SLANT,--Y-Y,5,4,LLM,TARTE,-GGG-,2,2,CSS,MARTY,-GGGG,1,1,CSS,PARTY,GGGGG,0,0,VOI,,,,,,,,,,
3,TRICK,True,4,HOUSE,-----,5,5,LLM,TRAIL,GG-Y-,3,3,CSS,TRIPP,GGG--,2,2,CSS,TRICK,GGGGG,0,0,VOI,,,,,,,,,,
4,DIRTY,True,4,HOUSE,-----,5,5,LLM,MARIN,--GY-,4,4,CSS,BIRDY,-GGYG,2,2,CSS,DIRTY,GGGGG,0,0,VOI,,,,,,,,,,
5,USUAL,True,3,SPEAK,Y--G-,4,4,LLM,ASIAN,-G-G-,3,3,CSS,USUAL,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
6,TRULY,True,5,GRAIN,-G---,4,4,LLM,TRUCE,GGG--,2,2,CSS,TRUST,GGG--,2,2,CSS,TRUDY,GGG-G,1,1,VOI,TRULY,GGGGG,0,0,VOI,,,,,
7,SPENT,True,4,HOUSE,---YY,5,5,LLM,RATES,--YYY,5,5,CSS,SPELT,GGG-G,1,1,CSS,SPENT,GGGGG,0,0,VOI,,,,,,,,,,
8,PAUSE,True,3,HOUSE,--GGG,2,2,LLM,CAUSE,-GGGG,1,1,CSS,PAUSE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
9,CRAZY,True,4,HOUSE,-----,5,5,LLM,RAINA,YY---,5,4,CSS,TRACY,-GGYG,2,2,CSS,CRAZY,GGGGG,0,0,VOI,,,,,,,,,,
10,BASES,True,6,PRISM,---Y-,5,5,LLM,LACES,-G-GG,2,2,CSS,DATES,-G-GG,2,2,CSS,SAVES,YG-GG,2,2,VOI,GASES,-GGGG,1,1,VOI,BASES,GGGGG,0,0,VOI
