game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,3,SWUNG,-----,5,5,LLM,LOATH,-Y-GY,4,4,CSS,PHOTO,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
2,PARTY,True,2,LYNCH,-Y---,5,5,LLM,PARTY,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,
3,TRICK,True,5,GIVEN,-Y---,5,5,LLM,RAILS,Y-G--,4,4,CSS,CHIRP,Y-GY-,4,4,CSS,BRICK,-GGGG,1,1,VOI,TRICK,GGGGG,0,0,VOI,,,,,
4,DIRTY,True,3,BASED,----Y,5,5,LLM,DONOR,G---Y,4,4,CSS,DIRTY,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
5,USUAL,True,5,GIVEN,-----,5,5,LLM,BOARS,--Y-Y,5,5,CSS,HASTA,-YY--,5,4,CSS,SQUAW,Y-GG-,3,3,VOI,USUAL,GGGGG,0,0,VOI,,,,,
6,TRULY,True,4,GIVEN,-----,5,5,LLM,COALS,---G-,4,4,CSS,BULLY,-Y-GG,3,3,CSS,TRULY,GGGGG,0,0,VOI,,,,,,,,,,
7,SPENT,True,5,GIVEN,---YY,5,4,LLM,LEONE,-Y-G-,4,4,CSS,ARENT,--GGG,2,2,CSS,SCENT,G-GGG,1,1,VOI,SPENT,GGGGG,0,0,VOI,,,,,
8,PAUSE,True,2,BASED,-GYY-,4,3,LLM,PAUSE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,
9,CRAZY,True,5,QUIET,-----,5,5,LLM,ROADS,Y-G--,4,4,CSS,CLARK,G-GY-,3,3,CSS,CRAMP,GGG--,2,2,VOI,CRAZY,GGGGG,0,0,VOI,,,,,
10,BASES,True,6,WOULD,-----,5,5,LLM,RAINS,-G--G,3,3,CSS,CASTS,-GG-G,2,2,CSS,GASES,-GGGG,1,1,VOI,VASES,-GGGG,1,1,VOI,BASES,GGGGG,0,0,VOI
11,YOUNG,True,3,YELLS,G----,4,4,LLM,YAHOO,G--Y-,4,4,CSS,YOUNG,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
12,MEANS,True,4,WORDS,----G,4,4,LLM,SEALS,-GG-G,2,2,CSS,TEAMS,-GGYG,2,2,CSS,MEANS,GGGGG,0,0,VOI,,,,,,,,,,
