game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,3,THROW,YG-Y-,4,4,LLM,SHOTS,-GGG-,2,2,VOI,PHOTO,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
2,PARTY,True,5,GLEAN,---Y-,5,5,LLM,CARTS,-GGG-,2,2,VOI,MARTI,-GGG-,2,2,VOI,DARTH,-GGG-,2,2,VOI,PARTY,GGGGG,0,0,VOI,,,,,
3,TRICK,True,3,LAGOS,-----,5,5,LLM,TRIED,GGG--,2,2,VOI,TRICK,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
4,DIRTY,True,3,NOSED,----Y,5,5,LLM,DARTH,G-GG-,2,2,VOI,DIRTY,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
5,USUAL,True,4,SCOOT,Y----,5,5,LLM,MARES,-Y--Y,5,5,VOI,ASAHI,YG---,4,4,VOI,USUAL,GGGGG,0,0,VOI,,,,,,,,,,
6,TRULY,True,5,POSED,-----,5,5,LLM,MARIA,--Y--,5,5,VOI,TRUNK,GGG--,2,2,VOI,TRUTH,GGG--,2,2,VOI,TRULY,GGGGG,0,0,VOI,,,,,
7,SPENT,True,4,MINNA,---G-,4,4,LLM,BRUNT,---GG,3,3,VOI,EVENT,--GGG,2,2,VOI,SPENT,GGGGG,0,0,VOI,,,,,,,,,,
8,PAUSE,True,4,STONE,Y---G,4,4,LLM,REUSE,--GGG,2,2,VOI,ABUSE,Y-GGG,2,2,VOI,PAUSE,GGGGG,0,0,VOI,,,,,,,,,,
9,CRAZY,True,5,SHIFT,-----,5,5,LLM,NERDY,--Y-G,4,4,VOI,RUGBY,Y---G,4,4,VOI,OVARY,--GYG,3,3,VOI,CRAZY,GGGGG,0,0,VOI,,,,,
10,BASES,False,6,SQUAT,Y--Y-,5,5,LLM,RAISE,-G-YY,4,3,VOI,MALES,-G-GG,2,2,VOI,WAVES,-G-GG,2,2,VOI,GASES,-GGGG,1,1,VOI,EASES,-GGGG,1,1,VOI
11,YOUNG,True,5,SPINE,---G-,4,4,LLM,BRUNT,--GG-,3,3,VOI,CHUNK,--GG-,3,3,VOI,WOUND,-GGG-,2,2,VOI,YOUNG,GGGGG,0,0,VOI,,,,,
12,MEANS,True,3,CORAL,---Y-,5,5,LLM,BASES,-Y-YG,4,4,VOI,MEANS,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
13,TRUTH,True,3,BASED,-----,5,5,LLM,LURCH,-YY-G,4,4,VOI,TRUTH,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
14,FIRED,True,5,SORTY,--G--,4,4,LLM,MIRED,-GGGG,1,1,VOI,HIRED,-GGGG,1,1,VOI,WIRED,-GGGG,1,1,VOI,FIRED,GGGGG,0,0,VOI,,,,,
15,FOLKS,True,4,CUTIE,-----,5,5,LLM,DORMS,-G--G,3,3,VOI,LOONS,YG--G,3,3,VOI,FOLKS,GGGGG,0,0,VOI,,,,,,,,,,
16,CHILE,True,4,ASLAM,--Y--,5,5,LLM,TRULY,---G-,4,4,VOI,WEILL,-YGG-,3,3,VOI,CHILE,GGGGG,0,0,VOI,,,,,,,,,,
17,BLACK,True,4,TWIRL,----Y,5,5,LLM,FOLKS,--YY-,5,5,VOI,PLANK,-GG-G,2,2,VOI,BLACK,GGGGG,0,0,VOI,,,,,,,,,,
18,GRANT,True,6,POURS,---Y-,5,5,LLM,FIRED,--Y--,5,5,VOI,CRAZY,-GG--,3,3,VOI,BRAVA,-GG--,3,3,VOI,WRATH,-GGY-,3,3,VOI,GRANT,GGGGG,0,0,VOI
19,MEALS,True,5,SOCHI,Y----,5,5,LLM,MEATS,GGG-G,1,1,VOI,MEANS,GGG-G,1,1,VOI,MEARS,GGG-G,1,1,VOI,MEALS,GGGGG,0,0,VOI,,,,,
20,CREAM,True,4,DEATH,-YY--,5,4,LLM,CARNE,GYY-Y,4,4,VOI,CLEAR,G-GGY,2,2,VOI,CREAM,GGGGG,0,0,VOI,,,,,,,,,,
21,AWAKE,True,4,POWYS,--Y--,5,5,LLM,WRATH,Y-G--,4,4,VOI,KWAME,YGG-G,2,2,VOI,AWAKE,GGGGG,0,0,VOI,,,,,,,,,,
22,OCCUR,True,5,TRILL,-Y---,5,5,LLM,CAREY,Y-Y--,5,5,VOI,UNHCR,Y--YG,4,4,VOI,SCOUR,-GYGG,2,2,VOI,OCCUR,GGGGG,0,0,VOI,,,,,
23,YEARS,False,6,MODEM,---Y-,5,5,LLM,PEACE,-GG--,3,3,VOI,HEATS,-GG-G,2,2,VOI,JEANS,-GG-G,2,2,VOI,REALS,YGG-G,2,2,VOI,SEARS,-GGGG,1,1,VOI
24,GRADE,True,5,ERROR,YG---,4,4,LLM,CREAM,-GYY-,4,4,VOI,ARISE,YG--G,3,3,VOI,DRAPE,YGG-G,2,2,VOI,GRADE,GGGGG,0,0,VOI,,,,,
25,CHILL,True,3,GOPAL,----G,4,4,LLM,DWELL,---GG,3,3,VOI,CHILL,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
26,FLOOD,True,5,BARDS,---Y-,5,5,LLM,DWELL,Y--Y-,5,5,VOI,LIVID,Y---G,4,4,VOI,CLOUD,-GG-G,2,2,VOI,FLOOD,GGGGG,0,0,VOI,,,,,
27,APPLY,True,5,SINES,-----,5,5,LLM,CATTY,-Y--G,4,4,VOI,OVARY,--Y-G,4,4,VOI,ALWAY,GY--G,3,3,VOI,APPLY,GGGGG,0,0,VOI,,,,,
28,SMILE,True,3,SPITS,G-G--,3,3,LLM,SKILL,G-GG-,2,2,VOI,SMILE,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
29,KNOCK,True,5,DIMLY,-----,5,5,LLM,SHAWN,----Y,5,5,VOI,BRUNT,---Y-,5,5,VOI,PENCE,--YG-,4,4,VOI,KNOCK,GGGGG,0,0,VOI,,,,,
30,SLEEP,True,4,NOYES,---GY,4,4,LLM,ARSED,--YG-,4,4,VOI,STEEL,G-GGY,2,2,VOI,SLEEP,GGGGG,0,0,VOI,,,,,,,,,,
31,BRICK,True,4,LLOYD,-----,5,5,LLM,TRACE,-G-G-,3,3,VOI,PRICK,-GGGG,1,1,VOI,BRICK,GGGGG,0,0,VOI,,,,,,,,,,
32,WROTE,True,3,PANIC,-----,5,5,LLM,STOLE,-YG-G,3,3,VOI,WROTE,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
33,RATED,True,5,THICK,Y----,5,5,LLM,WROTE,-Y-YY,5,3,VOI,ENTRY,Y-GY-,4,4,VOI,DETER,Y-GGY,3,3,VOI,RATED,GGGGG,0,0,VOI,,,,,
