game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,3,GLIDE,-----,5,5,LLM,PARTS,G--G-,3,3,VOI,PHOTO,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
2,PARTY,True,5,KNICK,-----,5,5,LLM,ASTRO,Y-YY-,5,4,VOI,TAMAR,YG--Y,4,4,VOI,BARTH,-GGG-,2,2,VOI,PARTY,GGGGG,0,0,VOI,,,,,
3,TRICK,True,4,HOUSE,-----,5,5,LLM,MARTY,--YY-,5,5,VOI,PRINT,-GG-Y,3,3,VOI,TRICK,GGGGG,0,0,VOI,,,,,,,,,,
4,DIRTY,True,3,BLOWS,-----,5,5,LLM,PARTY,--GGG,2,2,VOI,DIRTY,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
5,USUAL,True,4,HOUSE,--GY-,4,4,LLM,STUNS,Y-G--,4,4,VOI,ASUKA,YGG--,3,3,VOI,USUAL,GGGGG,0,0,VOI,,,,,,,,,,
6,TRULY,True,5,HOUSE,--G--,4,4,LLM,BRUNT,-GG-Y,3,3,VOI,TRUCK,GGG--,2,2,VOI,TRUMP,GGG--,2,2,VOI,TRULY,GGGGG,0,0,VOI,,,,,
7,SPENT,True,4,HOUSE,---YY,5,5,LLM,TILES,Y--YY,5,5,VOI,STEYN,GYG-Y,3,3,VOI,SPENT,GGGGG,0,0,VOI,,,,,,,,,,
8,PAUSE,True,5,STOMP,Y---Y,5,5,LLM,PLIES,G--YY,4,4,VOI,PESKY,GYY--,4,4,VOI,PURSE,GY-GG,2,2,VOI,PAUSE,GGGGG,0,0,VOI,,,,,
9,CRAZY,True,4,TYPES,-Y---,5,5,LLM,CORNY,G-Y-G,3,3,VOI,CAMRY,GY-YG,3,3,VOI,CRAZY,GGGGG,0,0,VOI,,,,,,,,,,
10,BASES,False,6,STAMP,Y-Y--,5,5,LLM,USUAL,-Y-Y-,5,5,VOI,CARES,-G-GG,2,2,VOI,WAKES,-G-GG,2,2,VOI,DANES,-G-GG,2,2,VOI,EAVES,-G-GG,2,2,VOI
11,YOUNG,True,3,IMAGE,---Y-,5,5,LLM,GLOWS,Y-Y--,5,5,VOI,YOUNG,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
12,MEANS,False,6,STEER,Y-Y--,5,5,LLM,PAUSE,-Y-YY,5,4,VOI,AEGIS,YG--G,3,3,VOI,LEANS,-GGGG,1,1,VOI,BEANS,-GGGG,1,1,VOI,JEANS,-GGGG,1,1,VOI
13,TRUTH,True,3,HOUSE,Y-G--,4,4,LLM,THUNK,GYG--,3,3,VOI,TRUTH,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
14,FIRED,False,6,BLEND,--Y-G,4,4,LLM,CASED,---GG,3,3,VOI,WIPED,-G-GG,2,2,VOI,MIRED,-GGGG,1,1,VOI,HIRED,-GGGG,1,1,VOI,TIRED,-GGGG,1,1,VOI
15,FOLKS,True,4,GREET,-----,5,5,LLM,SAUNA,Y----,5,5,VOI,CLIPS,-Y--G,4,4,VOI,FOLKS,GGGGG,0,0,VOI,,,,,,,,,,
16,CHILE,True,3,HOUSE,Y---G,4,4,LLM,WHITE,-GG-G,2,2,VOI,CHILE,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
17,BLACK,True,4,SWIPE,-----,5,5,LLM,CARLY,YY-Y-,5,5,VOI,LUCCA,Y--GY,4,4,VOI,BLACK,GGGGG,0,0,VOI,,,,,,,,,,
18,GRANT,True,5,HOUSE,-----,5,5,LLM,FLIRT,---YG,4,4,VOI,PRATT,-GG-G,2,2,VOI,BRANT,-GGGG,1,1,VOI,GRANT,GGGGG,0,0,VOI,,,,,
19,MEALS,True,5,HOUSE,---YY,5,5,LLM,DANES,-Y-YG,4,4,VOI,AEGIS,YG--G,3,3,VOI,LEAKS,YGG-G,2,2,VOI,MEALS,GGGGG,0,0,VOI,,,,,
20,CREAM,True,4,STANK,--Y--,5,5,LLM,LUCCA,--Y-Y,5,5,VOI,CAMRY,GYYY-,4,4,VOI,CREAM,GGGGG,0,0,VOI,,,,,,,,,,
21,AWAKE,True,4,RESET,-Y---,5,5,LLM,WHILE,Y---G,4,4,VOI,KWAME,YGG-G,2,2,VOI,AWAKE,GGGGG,0,0,VOI,,,,,,,,,,
22,OCCUR,True,4,BASIC,----Y,5,5,LLM,TRUCK,-YYY-,5,5,VOI,CURED,YYY--,5,4,VOI,OCCUR,GGGGG,0,0,VOI,,,,,,,,,,
23,YEARS,True,6,MURAL,--YY-,5,5,LLM,BRATS,-YG-G,3,3,VOI,PEARS,-GGGG,1,1,VOI,REARS,-GGGG,1,1,VOI,FEARS,-GGGG,1,1,VOI,YEARS,GGGGG,0,0,VOI
24,GRADE,True,6,HOUSE,----G,4,4,LLM,KATIE,-Y--G,4,4,VOI,MCRAE,--YYG,4,3,VOI,GLARE,G-GYG,2,2,VOI,GRAZE,GGG-G,1,1,VOI,GRADE,GGGGG,0,0,VOI
25,CHILL,True,6,STARE,-----,5,5,LLM,CLUNG,GY---,4,4,VOI,COLBY,G-Y--,4,4,VOI,CHILI,GGGG-,1,1,VOI,CHILD,GGGG-,1,1,VOI,CHILL,GGGGG,0,0,VOI
26,FLOOD,True,5,HOUSE,-Y---,5,5,LLM,ALCOA,-G-G-,3,3,VOI,GLOOM,-GGG-,2,2,VOI,FLOOR,GGGG-,1,1,VOI,FLOOD,GGGGG,0,0,VOI,,,,,
27,APPLY,True,5,KNELT,---G-,4,4,LLM,CHILL,---G-,4,4,VOI,FOOLS,---G-,4,4,VOI,PAULA,YY-G-,4,4,VOI,APPLY,GGGGG,0,0,VOI,,,,,
28,SMILE,True,4,HAIRY,--G--,4,4,LLM,CLIPS,-YG-Y,4,4,VOI,STILL,G-GG-,2,2,VOI,SMILE,GGGGG,0,0,VOI,,,,,,,,,,
29,KNOCK,True,3,SCOUT,-YG--,4,4,LLM,CRONY,Y-GY-,4,4,VOI,KNOCK,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
30,SLEEP,True,4,HOUSE,---YY,5,5,LLM,PEARS,YY--Y,5,5,VOI,SPENT,GYG--,3,3,VOI,SLEEP,GGGGG,0,0,VOI,,,,,,,,,,
31,BRICK,True,4,IDEAL,Y----,5,5,LLM,CHIPS,Y-G--,4,4,VOI,TRICK,-GGGG,1,1,VOI,BRICK,GGGGG,0,0,VOI,,,,,,,,,,
32,WROTE,True,4,HAIKU,-----,5,5,LLM,WELDS,GY---,4,4,VOI,WOVEN,GY-Y-,4,3,VOI,WROTE,GGGGG,0,0,VOI,,,,,,,,,,
33,RATED,True,2,RESET,G--GY,3,3,LLM,RATED,GGGGG,0,0,VOI,,,,,,,,,,,,,,,,,,,,
34,ALERT,True,3,EARLY,YYYY-,5,5,LLM,GLARE,-GYGY,3,3,VOI,ALERT,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
35,CAGES,False,6,HOUSE,---YY,5,5,LLM,SPIEL,Y--G-,4,4,VOI,CASED,GGYG-,2,2,VOI,CAFES,GG-GG,1,1,VOI,CARES,GG-GG,1,1,VOI,CAKES,GG-GG,1,1,VOI
36,TEDDY,True,4,HOUSE,----Y,5,5,LLM,ALERT,--Y-Y,5,5,VOI,TIMED,G--YY,4,4,VOI,TEDDY,GGGGG,0,0,VOI,,,,,,,,,,
37,COLES,True,5,HOUSE,-G-YY,4,4,LLM,POSED,-GYG-,3,3,VOI,JOKES,-G-GG,2,2,VOI,BONES,-G-GG,2,2,VOI,COLES,GGGGG,0,0,VOI,,,,,
38,HWANG,True,2,HEATS,G-G--,3,3,LLM,HWANG,GGGGG,0,0,VOI,,,,,,,,,,,,,,,,,,,,
39,WRATH,True,3,ROUTE,Y--G-,4,4,LLM,PRATT,-GGG-,2,2,VOI,WRATH,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
40,MACHO,True,4,LOCAL,-YGY-,4,4,LLM,ASCOT,Y-GY-,4,4,VOI,MACRO,GGG-G,1,1,VOI,MACHO,GGGGG,0,0,VOI,,,,,,,,,,
41,LOPEZ,True,4,SMEAR,--Y--,5,5,LLM,TWINE,----Y,5,5,VOI,POKED,YG-G-,3,3,VOI,LOPEZ,GGGGG,0,0,VOI,,,,,,,,,,
42,GOODY,True,4,SPARK,-----,5,5,LLM,DOYLE,YGY--,4,4,VOI,GOWDY,GG-GG,1,1,VOI,GOODY,GGGGG,0,0,VOI,,,,,,,,,,
43,BROTH,True,5,SERVE,--Y--,5,5,LLM,COURT,-Y-YY,5,5,VOI,ORTIZ,YGY--,4,4,VOI,TROOP,YGG--,3,3,VOI,BROTH,GGGGG,0,0,VOI,,,,,
44,VERDE,True,6,PRICE,-Y--G,4,4,LLM,GLARE,---YG,4,4,VOI,RHYME,Y---G,4,4,VOI,NURSE,--G-G,3,3,VOI,FORTE,--G-G,3,3,VOI,VERDE,GGGGG,0,0,VOI
45,TAMED,True,5,SPARK,--Y--,5,5,LLM,LMFAO,-Y-Y-,5,5,VOI,MAGIC,YG---,4,4,VOI,HAMMY,-GG--,3,3,VOI,TAMED,GGGGG,0,0,VOI,,,,,
46,LEAFS,True,6,HOUSE,---YY,5,5,LLM,CAGES,-Y-YG,4,4,VOI,YEARS,-GG-G,2,2,VOI,MEALS,-GGYG,2,2,VOI,LEAKS,GGG-G,1,1,VOI,LEAFS,GGGGG,0,0,VOI
47,YACHT,True,4,HOUSE,Y----,5,5,LLM,WRATH,--YYY,5,4,VOI,KATHY,-GYGY,3,3,VOI,YACHT,GGGGG,0,0,VOI,,,,,,,,,,
48,MESSY,True,4,HOUSE,---GY,4,4,LLM,PEASY,-G-GG,2,2,VOI,BETSY,-G-GG,2,2,VOI,MESSY,GGGGG,0,0,VOI,,,,,,,,,,
