game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,4,EBOLA,--G--,4,4,VOI,GROOT,--GYY,4,4,LLM,TOOTH,-YGGY,3,3,LLM,PHOTO,GGGGG,0,0,LLM,,,,,,,,,,
2,PARTY,True,4,AILES,Y----,5,5,VOI,GRAFT,-YY-Y,5,4,LLM,TARTY,-GGGG,1,1,LLM,PARTY,GGGGG,0,0,LLM,,,,,,,,,,
3,TRICK,True,3,EARLS,--Y--,5,5,VOI,TRURO,GG---,3,3,LLM,TRICK,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
4,DIRTY,True,3,EARLS,--G--,4,4,VOI,NORTH,--GG-,3,3,LLM,DIRTY,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
5,USUAL,True,4,EARLS,-Y-YY,5,5,VOI,SLANT,YYY--,5,4,LLM,ASLAM,-GYG-,3,3,LLM,USUAL,GGGGG,0,0,LLM,,,,,,,,,,
6,TRULY,True,4,AILES,--Y--,5,5,VOI,CLOUD,-Y-Y-,5,5,LLM,LUMPY,YY--G,4,4,LLM,TRULY,GGGGG,0,0,LLM,,,,,,,,,,
7,SPENT,True,4,ELIAS,Y---Y,5,5,VOI,STONE,GY-GY,3,3,LLM,SCENT,G-GGG,1,1,LLM,SPENT,GGGGG,0,0,LLM,,,,,,,,,,
8,PAUSE,True,2,SNARE,Y-Y-G,4,4,VOI,PAUSE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,
9,CRAZY,True,6,RAISE,YY---,5,4,VOI,AROMA,YG---,4,4,LLM,FRANK,-GG--,3,3,LLM,GRAVY,-GG-G,2,2,LLM,TRACY,-GGYG,2,2,LLM,CRAZY,GGGGG,0,0,LLM
10,BASES,False,6,EARNS,YG--G,3,3,VOI,CAKES,-G-GG,2,2,LLM,MAKES,-G-GG,2,2,LLM,GATES,-G-GG,2,2,LLM,WALES,-G-GG,2,2,LLM,HAVES,-G-GG,2,2,LLM
11,YOUNG,True,4,ELISA,-----,5,5,VOI,TROUT,--YY-,5,4,LLM,BOUND,-GGG-,2,2,LLM,YOUNG,GGGGG,0,0,LLM,,,,,,,,,,
12,MEANS,True,5,RAISE,-Y-YY,5,4,VOI,LEADS,-GG-G,2,2,LLM,BEATS,-GG-G,2,2,LLM,JEANS,-GGGG,1,1,LLM,MEANS,GGGGG,0,0,LLM,,,,,
13,TRUTH,True,2,NEARS,---Y-,5,5,VOI,TRUTH,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,
14,FIRED,True,4,EARLS,Y-G--,4,4,VOI,PERRY,-YG--,4,4,LLM,FORGE,G-G-Y,3,3,LLM,FIRED,GGGGG,0,0,LLM,,,,,,,,,,
15,FOLKS,True,3,NEARS,----G,4,4,VOI,SILOS,--GYG,3,3,LLM,FOLKS,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
16,CHILE,True,4,EARNS,Y----,5,5,VOI,WHITE,-GG-G,2,2,LLM,CHIME,GGG-G,1,1,LLM,CHILE,GGGGG,0,0,LLM,,,,,,,,,,
17,BLACK,True,5,ARIES,Y----,5,5,VOI,TAUNT,-Y---,5,5,LLM,LOCAL,Y-YY-,5,4,LLM,CLACK,-GGGG,1,1,LLM,BLACK,GGGGG,0,0,LLM,,,,,
18,GRANT,True,3,ARSED,YG---,4,4,VOI,TRACK,YGG--,3,3,LLM,GRANT,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
19,MEALS,True,3,EARNS,YY--G,4,3,VOI,LEADS,YGG-G,2,2,LLM,MEALS,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
20,CREAM,True,4,EARLS,YYY--,5,5,VOI,GRADE,-GY-Y,4,4,LLM,BREAK,-GGG-,2,2,LLM,CREAM,GGGGG,0,0,LLM,,,,,,,,,,
21,AWAKE,True,5,DARES,-Y-Y-,5,4,VOI,BEACH,-YG--,4,4,LLM,FLAME,--G-G,3,3,LLM,QUAKE,--GGG,2,2,LLM,AWAKE,GGGGG,0,0,LLM,,,,,
22,OCCUR,True,5,ARISE,-Y---,5,5,VOI,THORN,--YY-,5,5,LLM,WORLD,-YY--,5,5,LLM,RUMOR,-Y-YG,4,4,LLM,OCCUR,GGGGG,0,0,LLM,,,,,
23,YEARS,True,5,AILES,Y--YG,4,4,VOI,BEANS,-GG-G,2,2,LLM,TEARS,-GGGG,1,1,LLM,FEARS,-GGGG,1,1,LLM,YEARS,GGGGG,0,0,LLM,,,,,
24,GRADE,True,4,ARIES,YG-Y-,4,4,VOI,BRAKE,-GG-G,2,2,LLM,CRANE,-GG-G,2,2,LLM,GRADE,GGGGG,0,0,LLM,,,,,,,,,,
25,CHILL,True,4,SIENA,-Y---,5,5,VOI,FLIRT,-YG--,4,4,LLM,GUILL,--GGG,2,2,LLM,CHILL,GGGGG,0,0,LLM,,,,,,,,,,
26,FLOOD,True,3,AROSE,--G--,4,4,VOI,BLOOM,-GGG-,2,2,LLM,FLOOD,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
27,APPLY,True,4,RAISE,-Y---,5,5,VOI,FLOAT,-Y-Y-,5,5,LLM,CHULA,---GY,4,4,LLM,APPLY,GGGGG,0,0,LLM,,,,,,,,,,
28,SMILE,True,4,NEARS,-Y--Y,5,5,VOI,SPIED,G-GY-,3,3,LLM,SLIME,GYGYG,2,2,LLM,SMILE,GGGGG,0,0,LLM,,,,,,,,,,
29,KNOCK,True,3,REALS,-----,5,5,VOI,TOUCH,-Y-G-,4,4,LLM,KNOCK,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
30,SLEEP,True,5,OATES,---GY,4,4,VOI,SHEEN,G-GG-,2,2,LLM,SPEED,GYGG-,2,2,LLM,SWEEP,G-GGG,1,1,LLM,SLEEP,GGGGG,0,0,LLM,,,,,
31,BRICK,True,4,AIRES,-YY--,5,5,VOI,PRICK,-GGGG,1,1,LLM,TRICK,-GGGG,1,1,LLM,BRICK,GGGGG,0,0,LLM,,,,,,,,,,
32,WROTE,True,4,RATES,Y-YY-,5,3,VOI,TERRE,Y-Y-G,4,4,LLM,WRITE,GG-GG,1,1,LLM,WROTE,GGGGG,0,0,LLM,,,,,,,,,,
33,RATED,True,3,AROSE,YY--Y,5,4,VOI,TAKER,YG-GY,3,3,LLM,RATED,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
34,ALERT,True,3,AILES,G-YY-,4,3,VOI,ANGLE,G--YY,4,4,LLM,ALERT,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
35,CAGES,True,5,SNARE,Y-Y-Y,5,4,VOI,HALES,-G-GG,2,2,LLM,MAKES,-G-GG,2,2,LLM,GATES,YG-GG,2,2,LLM,CAGES,GGGGG,0,0,LLM,,,,,
36,TEDDY,True,4,RAISE,----Y,5,5,VOI,TOKEN,G--Y-,4,4,LLM,THEFT,G-Y--,4,4,LLM,TEDDY,GGGGG,0,0,LLM,,,,,,,,,,
37,COLES,True,5,AROSE,--YYY,5,4,VOI,CODES,GG-GG,1,1,LLM,COMES,GG-GG,1,1,LLM,CONES,GG-GG,1,1,LLM,COLES,GGGGG,0,0,LLM,,,,,
38,HWANG,True,4,REALS,--G--,4,4,VOI,THANK,-YGG-,3,3,LLM,HUANG,G-GGG,1,1,LLM,HWANG,GGGGG,0,0,LLM,,,,,,,,,,
39,WRATH,True,5,EARLS,-YY--,5,5,VOI,BOARD,--GY-,4,4,LLM,CRAFT,-GG-Y,3,3,LLM,TRAIN,YGG--,3,3,LLM,WRATH,GGGGG,0,0,LLM,,,,,
40,MACHO,True,3,EARLS,-G---,4,4,VOI,MACON,GGGY-,2,2,LLM,MACHO,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
41,LOPEZ,True,5,REALS,-Y-Y-,5,5,VOI,CLINE,-Y--Y,5,4,LLM,MODEL,-G-GY,3,3,LLM,LOVEY,GG-G-,2,2,LLM,LOPEZ,GGGGG,0,0,LLM,,,,,
42,GOODY,True,4,ASTER,-----,5,5,VOI,BLIND,----Y,5,5,LLM,DOGGY,YGY-G,3,3,LLM,GOODY,GGGGG,0,0,LLM,,,,,,,,,,
43,BROTH,True,4,LASER,----Y,5,5,VOI,THORN,YYGY-,4,4,LLM,FROTH,-GGGG,1,1,LLM,BROTH,GGGGG,0,0,LLM,,,,,,,,,,
44,VERDE,True,4,NEARS,-G-Y-,4,4,VOI,REPEL,YG-Y-,4,4,LLM,VERGE,GGG-G,1,1,LLM,VERDE,GGGGG,0,0,LLM,,,,,,,,,,
45,TAMED,True,5,AIRES,Y--G-,4,4,VOI,WAVED,-G-GG,2,2,LLM,FACED,-G-GG,2,2,LLM,NAMED,-GGGG,1,1,LLM,TAMED,GGGGG,0,0,LLM,,,,,
46,LEAFS,True,4,SNARE,Y-G-Y,4,4,VOI,LEADS,GGG-G,1,1,LLM,LEAKS,GGG-G,1,1,LLM,LEAFS,GGGGG,0,0,LLM,,,,,,,,,,
47,YACHT,True,4,SIENA,----Y,5,5,VOI,HARAM,YG---,4,4,LLM,CATCH,YGY-Y,4,3,LLM,YACHT,GGGGG,0,0,LLM,,,,,,,,,,
48,MESSY,True,4,AIRES,---YY,5,5,VOI,SLOPE,Y---Y,5,5,LLM,QUEST,--YG-,4,4,LLM,MESSY,GGGGG,0,0,LLM,,,,,,,,,,
49,RYDER,True,3,ASTER,---GG,3,3,VOI,ORDER,-YGGG,2,2,LLM,RYDER,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
50,MOTIF,True,4,LASER,-----,5,5,VOI,MUDDY,G----,4,4,LLM,MONTH,GG-Y-,3,3,LLM,MOTIF,GGGGG,0,0,LLM,,,,,,,,,,
51,RAVEN,True,3,SLATE,--Y-Y,5,4,VOI,PAPER,-G-GY,3,3,LLM,RAVEN,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
52,REICH,True,4,AISLE,-Y--Y,5,5,VOI,BEGIN,-G-Y-,4,4,LLM,REIKI,GGG--,2,2,LLM,REICH,GGGGG,0,0,LLM,,,,,,,,,,
53,ICONS,True,5,ANSEL,-YY--,5,5,VOI,SINKS,-YY-G,4,4,LLM,THINS,--YGG,3,3,LLM,IRONS,G-GGG,1,1,LLM,ICONS,GGGGG,0,0,LLM,,,,,
54,SILKY,True,2,ARIES,--Y-Y,5,5,VOI,SILKY,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,
