game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,4,HONKY,YY---,5,4,VOI,SHOPS,-GGY-,3,3,LLM,WHOOP,-GGYY,3,3,LLM,PHOTO,GGGGG,0,0,LLM,,,,,,,,,,
2,PARTY,True,4,REALS,Y-Y--,5,5,VOI,GATOR,-GY-Y,4,4,LLM,CARTA,-GGG-,2,2,LLM,PARTY,GGGGG,0,0,LLM,,,,,,,,,,
3,TRICK,True,3,SNARE,---Y-,5,5,VOI,TROUT,GG---,3,3,LLM,TRICK,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
4,DIRTY,True,4,LASER,----Y,5,5,VOI,CURVY,--G-G,3,3,LLM,MORTY,--GGG,2,2,LLM,DIRTY,GGGGG,0,0,LLM,,,,,,,,,,
5,USUAL,True,4,EARNS,-Y--Y,5,5,VOI,SPASM,Y-Y--,5,4,LLM,AISHA,Y-Y--,5,4,LLM,USUAL,GGGGG,0,0,LLM,,,,,,,,,,
6,TRULY,True,5,AROSE,-G---,4,4,VOI,BRING,-G---,4,4,LLM,TRUST,GGG--,2,2,LLM,TRUDY,GGG-G,1,1,LLM,TRULY,GGGGG,0,0,LLM,,,,,
7,SPENT,True,6,ARISE,---YY,5,5,VOI,SMELL,G-G--,3,3,LLM,SHEET,G-G-G,2,2,LLM,STENT,G-GGG,1,1,LLM,SCENT,G-GGG,1,1,LLM,SPENT,GGGGG,0,0,LLM
8,PAUSE,True,2,RAISE,-G-GG,2,2,VOI,PAUSE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,
9,CRAZY,True,4,ARISE,YG---,4,4,VOI,DRAFT,-GG--,3,3,LLM,GRAVY,-GG-G,2,2,LLM,CRAZY,GGGGG,0,0,LLM,,,,,,,,,,
10,BASES,True,5,LANES,-G-GG,2,2,VOI,DATES,-G-GG,2,2,LLM,SAVES,YG-GG,2,2,LLM,EASES,-GGGG,1,1,LLM,BASES,GGGGG,0,0,LLM,,,,,
11,YOUNG,True,4,NEARS,Y----,5,5,VOI,CHUNG,--GGG,2,2,LLM,KYUNG,-YGGG,2,2,LLM,YOUNG,GGGGG,0,0,LLM,,,,,,,,,,
12,MEANS,True,4,TASER,-YYY-,5,5,VOI,SEALS,-GG-G,2,2,LLM,BEANS,-GGGG,1,1,LLM,MEANS,GGGGG,0,0,LLM,,,,,,,,,,
