game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,4,BASED,-----,5,5,LLM,PILOT,G--YY,4,3,CSS,POTRO,GYY-G,3,2,CSS,PHOTO,GGGGG,0,0,CSS,,,,,,,,,,
2,PARTY,True,5,GUESS,-----,5,5,LLM,CARLO,-GG--,3,3,CSS,MARIA,-GG--,3,3,CSS,DARTH,-GGG-,2,2,CSS,PARTY,GGGGG,0,0,CSS,,,,,
3,TRICK,True,4,BASED,-----,5,5,LLM,TURIN,G-YY-,4,3,CSS,TRILL,GGG--,2,2,CSS,TRICK,GGGGG,0,0,CSS,,,,,,,,,,
4,DIRTY,True,4,BASED,----Y,5,5,LLM,DONOR,G---Y,4,4,CSS,DRILL,GYY--,4,4,CSS,DIRTY,GGGGG,0,0,CSS,,,,,,,,,,
5,USUAL,True,4,GUESS,-Y-Y-,5,5,LLM,SNOUT,Y--Y-,5,5,CSS,ASUKA,YGG--,3,3,CSS,USUAL,GGGGG,0,0,CSS,,,,,,,,,,
6,TRULY,True,4,BASED,-----,5,5,LLM,MORIN,--Y--,5,5,CSS,CRYPT,-GY-Y,4,4,CSS,TRULY,GGGGG,0,0,CSS,,,,,,,,,,
7,SPENT,True,3,BASED,--YY-,5,5,LLM,SEINE,GY-G-,3,3,CSS,SPENT,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
8,PAUSE,True,2,BASED,-GYY-,4,3,LLM,PAUSE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,
9,CRAZY,True,4,BASED,-Y---,5,5,LLM,TRINA,-G--Y,4,4,CSS,GRAVY,-GG-G,2,2,CSS,CRAZY,GGGGG,0,0,CSS,,,,,,,,,,
10,BASES,True,4,ENTRE,Y----,5,5,LLM,BALES,GG-GG,1,1,CSS,BABES,GG-GG,1,1,CSS,BASES,GGGGG,0,0,CSS,,,,,,,,,,
11,YOUNG,True,5,BASED,-----,5,5,LLM,NITRO,Y---Y,5,5,CSS,COLON,-G--Y,4,4,CSS,HONKY,-GY-Y,4,4,CSS,YOUNG,GGGGG,0,0,CSS,,,,,
12,MEANS,True,4,BASED,-YYY-,5,5,LLM,STARE,Y-G-Y,4,4,CSS,LEAPS,-GG-G,2,2,CSS,MEANS,GGGGG,0,0,CSS,,,,,,,,,,
13,TRUTH,True,6,GUESS,-Y---,5,5,LLM,COURT,--GYY,4,4,CSS,TRULY,GGG--,2,2,CSS,TRUMP,GGG--,2,2,CSS,TRUNK,GGG--,2,2,CSS,TRUTH,GGGGG,0,0,CSS
14,FIRED,True,4,BASED,---GG,3,3,LLM,TIRED,-GGGG,1,1,CSS,WIRED,-GGGG,1,1,CSS,FIRED,GGGGG,0,0,CSS,,,,,,,,,,
15,FOLKS,True,4,BASED,--Y--,5,5,LLM,TRIPS,----G,4,4,CSS,LOCKS,YG-GG,2,2,CSS,FOLKS,GGGGG,0,0,CSS,,,,,,,,,,
16,CHILE,True,4,BASED,---Y-,5,5,LLM,RHONE,-G--G,3,3,CSS,WHYTE,-G--G,3,3,CSS,CHILE,GGGGG,0,0,CSS,,,,,,,,,,
17,BLACK,True,4,LINKS,Y--Y-,5,4,LLM,KAROL,YY--Y,5,5,CSS,CLACK,-GGGG,1,1,CSS,BLACK,GGGGG,0,0,CSS,,,,,,,,,,
18,GRANT,True,4,BASED,-Y---,5,5,LLM,LORNA,--YGY,4,4,CSS,FRANK,-GGG-,2,2,CSS,GRANT,GGGGG,0,0,CSS,,,,,,,,,,
19,MEALS,True,4,BASED,-YYY-,5,5,LLM,STARE,Y-G-Y,4,4,CSS,LEAPS,YGG-G,2,2,CSS,MEALS,GGGGG,0,0,CSS,,,,,,,,,,
20,CREAM,True,5,BASED,-Y-Y-,5,5,LLM,LEARN,-YYY-,5,4,CSS,GRETA,-GG-Y,3,3,CSS,FREAK,-GGG-,2,2,CSS,CREAM,GGGGG,0,0,CSS,,,,,
21,AWAKE,True,4,GUESS,--Y--,5,5,LLM,ARDEN,G--Y-,4,4,CSS,ALIKE,G--GG,2,2,CSS,AWAKE,GGGGG,0,0,CSS,,,,,,,,,,
22,OCCUR,True,3,BASED,-----,5,5,LLM,CONTI,YY---,5,5,CSS,OCCUR,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
23,YEARS,True,4,HAPPY,-Y--Y,5,5,LLM,LYCRA,-Y-GY,4,4,CSS,YEARN,GGGG-,1,1,CSS,YEARS,GGGGG,0,0,CSS,,,,,,,,,,
24,GRADE,True,3,BASED,-Y-YY,5,4,LLM,READE,Y-GGG,2,2,CSS,GRADE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
25,CHILL,True,4,BASED,-----,5,5,LLM,MIRTH,-Y--Y,5,5,CSS,CHINO,GGG--,2,2,CSS,CHILL,GGGGG,0,0,CSS,,,,,,,,,,
26,FLOOD,True,3,AFTER,-Y---,5,5,LLM,FOILS,GY-Y-,4,4,CSS,FLOOD,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
27,APPLY,True,3,BASED,-Y---,5,5,LLM,ALAIN,GY---,4,4,CSS,APPLY,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
28,SMILE,True,4,WOULD,---G-,4,4,LLM,SALLY,G--G-,3,3,CSS,SPILT,G-GG-,2,2,CSS,SMILE,GGGGG,0,0,CSS,,,,,,,,,,
29,KNOCK,True,4,BASED,-----,5,5,LLM,COURT,YY---,5,5,CSS,FLOCK,--GGG,2,2,CSS,KNOCK,GGGGG,0,0,CSS,,,,,,,,,,
30,SLEEP,True,4,BASED,--YG-,4,4,LLM,SIREN,G--G-,3,3,CSS,SLEET,GGGG-,1,1,CSS,SLEEP,GGGGG,0,0,CSS,,,,,,,,,,
31,BRICK,True,3,BASED,G----,4,4,LLM,BURNT,G-Y--,4,4,CSS,BRICK,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
32,WROTE,True,4,BASED,---Y-,5,5,LLM,CRONE,-GG-G,2,2,CSS,TROPE,YGG-G,2,2,CSS,WROTE,GGGGG,0,0,CSS,,,,,,,,,,
33,RATED,True,2,BASED,-G-GG,2,2,LLM,RATED,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,
34,ALERT,True,3,BASED,-Y-Y-,5,4,LLM,LEARN,YYYG-,4,3,CSS,ALERT,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
35,CAGES,True,3,BASED,-GYG-,3,3,LLM,CARES,GG-GG,1,1,CSS,CAGES,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
36,TEDDY,True,4,BASED,---YY,5,5,LLM,DRONE,Y---Y,5,5,CSS,MEDIC,-GG--,3,3,CSS,TEDDY,GGGGG,0,0,CSS,,,,,,,,,,
37,COLES,True,4,QUEEN,---G-,4,4,LLM,LASER,Y-YG-,4,4,CSS,PILES,--GGG,2,2,CSS,COLES,GGGGG,0,0,CSS,,,,,,,,,,
38,HWANG,True,5,BASED,-Y---,5,5,LLM,ALARM,--G--,4,4,CSS,CHANG,-YGGG,2,2,CSS,HUANG,G-GGG,1,1,CSS,HWANG,GGGGG,0,0,CSS,,,,,
39,WRATH,True,5,BOOKS,-----,5,5,LLM,ALDEN,Y----,5,5,CSS,MITRA,--YYY,5,5,CSS,PRATT,-GGG-,2,2,CSS,WRATH,GGGGG,0,0,CSS,,,,,
40,MACHO,True,4,BASED,-G---,4,4,LLM,MANTA,GG---,3,3,CSS,MACRO,GGG-G,1,1,CSS,MACHO,GGGGG,0,0,CSS,,,,,,,,,,
41,LOPEZ,True,4,SNUCK,-----,5,5,LLM,PARTE,Y---Y,5,5,CSS,DOPEY,-GGG-,2,2,CSS,LOPEZ,GGGGG,0,0,CSS,,,,,,,,,,
42,GOODY,True,3,BASED,----Y,5,5,LLM,DONOR,YG-Y-,4,4,CSS,GOODY,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
43,BROTH,True,4,SCOOT,--G-Y,4,4,LLM,WROTE,-GGG-,2,2,CSS,FROTH,-GGGG,1,1,CSS,BROTH,GGGGG,0,0,CSS,,,,,,,,,,
44,VERDE,True,4,BASED,---YY,5,5,LLM,DRONE,YY--G,4,4,CSS,RIDGE,Y-Y-G,4,4,CSS,VERDE,GGGGG,0,0,CSS,,,,,,,,,,
45,TAMED,True,5,BASED,-G-GG,2,2,LLM,RATED,-GYGG,2,2,CSS,TAXED,GG-GG,1,1,CSS,TAPED,GG-GG,1,1,CSS,TAMED,GGGGG,0,0,CSS,,,,,
46,LEAFS,True,5,BASED,-YYY-,5,5,LLM,TEARS,-GG-G,2,2,CSS,LEAPS,GGG-G,1,1,CSS,LEAKS,GGG-G,1,1,CSS,LEAFS,GGGGG,0,0,CSS,,,,,
47,YACHT,True,4,BASED,-G---,4,4,LLM,MANIA,-G---,4,4,CSS,CARLY,YG--Y,4,4,CSS,YACHT,GGGGG,0,0,CSS,,,,,,,,,,
48,MESSY,True,4,BASED,--GY-,4,4,LLM,POSSE,--GGY,3,3,CSS,JESSI,-GGG-,2,2,CSS,MESSY,GGGGG,0,0,CSS,,,,,,,,,,
49,RYDER,True,5,GUESS,--Y--,5,5,LLM,RAMEN,G--G-,3,3,CSS,RILED,G--GY,3,3,CSS,RODEO,G-GG-,2,2,CSS,RYDER,GGGGG,0,0,CSS,,,,,
50,MOTIF,True,4,BASED,-----,5,5,LLM,PINTO,-Y-YY,5,5,CSS,VOMIT,-GYGY,3,3,CSS,MOTIF,GGGGG,0,0,CSS,,,,,,,,,,
51,RAVEN,True,4,BASED,-G-G-,3,3,LLM,LATER,-G-GY,3,3,CSS,MAREK,-GYG-,3,3,CSS,RAVEN,GGGGG,0,0,CSS,,,,,,,,,,
52,REICH,True,3,LAINE,--G-Y,4,4,LLM,DRIES,-YGY-,4,4,CSS,REICH,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
53,ICONS,True,3,BASED,--Y--,5,5,LLM,RIOTS,-YG-G,3,3,CSS,ICONS,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
54,SILKY,True,4,BASED,--Y--,5,5,LLM,LOTUS,Y---Y,5,5,CSS,SKILL,GYYY-,4,3,CSS,SILKY,GGGGG,0,0,CSS,,,,,,,,,,
55,CARVE,True,4,BASED,-G-Y-,4,4,LLM,LAINE,-G--G,3,3,CSS,CARTE,GGG-G,1,1,CSS,CARVE,GGGGG,0,0,CSS,,,,,,,,,,
56,LAGER,False,6,BASED,-G-G-,3,3,LLM,LATER,GG-GG,1,1,CSS,LAYER,GG-GG,1,1,CSS,LAUER,GG-GG,1,1,CSS,LAZER,GG-GG,1,1,CSS,LAKER,GG-GG,1,1,CSS
57,JERKS,True,4,BASED,--YY-,5,5,LLM,TIERS,--YYG,4,3,CSS,HEROS,-GG-G,2,2,CSS,JERKS,GGGGG,0,0,CSS,,,,,,,,,,
58,LOTUS,True,4,BASED,--Y--,5,5,LLM,CLOTS,-YYYG,4,2,CSS,TOLLS,YGY-G,3,3,CSS,LOTUS,GGGGG,0,0,CSS,,,,,,,,,,
59,LACEY,True,6,GUESS,--Y--,5,5,LLM,MARIE,-G--Y,4,4,CSS,LADEN,GG-G-,2,2,CSS,LAPEL,GG-G-,2,2,CSS,LATEX,GG-G-,2,2,CSS,LACEY,GGGGG,0,0,CSS
60,TUDOR,True,3,BASED,----Y,5,5,LLM,DONOR,Y--GG,3,3,CSS,TUDOR,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
61,QUOTA,True,3,TORAH,YY-Y-,5,4,LLM,AUTOS,YGYY-,4,4,CSS,QUOTA,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
62,MOURN,True,4,BASED,-----,5,5,LLM,POINT,-G-Y-,4,4,CSS,CONGO,-GY--,4,4,CSS,MOURN,GGGGG,0,0,CSS,,,,,,,,,,
63,PROMO,True,4,BASED,-----,5,5,LLM,MINOT,Y--Y-,5,5,CSS,COMFY,-YY--,5,4,CSS,PROMO,GGGGG,0,0,CSS,,,,,,,,,,
