game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,4,HMMMP,Y---Y,5,5,LLM,POACH,GY--Y,4,4,CSS,PHONE,GGG--,2,2,CSS,PHOTO,GGGGG,0,0,CSS,,,,,,,,,,
2,PARTY,True,5,SHOTS,---G-,4,4,LLM,LATTE,-G-G-,3,3,CSS,MANTA,-G-G-,3,3,CSS,PARTI,GGGG-,1,1,CSS,PARTY,GGGGG,0,0,CSS,,,,,
3,TRICK,True,4,HESSE,-----,5,5,LLM,LAIRD,--GY-,4,4,CSS,PRINT,-GG-Y,3,3,CSS,TRICK,GGGGG,0,0,CSS,,,,,,,,,,
4,DIRTY,True,3,PARTI,--GGY,3,3,LLM,FIRTH,-GGG-,2,2,CSS,DIRTY,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
5,USUAL,True,4,FOLDS,--Y-Y,5,5,LLM,STALE,Y-YY-,5,3,CSS,BASAL,--YGG,3,3,CSS,USUAL,GGGGG,0,0,CSS,,,,,,,,,,
6,TRULY,True,4,SAEED,-----,5,5,LLM,CHOIR,----Y,5,5,CSS,BRUNT,-GG-Y,3,3,CSS,TRULY,GGGGG,0,0,CSS,,,,,,,,,,
7,SPENT,True,3,POLES,Y--YY,5,5,LLM,SPATE,GG-YY,3,3,CSS,SPENT,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
8,PAUSE,True,3,STALE,Y-Y-G,4,4,LLM,RAISE,-G-GG,2,2,CSS,PAUSE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
9,CRAZY,True,4,LIMBO,-----,5,5,LLM,CARES,GYY--,4,4,CSS,CRACK,GGG--,2,2,CSS,CRAZY,GGGGG,0,0,CSS,,,,,,,,,,
10,BASES,True,5,LEANS,-YY-G,4,4,LLM,CARES,-G-GG,2,2,CSS,MATES,-G-GG,2,2,CSS,SAGES,YG-GG,2,2,CSS,BASES,GGGGG,0,0,CSS,,,,,
11,YOUNG,True,4,TAPER,-----,5,5,LLM,FOILS,-G---,4,4,CSS,GOODY,YG--Y,4,4,CSS,YOUNG,GGGGG,0,0,CSS,,,,,,,,,,
12,MEANS,True,3,MARCY,GY---,4,4,LLM,MENSA,GGYYY,3,2,CSS,MEANS,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
13,TRUTH,True,4,EDDIE,-----,5,5,LLM,SHONA,-Y---,5,5,CSS,BURGH,-YY-G,4,4,CSS,TRUTH,GGGGG,0,0,CSS,,,,,,,,,,
14,FIRED,False,6,AGREE,--GG-,3,3,LLM,CORES,--GG-,3,3,CSS,HIRED,-GGGG,1,1,CSS,WIRED,-GGGG,1,1,CSS,TIRED,-GGGG,1,1,CSS,MIRED,-GGGG,1,1,CSS
15,FOLKS,True,5,LIVES,Y---G,4,4,LLM,PAULS,---YG,4,4,CSS,CLOGS,-YY-G,4,4,CSS,FOLDS,GGG-G,1,1,CSS,FOLKS,GGGGG,0,0,CSS,,,,,
16,CHILE,True,5,HOODS,Y----,5,5,LLM,EARTH,Y---Y,5,5,CSS,CHIEN,GGGY-,2,2,CSS,CHIME,GGG-G,1,1,CSS,CHILE,GGGGG,0,0,CSS,,,,,
17,BLACK,True,4,NOISE,-----,5,5,LLM,MARLA,-Y-Y-,5,5,CSS,TUBAL,--YYY,5,5,CSS,BLACK,GGGGG,0,0,CSS,,,,,,,,,,
18,GRANT,True,3,LEGER,--Y-Y,5,5,LLM,GROAN,GG-YY,3,2,CSS,GRANT,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
19,MEALS,True,5,FABLE,-Y-GY,4,4,LLM,HEALS,-GGGG,1,1,CSS,SEALS,-GGGG,1,1,CSS,REALS,-GGGG,1,1,CSS,MEALS,GGGGG,0,0,CSS,,,,,
20,CREAM,True,5,BANDY,-Y---,5,5,LLM,LEAST,-YY--,5,4,CSS,KOREA,--YYY,5,3,CSS,AZURE,Y--YY,5,5,CSS,CREAM,GGGGG,0,0,CSS,,,,,
21,AWAKE,True,5,PLUMB,-----,5,5,LLM,TASER,-Y-Y-,5,4,CSS,DEANE,--G-G,3,3,CSS,AGAVE,G-G-G,2,2,CSS,AWAKE,GGGGG,0,0,CSS,,,,,
22,OCCUR,True,4,SENNA,-----,5,5,LLM,CYRIL,Y-Y--,5,5,CSS,TRUCK,-YYY-,5,5,CSS,OCCUR,GGGGG,0,0,CSS,,,,,,,,,,
23,YEARS,True,4,BYNUM,-Y---,5,5,LLM,EARLY,YYY-Y,5,3,CSS,FREYA,-YYYY,5,5,CSS,YEARS,GGGGG,0,0,CSS,,,,,,,,,,
24,GRADE,True,4,IONIC,-----,5,5,LLM,SABRE,-Y-YG,4,4,CSS,TRADE,-GGGG,1,1,CSS,GRADE,GGGGG,0,0,CSS,,,,,,,,,,
25,CHILL,True,4,SALTY,--Y--,5,5,LLM,LOIRE,Y-G--,4,4,CSS,CLING,GYG--,3,3,CSS,CHILL,GGGGG,0,0,CSS,,,,,,,,,,
26,FLOOD,True,4,SAITH,-----,5,5,LLM,RULED,--Y-G,4,4,CSS,BLOOD,-GGGG,1,1,CSS,FLOOD,GGGGG,0,0,CSS,,,,,,,,,,
