game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,4,GIVEN,-----,5,5,LLM,SORTA,-Y-G-,4,4,VOI,KYOTO,--GGG,2,2,VOI,PHOTO,GGGGG,0,0,VOI,,,,,,,,,,
2,PARTY,True,4,WORDS,--G--,4,4,LLM,MARCY,-GG-G,2,2,VOI,LARRY,-GG-G,2,2,VOI,PARTY,GGGGG,0,0,VOI,,,,,,,,,,
3,TRICK,True,4,GIVEN,-Y---,5,5,LLM,MARIS,--YY-,5,4,VOI,FLIRT,--GYY,4,4,VOI,TRICK,GGGGG,0,0,VOI,,,,,,,,,,
4,DIRTY,True,3,SENDS,---Y-,5,5,LLM,LAIRD,--YYY,5,4,VOI,DIRTY,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
5,USUAL,True,4,GIVEN,-----,5,5,LLM,PARTY,-Y---,5,5,VOI,COALS,--YYY,5,4,VOI,USUAL,GGGGG,0,0,VOI,,,,,,,,,,
6,TRULY,True,3,LYNDA,YY---,5,5,LLM,BURLY,-YYGG,3,3,VOI,TRULY,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
7,SPENT,True,3,BERET,-Y--G,4,4,LLM,SPELT,GGG-G,1,1,VOI,SPENT,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
8,PAUSE,True,2,BASED,-GYY-,4,3,LLM,PAUSE,GGGGG,0,0,VOI,,,,,,,,,,,,,,,,,,,,
9,CRAZY,True,5,START,--GY-,4,4,LLM,BRAID,-GG--,3,3,VOI,CRANE,GGG--,2,2,VOI,CRAMP,GGG--,2,2,VOI,CRAZY,GGGGG,0,0,VOI,,,,,
10,BASES,True,6,MENLO,-Y---,5,5,LLM,PAUSE,-G-YY,4,3,VOI,RACES,-G-GG,2,2,VOI,SAGES,YG-GG,2,2,VOI,VASES,-GGGG,1,1,VOI,BASES,GGGGG,0,0,VOI
11,YOUNG,True,3,USING,Y--GG,3,3,LLM,HYUNG,-YGGG,2,2,VOI,YOUNG,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
12,MEANS,True,6,WHILE,----Y,5,5,LLM,EASES,YY--G,4,3,VOI,TEARS,-GG-G,2,2,VOI,BEANS,-GGGG,1,1,VOI,JEANS,-GGGG,1,1,VOI,MEANS,GGGGG,0,0,VOI
13,TRUTH,True,4,WOULD,--G--,4,4,LLM,PAUSE,--G--,4,4,VOI,CHUNG,-YG--,4,4,VOI,TRUTH,GGGGG,0,0,VOI,,,,,,,,,,
14,FIRED,True,6,CELTS,-Y---,5,5,LLM,MARGE,--G-Y,4,4,VOI,BUREN,--GG-,3,3,VOI,PÉREZ,--GG-,3,3,VOI,WIRED,-GGGG,1,1,VOI,FIRED,GGGGG,0,0,VOI
15,FOLKS,True,4,CROCK,--Y-Y,5,4,LLM,SOAKS,-G-GG,2,2,VOI,YOLKS,-GGGG,1,1,VOI,FOLKS,GGGGG,0,0,VOI,,,,,,,,,,
16,CHILE,True,4,GRIND,--G--,4,4,LLM,TAILS,--GG-,3,3,VOI,EMILY,Y-GG-,3,3,VOI,CHILE,GGGGG,0,0,VOI,,,,,,,,,,
17,BLACK,True,4,WORDS,-----,5,5,LLM,HULME,--Y--,5,5,VOI,CABAL,YYY-Y,5,5,VOI,BLACK,GGGGG,0,0,VOI,,,,,,,,,,
18,GRANT,True,3,GIVEN,G---Y,4,4,LLM,GRAND,GGGG-,1,1,VOI,GRANT,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
19,MEALS,True,4,STOWE,Y---Y,5,5,LLM,MEANS,GGG-G,1,1,VOI,MEARS,GGG-G,1,1,VOI,MEALS,GGGGG,0,0,VOI,,,,,,,,,,
20,CREAM,True,6,BASED,-Y-Y-,5,5,LLM,GRAVE,-GY-Y,4,4,VOI,IRENA,-GG-Y,3,3,VOI,WREAK,-GGG-,2,2,VOI,OREAL,-GGG-,2,2,VOI,CREAM,GGGGG,0,0,VOI
21,AWAKE,True,4,GIVEN,---Y-,5,5,LLM,SMELT,--Y--,5,5,VOI,CRAZE,--G-G,3,3,VOI,AWAKE,GGGGG,0,0,VOI,,,,,,,,,,
22,OCCUR,True,4,STASI,-----,5,5,LLM,YOUNG,-YY--,5,5,VOI,CLOUD,Y-YG-,4,4,VOI,OCCUR,GGGGG,0,0,VOI,,,,,,,,,,
23,YEARS,False,6,GIVEN,---Y-,5,5,LLM,MERCK,-GY--,4,4,VOI,READE,YGG--,3,3,VOI,TEARS,-GGGG,1,1,VOI,FEARS,-GGGG,1,1,VOI,BEARS,-GGGG,1,1,VOI
24,GRADE,True,3,PACES,-Y-Y-,5,4,LLM,READE,Y-GGG,2,2,VOI,GRADE,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
25,CHILL,True,4,GUESS,-----,5,5,LLM,TRACI,---YY,5,5,VOI,CLIFF,GYG--,3,3,VOI,CHILL,GGGGG,0,0,VOI,,,,,,,,,,
26,FLOOD,True,4,BASED,----G,4,4,LLM,CHILD,---YG,4,4,VOI,FLOYD,GGG-G,1,1,VOI,FLOOD,GGGGG,0,0,VOI,,,,,,,,,,
27,APPLY,True,4,KAFKA,-Y---,5,5,LLM,DEANS,--Y--,5,5,VOI,ALIBI,GY---,4,4,VOI,APPLY,GGGGG,0,0,VOI,,,,,,,,,,
28,SMILE,True,4,GIVEN,-Y-Y-,5,4,LLM,WHILE,--GGG,2,2,VOI,EMILE,-GGGG,1,1,VOI,SMILE,GGGGG,0,0,VOI,,,,,,,,,,
29,KNOCK,True,4,BASED,-----,5,5,LLM,CHILL,Y----,5,5,VOI,OCCUR,YY---,5,5,VOI,KNOCK,GGGGG,0,0,VOI,,,,,,,,,,
30,SLEEP,True,5,GIVEN,---G-,4,4,LLM,HOWES,---GY,4,4,VOI,SABER,G--G-,3,3,VOI,STEEL,G-GGY,2,2,VOI,SLEEP,GGGGG,0,0,VOI,,,,,
31,BRICK,True,3,GUESS,-----,5,5,LLM,TRAIL,-G-Y-,4,4,VOI,BRICK,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
32,WROTE,False,6,GIVEN,---Y-,5,5,LLM,PEARS,-Y-Y-,5,5,VOI,ERROR,YG-Y-,4,4,VOI,BROKE,-GG-G,2,2,VOI,FROZE,-GG-G,2,2,VOI,CROWE,-GGYG,2,2,VOI
33,RATED,True,4,MIXER,---GY,4,4,LLM,PÉREZ,--YG-,4,4,VOI,RATES,GGGG-,1,1,VOI,RATED,GGGGG,0,0,VOI,,,,,,,,,,
34,ALERT,True,6,EMILE,Y--Y-,5,5,LLM,ROLES,Y-YY-,5,4,VOI,BERYL,-YY-Y,5,4,VOI,FLEUR,-GG-Y,3,3,VOI,CLERK,-GGG-,2,2,VOI,ALERT,GGGGG,0,0,VOI
35,CAGES,True,4,GUESS,Y-Y-G,4,4,LLM,RAGES,-GGGG,1,1,VOI,WAGES,-GGGG,1,1,VOI,CAGES,GGGGG,0,0,VOI,,,,,,,,,,
36,TEDDY,True,4,LEVIN,-G---,4,4,LLM,RESET,-G--Y,4,4,VOI,DEPTH,YG-Y-,4,4,VOI,TEDDY,GGGGG,0,0,VOI,,,,,,,,,,
37,COLES,True,4,TERRI,-Y---,5,5,LLM,WAGES,---GG,3,3,VOI,POLES,-GGGG,1,1,VOI,COLES,GGGGG,0,0,VOI,,,,,,,,,,
38,HWANG,True,4,SHOPS,-Y---,5,5,LLM,HIRED,G----,4,4,VOI,HUANG,G-GGG,1,1,VOI,HWANG,GGGGG,0,0,VOI,,,,,,,,,,
39,WRATH,True,3,TWEEN,YY---,5,5,LLM,WAITS,GY-G-,3,3,VOI,WRATH,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
40,MACHO,True,4,GILES,-----,5,5,LLM,PROUD,--Y--,5,5,VOI,MOCHA,GYGGY,2,2,VOI,MACHO,GGGGG,0,0,VOI,,,,,,,,,,
41,LOPEZ,True,6,GLOOM,-YY--,5,4,LLM,FOLKS,-GY--,4,4,VOI,TOWEL,-G-GY,3,3,VOI,LOREN,GG-G-,2,2,VOI,LOBED,GG-G-,2,2,VOI,LOPEZ,GGGGG,0,0,VOI
42,GOODY,True,4,WOULD,-G--Y,4,4,LLM,HORDE,-G-G-,3,3,VOI,GOODS,GGGG-,1,1,VOI,GOODY,GGGGG,0,0,VOI,,,,,,,,,,
43,BROTH,True,5,WOULD,-Y---,5,5,LLM,CROKE,-GG--,3,3,VOI,TROIS,YGG--,3,3,VOI,GROOT,-GG-Y,3,3,VOI,BROTH,GGGGG,0,0,VOI,,,,,
44,VERDE,True,4,BASED,---YY,5,5,LLM,TEDDY,-G-G-,3,3,VOI,HEIDI,-G-G-,3,3,VOI,VERDE,GGGGG,0,0,VOI,,,,,,,,,,
45,TAMED,True,4,PICKS,-----,5,5,LLM,LURED,---GG,3,3,VOI,TOWED,G--GG,2,2,VOI,TAMED,GGGGG,0,0,VOI,,,,,,,,,,
