game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,4,GIVEN,-----,5,5,LLM,WORDS,-Y---,5,5,LLM,ALTHO,--YYG,4,4,CSS,PHOTO,GGGGG,0,0,CSS,,,,,,,,,,
2,PARTY,True,4,BASED,-G---,4,4,LLM,MAYOR,-GY-Y,4,4,LLM,LARRY,-GG-G,2,2,CSS,PARTY,GGGGG,0,0,CSS,,,,,,,,,,
3,TRICK,True,4,SUPER,----Y,5,5,LLM,RALLY,Y----,5,5,LLM,FRONT,-G--Y,4,4,CSS,TRICK,GGGGG,0,0,CSS,,,,,,,,,,
4,DIRTY,True,4,SUNNI,----Y,5,5,LLM,LIDAR,-GY-Y,4,4,LLM,TIRED,YGG-Y,3,3,CSS,DIRTY,GGGGG,0,0,CSS,,,,,,,,,,
5,USUAL,True,4,MARKO,-Y---,5,5,LLM,TEGAN,---G-,4,4,LLM,SILAS,Y-YG-,4,4,CSS,USUAL,GGGGG,0,0,CSS,,,,,,,,,,
6,TRULY,True,4,SHRUB,--YY-,5,4,LLM,ROUTE,Y-GY-,4,4,LLM,TRUNK,GGG--,2,2,CSS,TRULY,GGGGG,0,0,CSS,,,,,,,,,,
7,SPENT,True,5,GIVEN,---YY,5,4,LLM,SENSE,GYY--,4,3,LLM,STENT,G-GGG,1,1,CSS,SCENT,G-GGG,1,1,CSS,SPENT,GGGGG,0,0,CSS,,,,,
8,PAUSE,True,5,GIVEN,---Y-,5,5,LLM,REUSE,--GGG,2,2,LLM,AMUSE,Y-GGG,2,2,CSS,CAUSE,-GGGG,1,1,CSS,PAUSE,GGGGG,0,0,CSS,,,,,
9,CRAZY,True,4,BASED,-Y---,5,5,LLM,AKRON,Y-Y--,5,5,LLM,TRAIL,-GG--,3,3,CSS,CRAZY,GGGGG,0,0,CSS,,,,,,,,,,
10,BASES,False,6,TRAIT,--Y--,5,5,LLM,AHMAD,Y----,5,5,LLM,LANES,-G-GG,2,2,CSS,CASES,-GGGG,1,1,CSS,EASES,-GGGG,1,1,CSS,GASES,-GGGG,1,1,CSS
11,YOUNG,True,4,LATEX,-----,5,5,LLM,HOOPS,-G---,4,4,LLM,GORDY,YG--Y,4,4,CSS,YOUNG,GGGGG,0,0,CSS,,,,,,,,,,
12,MEANS,True,4,BASED,-YYY-,5,5,LLM,TEASE,-GGY-,3,3,LLM,REALS,-GG-G,2,2,CSS,MEANS,GGGGG,0,0,CSS,,,,,,,,,,
13,TRUTH,True,4,GIVEN,-----,5,5,LLM,WOULD,--G--,4,4,LLM,CRUST,-GG-Y,3,3,CSS,TRUTH,GGGGG,0,0,CSS,,,,,,,,,,
14,FIRED,True,4,SIGHT,-G---,4,4,LLM,MIKEL,-G-G-,3,3,LLM,DINER,YG-GY,3,3,CSS,FIRED,GGGGG,0,0,CSS,,,,,,,,,,
15,FOLKS,True,4,GIVEN,-----,5,5,LLM,MAZDA,-----,5,5,LLM,CULTS,--G-G,3,3,CSS,FOLKS,GGGGG,0,0,CSS,,,,,,,,,,
16,CHILE,True,4,STOMP,-----,5,5,LLM,BANFF,-----,5,5,LLM,RILED,-YYY-,5,3,CSS,CHILE,GGGGG,0,0,CSS,,,,,,,,,,
17,BLACK,True,5,GUESS,-----,5,5,LLM,ACCRA,YY---,5,5,LLM,CHAIN,Y-G--,4,4,CSS,FLACK,-GGGG,1,1,CSS,BLACK,GGGGG,0,0,CSS,,,,,
18,GRANT,True,4,MEDIA,----Y,5,5,LLM,STANK,-YGG-,3,3,LLM,THANG,Y-GGY,3,3,CSS,GRANT,GGGGG,0,0,CSS,,,,,,,,,,
19,MEALS,True,4,BASED,-YYY-,5,5,LLM,TEARS,-GG-G,2,2,LLM,LEAPS,YGG-G,2,2,CSS,MEALS,GGGGG,0,0,CSS,,,,,,,,,,
20,CREAM,True,6,TABOO,-Y---,5,5,LLM,FLUID,-----,5,5,LLM,HEARS,-YYY-,5,4,CSS,AGREE,Y-YY-,5,4,CSS,WREAK,-GGG-,2,2,CSS,CREAM,GGGGG,0,0,CSS
21,AWAKE,True,6,GIVEN,---Y-,5,5,LLM,TEACH,-YG--,4,4,LLM,BRAKE,--GGG,2,2,CSS,FLAKE,--GGG,2,2,CSS,QUAKE,--GGG,2,2,CSS,AWAKE,GGGGG,0,0,CSS
22,OCCUR,True,2,WOULD,-YY--,5,5,LLM,OCCUR,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,
23,YEARS,False,6,BASED,-YYY-,5,5,LLM,TEASE,-GGY-,3,3,LLM,REALS,YGG-G,2,2,CSS,PEARS,-GGGG,1,1,CSS,NEARS,-GGGG,1,1,CSS,HEARS,-GGGG,1,1,CSS
24,GRADE,True,4,RIFTS,Y----,5,5,LLM,ORDER,-GYY-,4,3,LLM,DRAPE,YGG-G,2,2,CSS,GRADE,GGGGG,0,0,CSS,,,,,,,,,,
25,CHILL,True,4,SWISH,--G-Y,4,4,LLM,THINK,-GG--,3,3,LLM,CHILE,GGGG-,1,1,CSS,CHILL,GGGGG,0,0,CSS,,,,,,,,,,
26,FLOOD,True,3,BASED,----G,4,4,LLM,DRUID,----G,4,4,LLM,FLOOD,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
27,APPLY,True,4,BIKES,-----,5,5,LLM,WOULD,---G-,4,4,LLM,MARLA,-Y-G-,4,4,CSS,APPLY,GGGGG,0,0,CSS,,,,,,,,,,
28,SMILE,True,4,TWINE,--G-G,3,3,LLM,ALICE,-YG-G,3,3,LLM,EMILE,-GGGG,1,1,CSS,SMILE,GGGGG,0,0,CSS,,,,,,,,,,
29,KNOCK,True,6,GIVEN,----Y,5,5,LLM,SANTO,--Y-Y,5,5,LLM,HORNY,-Y-Y-,5,5,CSS,KNOPF,GGG--,2,2,CSS,KNOLL,GGG--,2,2,CSS,KNOCK,GGGGG,0,0,CSS
30,SLEEP,True,2,SEEMS,GYG--,3,3,LLM,SLEEP,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,
31,BRICK,True,6,WIPES,-Y---,5,5,LLM,GUIDO,--G--,4,4,LLM,TRINA,-GG--,3,3,CSS,CRICK,-GGGG,1,1,CSS,FRICK,-GGGG,1,1,CSS,BRICK,GGGGG,0,0,CSS
32,WROTE,True,4,BASED,---Y-,5,5,LLM,TEMPO,YY--Y,5,5,LLM,NOTRE,-YYYG,4,3,CSS,WROTE,GGGGG,0,0,CSS,,,,,,,,,,
33,RATED,True,4,TAHOE,YG--Y,4,4,LLM,LATER,-GGGY,2,2,LLM,RATES,GGGG-,1,1,CSS,RATED,GGGGG,0,0,CSS,,,,,,,,,,
34,ALERT,True,4,GIVEN,---Y-,5,5,LLM,THERE,Y-GG-,3,3,LLM,UTERO,-YGG-,3,3,CSS,ALERT,GGGGG,0,0,CSS,,,,,,,,,,
35,CAGES,True,5,USING,-Y--Y,5,5,LLM,SAGAR,YGG--,3,3,LLM,PAGES,-GGGG,1,1,CSS,MAGES,-GGGG,1,1,CSS,CAGES,GGGGG,0,0,CSS,,,,,
36,TEDDY,True,4,WOULD,----Y,5,5,LLM,MAHDI,---G-,4,4,LLM,NERDS,-G-G-,3,3,CSS,TEDDY,GGGGG,0,0,CSS,,,,,,,,,,
37,COLES,True,6,SALES,--GGG,2,2,LLM,ROLES,-GGGG,1,1,LLM,FOLES,-GGGG,1,1,CSS,HOLES,-GGGG,1,1,CSS,MOLES,-GGGG,1,1,CSS,COLES,GGGGG,0,0,CSS
38,HWANG,True,4,LURCH,----Y,5,5,LLM,HEDGE,G--Y-,4,4,LLM,HMONG,G--GG,2,2,CSS,HWANG,GGGGG,0,0,CSS,,,,,,,,,,
39,WRATH,True,3,BASED,-Y---,5,5,LLM,COACH,--G-G,3,3,LLM,WRATH,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
40,MACHO,True,5,GIVEN,-----,5,5,LLM,SQUAW,---Y-,5,5,LLM,CARLA,YG---,4,4,CSS,BATCH,-G-YY,4,3,CSS,MACHO,GGGGG,0,0,CSS,,,,,
41,LOPEZ,True,5,SAMIR,-----,5,5,LLM,HOUGH,-G---,4,4,LLM,NOBLE,-G-YY,4,4,CSS,LOVEY,GG-G-,2,2,CSS,LOPEZ,GGGGG,0,0,CSS,,,,,
42,GOODY,True,4,OXFAM,Y----,5,5,LLM,WORDS,-G-G-,3,3,LLM,GOODE,GGGG-,1,1,CSS,GOODY,GGGGG,0,0,CSS,,,,,,,,,,
