game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,4,BASED,-----,5,5,LLM,QUINN,-----,5,5,LLM,PROTO,G-GGG,1,1,VOI,PHOTO,GGGGG,0,0,VOI,,,,,,,,,,
2,PARTY,True,4,BASED,-G---,4,4,LLM,HAUNT,-G--Y,4,4,LLM,MARTY,-GGGG,1,1,VOI,PARTY,GGGGG,0,0,VOI,,,,,,,,,,
3,TRICK,True,5,BASED,-----,5,5,LLM,MUMMY,-----,5,5,LLM,PHOTO,---Y-,5,5,VOI,FLIRT,--GYY,4,4,VOI,TRICK,GGGGG,0,0,VOI,,,,,
4,DIRTY,True,4,BASED,----Y,5,5,LLM,DITCH,GGY--,3,3,LLM,DIDNT,GG--Y,3,3,VOI,DIRTY,GGGGG,0,0,VOI,,,,,,,,,,
5,USUAL,True,4,WORDS,----Y,5,5,LLM,SLANT,YYY--,5,4,LLM,FALSE,-YYY-,5,5,VOI,USUAL,GGGGG,0,0,VOI,,,,,,,,,,
6,TRULY,True,4,GUESS,-Y---,5,5,LLM,COULD,--GG-,3,3,LLM,PAULY,--GGG,2,2,VOI,TRULY,GGGGG,0,0,VOI,,,,,,,,,,
7,SPENT,True,3,BASED,--YY-,5,5,LLM,GUESS,--GY-,4,4,LLM,SPENT,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
8,PAUSE,True,3,BASED,-GYY-,4,3,LLM,LAPSE,-GYGG,2,2,LLM,PAUSE,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
9,CRAZY,True,5,BASED,-Y---,5,5,LLM,TRAWL,-GG--,3,3,LLM,CRAIG,GGG--,2,2,VOI,CRACK,GGG--,2,2,VOI,CRAZY,GGGGG,0,0,VOI,,,,,
10,BASES,True,4,CAUSE,-G-YY,4,3,LLM,SAVES,YG-GG,2,2,LLM,EASES,-GGGG,1,1,VOI,BASES,GGGGG,0,0,VOI,,,,,,,,,,
11,YOUNG,True,4,BASED,-----,5,5,LLM,FLOUR,--YY-,5,4,LLM,COUNT,-GGG-,2,2,VOI,YOUNG,GGGGG,0,0,VOI,,,,,,,,,,
12,MEANS,True,4,BASED,-YYY-,5,5,LLM,TEAMS,-GGYG,2,2,LLM,MEALS,GGG-G,1,1,VOI,MEANS,GGGGG,0,0,VOI,,,,,,,,,,
13,TRUTH,True,4,BASED,-----,5,5,LLM,CHUNK,-YG--,4,4,LLM,YOUTH,--GGG,2,2,VOI,TRUTH,GGGGG,0,0,VOI,,,,,,,,,,
14,FIRED,True,6,BASED,---GG,3,3,LLM,PIPED,-G-GG,2,2,LLM,RILED,YG-GG,2,2,VOI,MIRED,-GGGG,1,1,VOI,WIRED,-GGGG,1,1,VOI,FIRED,GGGGG,0,0,VOI
15,FOLKS,True,3,BASED,--Y--,5,5,LLM,LICKS,Y--GG,3,3,LLM,FOLKS,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
16,CHILE,True,3,HATED,Y--Y-,5,4,LLM,ROCHE,--YYG,4,4,LLM,CHILE,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
17,BLACK,True,6,GIVEN,-----,5,5,LLM,WORDS,-----,5,5,LLM,PAULA,-Y-Y-,5,5,VOI,FLACK,-GGGG,1,1,VOI,CLACK,-GGGG,1,1,VOI,BLACK,GGGGG,0,0,VOI
18,GRANT,True,5,BASED,-Y---,5,5,LLM,PLANK,--GG-,3,3,LLM,FRANC,-GGG-,2,2,VOI,ORANG,-GGGY,2,2,VOI,GRANT,GGGGG,0,0,VOI,,,,,
19,MEALS,True,4,BASED,-YYY-,5,5,LLM,WEARS,-GG-G,2,2,LLM,MEANS,GGG-G,1,1,VOI,MEALS,GGGGG,0,0,VOI,,,,,,,,,,
20,CREAM,True,4,BASED,-Y-Y-,5,5,LLM,CLEAN,G-GG-,2,2,LLM,CHEAP,G-GG-,2,2,VOI,CREAM,GGGGG,0,0,VOI,,,,,,,,,,
21,AWAKE,True,5,BASED,-Y-Y-,5,4,LLM,TRACE,--G-G,3,3,LLM,NEALE,--G-G,3,3,VOI,IMAGE,--G-G,3,3,VOI,AWAKE,GGGGG,0,0,VOI,,,,,
22,OCCUR,True,4,BASED,-----,5,5,LLM,TRUNK,-YY--,5,5,LLM,CURVY,YYY--,5,4,VOI,OCCUR,GGGGG,0,0,VOI,,,,,,,,,,
23,YEARS,True,6,SAXON,YY---,5,5,LLM,ARIES,YY-YG,4,4,LLM,MEARS,-GGGG,1,1,VOI,WEARS,-GGGG,1,1,VOI,FEARS,-GGGG,1,1,VOI,YEARS,GGGGG,0,0,VOI
24,GRADE,True,4,BASED,-Y-YY,5,4,LLM,DELTA,YY--Y,5,5,LLM,EDGAR,YYYYY,5,5,VOI,GRADE,GGGGG,0,0,VOI,,,,,,,,,,
25,CHILL,True,6,GUESS,-----,5,5,LLM,MOCHA,--YY-,5,5,LLM,DITCH,-Y-YY,5,5,VOI,CHIBI,GGG--,2,2,VOI,CHINK,GGG--,2,2,VOI,CHILL,GGGGG,0,0,VOI
26,FLOOD,True,3,BASED,----G,4,4,LLM,PROUD,--G-G,3,3,LLM,FLOOD,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
27,APPLY,True,5,CRAWL,--Y-Y,5,5,LLM,BALES,-YY--,5,5,LLM,ALONG,GY---,4,4,VOI,APTLY,GG-GG,1,1,VOI,APPLY,GGGGG,0,0,VOI,,,,,
28,SMILE,True,5,BASED,--YY-,5,5,LLM,TENSE,---YG,4,4,LLM,SPICE,G-G-G,2,2,VOI,SLIME,GYGYG,2,2,VOI,SMILE,GGGGG,0,0,VOI,,,,,
29,KNOCK,True,4,GIVEN,----Y,5,5,LLM,PANTY,--Y--,5,5,LLM,DRUNK,---YG,4,4,VOI,KNOCK,GGGGG,0,0,VOI,,,,,,,,,,
30,SLEEP,True,5,GIVEN,---G-,4,4,LLM,TAPER,--YG-,4,4,LLM,POKED,Y--G-,4,4,VOI,SHEEP,G-GGG,1,1,VOI,SLEEP,GGGGG,0,0,VOI,,,,,
31,BRICK,True,4,BASED,G----,4,4,LLM,BLOOM,G----,4,4,LLM,BIRCH,GYYG-,3,3,VOI,BRICK,GGGGG,0,0,VOI,,,,,,,,,,
32,WROTE,True,3,BASED,---Y-,5,5,LLM,WHERE,G--YG,3,3,LLM,WROTE,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
33,RATED,True,6,BASED,-G-GG,2,2,LLM,MATED,-GGGG,1,1,LLM,GATED,-GGGG,1,1,VOI,FATED,-GGGG,1,1,VOI,HATED,-GGGG,1,1,VOI,RATED,GGGGG,0,0,VOI
34,ALERT,True,4,WORDS,--Y--,5,5,LLM,REACT,YYY-G,4,4,LLM,TREAT,-YGYG,3,3,VOI,ALERT,GGGGG,0,0,VOI,,,,,,,,,,
35,CAGES,False,6,GIVEN,Y--G-,4,4,LLM,AGREE,YY-G-,4,3,LLM,WAGED,-GGG-,2,2,VOI,PAGES,-GGGG,1,1,VOI,MAGES,-GGGG,1,1,VOI,SAGES,-GGGG,1,1,VOI
36,TEDDY,True,4,BASED,---YY,5,5,LLM,DELVE,YG---,4,4,LLM,FEDOR,-GG--,3,3,VOI,TEDDY,GGGGG,0,0,VOI,,,,,,,,,,
37,COLES,True,5,LEVEL,Y--G-,4,4,LLM,RULER,--GG-,3,3,LLM,OILED,Y-GG-,3,3,VOI,POLES,-GGGG,1,1,VOI,COLES,GGGGG,0,0,VOI,,,,,
38,HWANG,True,4,CRUST,-----,5,5,LLM,LEONE,---G-,4,4,LLM,JIANG,--GGG,2,2,VOI,HWANG,GGGGG,0,0,VOI,,,,,,,,,,
39,WRATH,True,4,BASED,-Y---,5,5,LLM,TRINA,YG--Y,4,4,LLM,GRAFT,-GG-Y,3,3,VOI,WRATH,GGGGG,0,0,VOI,,,,,,,,,,
40,MACHO,True,2,SHORE,-YY--,5,5,LLM,MACHO,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,
41,LOPEZ,True,4,GIVEN,---G-,4,4,LLM,MAKER,---G-,4,4,LLM,SLEEP,-Y-GY,4,4,VOI,LOPEZ,GGGGG,0,0,VOI,,,,,,,,,,
42,GOODY,True,4,ROWAN,-G---,4,4,LLM,CODES,-GY--,4,4,LLM,DOUGH,YG-Y-,4,4,VOI,GOODY,GGGGG,0,0,VOI,,,,,,,,,,
