game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,4,BEANS,-----,5,5,LLM,RIGHT,---YY,5,5,LLM,YOUTH,-Y-GY,4,4,VOI,PHOTO,GGGGG,0,0,VOI,,,,,,,,,,
2,PARTY,True,5,MAXIM,-G---,4,4,LLM,RANGE,YG---,4,4,LLM,DARLA,-GG--,3,3,VOI,PARTS,GGGG-,1,1,VOI,PARTY,GGGGG,0,0,VOI,,,,,
3,TRICK,True,3,AXIAL,--G--,4,4,LLM,SPIKE,--GY-,4,4,LLM,TRICK,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
4,DIRTY,True,4,SWIFT,--Y-Y,5,4,LLM,TIMMY,YG--G,3,3,LLM,DITTY,GG-GG,1,1,VOI,DIRTY,GGGGG,0,0,VOI,,,,,,,,,,
5,USUAL,True,3,LASTS,YYY--,5,5,LLM,SCALA,Y-YY-,5,3,LLM,USUAL,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
6,TRULY,True,4,SHAPE,-----,5,5,LLM,ROUND,Y-G--,4,4,LLM,TRUCK,GGG--,2,2,VOI,TRULY,GGGGG,0,0,VOI,,,,,,,,,,
7,SPENT,True,4,BEIGE,-Y---,5,5,LLM,CHEWS,--G-Y,4,4,LLM,SMELT,G-G-G,2,2,VOI,SPENT,GGGGG,0,0,VOI,,,,,,,,,,
8,PAUSE,True,5,SHOTS,Y----,5,5,LLM,RISKY,--Y--,5,5,LLM,USUAL,-YGY-,4,4,VOI,CAUSE,-GGGG,1,1,VOI,PAUSE,GGGGG,0,0,VOI,,,,,
9,CRAZY,True,4,HOMES,-----,5,5,LLM,BRAND,-GG--,3,3,LLM,TRACI,-GGY-,3,3,VOI,CRAZY,GGGGG,0,0,VOI,,,,,,,,,,
10,BASES,True,6,WRAPS,--Y-G,4,4,LLM,MAVIS,-G--G,3,3,LLM,TALES,-G-GG,2,2,VOI,CASES,-GGGG,1,1,VOI,EASES,-GGGG,1,1,VOI,BASES,GGGGG,0,0,VOI
11,YOUNG,True,4,VEINS,---G-,4,4,LLM,CHAND,---G-,4,4,LLM,PRONG,--YGG,3,3,VOI,YOUNG,GGGGG,0,0,VOI,,,,,,,,,,
12,MEANS,True,5,BECCA,-G--Y,4,4,LLM,HEADY,-GG--,3,3,LLM,REALS,-GG-G,2,2,VOI,TEAMS,-GGYG,2,2,VOI,MEANS,GGGGG,0,0,VOI,,,,,
13,TRUTH,True,4,PLACE,-----,5,5,LLM,SHIRT,-Y-YY,5,5,LLM,FROTH,-G-GG,2,2,VOI,TRUTH,GGGGG,0,0,VOI,,,,,,,,,,
14,FIRED,True,4,SANTA,-----,5,5,LLM,ROMEO,Y--G-,4,4,LLM,FRIED,GYYGG,2,2,VOI,FIRED,GGGGG,0,0,VOI,,,,,,,,,,
15,FOLKS,True,5,SEVER,Y----,5,5,LLM,BOOTS,-G--G,3,3,LLM,COINS,-G--G,3,3,VOI,FOLDS,GGG-G,1,1,VOI,FOLKS,GGGGG,0,0,VOI,,,,,
16,CHILE,False,6,NAIDU,--G--,4,4,LLM,SHIRT,-GG--,3,3,LLM,CHICK,GGG--,2,2,VOI,CHIMP,GGG--,2,2,VOI,CHILI,GGGG-,1,1,VOI,CHILL,GGGG-,1,1,VOI
17,BLACK,True,6,WINDS,-----,5,5,LLM,MARRY,-Y---,5,5,LLM,LEAPT,Y-G--,4,4,VOI,OCALA,-YGY-,4,4,VOI,FLACK,-GGGG,1,1,VOI,BLACK,GGGGG,0,0,VOI
18,GRANT,True,5,ELLEN,----Y,5,5,LLM,IONIC,--Y--,5,5,LLM,HAUNT,-Y-GG,3,3,VOI,BRANT,-GGGG,1,1,VOI,GRANT,GGGGG,0,0,VOI,,,,,
19,MEALS,True,3,LOGAN,Y--Y-,5,5,LLM,REALM,-GGGY,2,2,LLM,MEALS,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
20,CREAM,True,4,WALES,-Y-Y-,5,5,LLM,BREAK,-GGG-,2,2,LLM,TREAD,-GGG-,2,2,VOI,CREAM,GGGGG,0,0,VOI,,,,,,,,,,
21,AWAKE,True,5,STEAK,--YYY,5,4,LLM,LEAKY,-YGG-,3,3,LLM,QUAKE,--GGG,2,2,VOI,DRAKE,--GGG,2,2,VOI,AWAKE,GGGGG,0,0,VOI,,,,,
22,OCCUR,True,4,QUICK,-Y-Y-,5,5,LLM,CLUES,Y-Y--,5,4,LLM,UCONN,YGY--,4,4,VOI,OCCUR,GGGGG,0,0,VOI,,,,,,,,,,
23,YEARS,True,3,GRIDS,-Y--G,4,4,LLM,TYRES,-YYYG,4,4,LLM,YEARS,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
24,GRADE,True,2,HEIDI,-Y-G-,4,4,LLM,GRADE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,
25,CHILL,True,3,PLIES,-YG--,4,4,LLM,BRILL,--GGG,2,2,LLM,CHILL,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
26,FLOOD,True,4,PRIMO,----Y,5,5,LLM,OCEAN,Y----,5,5,LLM,FOLKS,GYY--,4,4,VOI,FLOOD,GGGGG,0,0,VOI,,,,,,,,,,
27,APPLY,True,5,ROCKY,----G,4,4,LLM,BUDDY,----G,4,4,LLM,PITHY,Y---G,4,4,VOI,SAPPY,-YGYG,3,2,VOI,APPLY,GGGGG,0,0,VOI,,,,,
28,SMILE,True,3,LINGO,YY---,5,5,LLM,SLIDE,GYG-G,2,2,LLM,SMILE,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
29,KNOCK,True,4,HELEN,----Y,5,5,LLM,GAINS,---Y-,5,5,LLM,UNCUT,-GY--,4,4,VOI,KNOCK,GGGGG,0,0,VOI,,,,,,,,,,
30,SLEEP,True,4,TRACK,-----,5,5,LLM,WHOLE,---YY,5,5,LLM,SLEDS,GGG--,2,2,VOI,SLEEP,GGGGG,0,0,VOI,,,,,,,,,,
31,BRICK,True,5,STEAM,-----,5,5,LLM,LYRIC,--YYY,5,3,LLM,CHIRP,Y-GY-,4,4,VOI,FRICK,-GGGG,1,1,VOI,BRICK,GGGGG,0,0,VOI,,,,,
32,WROTE,True,5,LABOR,---YY,5,5,LLM,ROQUE,YY--G,4,3,LLM,ERODE,-GG-G,2,2,VOI,CROWE,-GGYG,2,2,VOI,WROTE,GGGGG,0,0,VOI,,,,,
33,RATED,True,4,DYING,Y----,5,5,LLM,BLOOD,----G,4,4,LLM,TREAD,YYYYG,4,4,VOI,RATED,GGGGG,0,0,VOI,,,,,,,,,,
34,ALERT,True,3,HOLES,--YY-,5,4,LLM,LEAPT,YYY-G,4,3,LLM,ALERT,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
35,CAGES,True,3,GRASP,Y-YY-,5,5,LLM,SAGAS,-GG-G,2,2,LLM,CAGES,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
36,TEDDY,True,3,BARED,---YY,5,5,LLM,DECOY,YG--G,3,3,LLM,TEDDY,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
37,COLES,True,3,CAMEL,G--GY,3,3,LLM,CELEB,G-GG-,2,2,LLM,COLES,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
38,HWANG,True,5,HOTLY,G----,4,4,LLM,HARPS,GY---,4,4,LLM,HEAVE,G-G--,3,3,VOI,HUANG,G-GGG,1,1,VOI,HWANG,GGGGG,0,0,VOI,,,,,
39,WRATH,True,3,MEANS,--G--,4,4,LLM,CHART,-YGYY,4,4,LLM,WRATH,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
40,MACHO,True,4,BARTH,-G--Y,4,4,LLM,MAHAL,GGY--,3,3,LLM,MACHU,GGGG-,1,1,VOI,MACHO,GGGGG,0,0,VOI,,,,,,,,,,
41,LOPEZ,True,4,SWOON,--Y--,5,5,LLM,ORDER,Y--G-,4,4,LLM,PALEO,Y-YGY,4,4,VOI,LOPEZ,GGGGG,0,0,VOI,,,,,,,,,,
42,GOODY,True,4,BINDS,---G-,4,4,LLM,PRADO,---GY,4,4,LLM,GOODE,GGGG-,1,1,VOI,GOODY,GGGGG,0,0,VOI,,,,,,,,,,
43,BROTH,True,5,GEIST,----Y,5,5,LLM,MATCH,--Y-G,4,4,LLM,WORTH,-YYGG,3,3,VOI,FROTH,-GGGG,1,1,VOI,BROTH,GGGGG,0,0,VOI,,,,,
44,VERDE,True,6,POWER,---YY,5,5,LLM,MERCE,-GG-G,2,2,LLM,SERVE,-GGYG,2,2,VOI,VERNE,GGG-G,1,1,VOI,VERGE,GGG-G,1,1,VOI,VERDE,GGGGG,0,0,VOI
45,TAMED,True,4,PARAS,-G---,4,4,LLM,HATED,-GYGG,2,2,LLM,TAXED,GG-GG,1,1,VOI,TAMED,GGGGG,0,0,VOI,,,,,,,,,,
46,LEAFS,True,5,CHANG,--G--,4,4,LLM,TRAIT,--G--,4,4,LLM,MEALS,-GGYG,2,2,VOI,LEAPS,GGG-G,1,1,VOI,LEAFS,GGGGG,0,0,VOI,,,,,
47,YACHT,True,3,CARPE,YG---,4,4,LLM,TACKS,YGG--,3,3,LLM,YACHT,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
48,MESSY,True,4,DIETS,--Y-Y,5,4,LLM,SHAPE,Y---Y,5,5,LLM,ROSEN,--GY-,4,4,VOI,MESSY,GGGGG,0,0,VOI,,,,,,,,,,
49,RYDER,True,3,GENUS,-Y---,5,5,LLM,PAYED,--YGY,4,4,LLM,RYDER,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
50,MOTIF,True,5,CARVE,-----,5,5,LLM,SHIPS,--Y--,5,5,LLM,DITTY,-YG--,4,4,VOI,UNTIL,--GG-,3,3,VOI,MOTIF,GGGGG,0,0,VOI,,,,,
51,RAVEN,True,5,ETHOS,Y----,5,5,LLM,BEING,-Y-Y-,5,5,LLM,LUMEN,---GG,3,3,VOI,KAREN,-GYGG,2,2,VOI,RAVEN,GGGGG,0,0,VOI,,,,,
52,REICH,True,5,MAPLE,----Y,5,5,LLM,SEEDS,-G---,4,4,LLM,KEITH,-GG-G,2,2,VOI,WEIGH,-GG-G,2,2,VOI,REICH,GGGGG,0,0,VOI,,,,,
53,ICONS,True,5,MADAM,-----,5,5,LLM,FOURS,-Y--G,4,4,LLM,SPOTS,--G-G,3,3,VOI,CLOGS,Y-G-G,3,3,VOI,ICONS,GGGGG,0,0,VOI,,,,,
54,SILKY,True,3,BALES,--G-Y,4,4,LLM,SILLY,GGG-G,1,1,LLM,SILKY,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
