game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,3,KEEPS,---Y-,5,5,LLM,PARTY,G--G-,3,3,LLM,PHOTO,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
2,PARTY,True,4,CARER,-GG--,3,3,LLM,TAROT,YGG--,3,3,LLM,PARTS,GGGG-,1,1,LLM,PARTY,GGGGG,0,0,CSS,,,,,,,,,,
3,TRICK,True,4,ROGER,Y----,5,5,LLM,CURRY,Y-Y--,5,5,LLM,TRACK,GG-GG,1,1,LLM,TRICK,GGGGG,0,0,CSS,,,,,,,,,,
4,DIRTY,True,5,WEIBO,--Y--,5,5,LLM,KINGS,-G---,4,4,LLM,VILLA,-G---,4,4,LLM,FIRTH,-GGG-,2,2,CSS,DIRTY,GGGGG,0,0,CSS,,,,,
5,USUAL,True,4,WEIGH,-----,5,5,LLM,FORTS,----Y,5,5,LLM,SALMA,YYY--,5,4,LLM,USUAL,GGGGG,0,0,CSS,,,,,,,,,,
6,TRULY,True,4,ASTON,--Y--,5,5,LLM,WHITE,---Y-,5,5,LLM,TUBBY,GY--G,3,3,LLM,TRULY,GGGGG,0,0,CSS,,,,,,,,,,
7,SPENT,True,5,TWIST,---YG,4,4,LLM,SCOUT,G---G,3,3,LLM,SHEET,G-G-G,2,2,LLM,SPELT,GGG-G,1,1,CSS,SPENT,GGGGG,0,0,CSS,,,,,
8,PAUSE,True,4,SPINA,YY--Y,5,5,LLM,CLASP,--YGY,4,4,LLM,PARSE,GG-GG,1,1,LLM,PAUSE,GGGGG,0,0,CSS,,,,,,,,,,
9,CRAZY,True,4,RESTS,Y----,5,5,LLM,WORRY,--Y-G,4,4,LLM,GRIMY,-G--G,3,3,LLM,CRAZY,GGGGG,0,0,CSS,,,,,,,,,,
10,BASES,True,6,SLING,Y----,5,5,LLM,HEARS,-YY-G,4,4,LLM,CAKES,-G-GG,2,2,LLM,MATES,-G-GG,2,2,CSS,WAVES,-G-GG,2,2,CSS,BASES,GGGGG,0,0,CSS
11,YOUNG,True,5,METER,-----,5,5,LLM,IONIC,-GY--,4,4,LLM,LOGAN,-GY-Y,4,4,LLM,JOONG,-G-GG,2,2,CSS,YOUNG,GGGGG,0,0,CSS,,,,,
12,MEANS,True,5,VIOLA,----Y,5,5,LLM,WAGER,-Y-Y-,5,5,LLM,STEAK,Y-YY-,5,4,LLM,BEADS,-GG-G,2,2,CSS,MEANS,GGGGG,0,0,CSS,,,,,
13,TRUTH,True,4,USAIN,Y----,5,5,LLM,CHUMP,-YG--,4,4,LLM,TOUGH,G-G-G,2,2,LLM,TRUTH,GGGGG,0,0,CSS,,,,,,,,,,
14,FIRED,True,5,SLING,--Y--,5,5,LLM,COMIC,---Y-,5,5,LLM,WITTY,-G---,4,4,LLM,VIPER,-G-GY,3,3,CSS,FIRED,GGGGG,0,0,CSS,,,,,
