game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,4,CAUSE,-----,5,5,CSS,TRUST,Y----,5,5,LLM,MONTH,-Y-GY,4,4,LLM,PHOTO,GGGGG,0,0,LLM,,,,,,,,,,
2,PARTY,True,6,AIRES,Y-G--,4,4,CSS,BURQA,--G-Y,4,4,LLM,HARAM,-GG--,3,3,LLM,CARGO,-GG--,3,3,LLM,PARRY,GGG-G,1,1,LLM,PARTY,GGGGG,0,0,LLM
3,TRICK,True,4,AIRES,-YY--,5,5,CSS,PRINT,-GG-Y,3,3,LLM,FRITZ,-GGY-,3,3,LLM,TRICK,GGGGG,0,0,LLM,,,,,,,,,,
4,DIRTY,True,3,SAREE,--G--,4,4,CSS,THROB,Y-G--,4,4,LLM,DIRTY,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
5,USUAL,True,3,ELIAS,-Y-GY,4,4,CSS,SALAD,Y-YG-,4,4,LLM,USUAL,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
6,TRULY,True,5,LIENS,Y----,5,5,CSS,CLUMP,-YG--,4,4,LLM,ADULT,--GGY,3,3,LLM,TRUST,GGG--,2,2,LLM,TRULY,GGGGG,0,0,LLM,,,,,
7,SPENT,True,3,CATES,--YYY,5,5,CSS,STONE,GY-GY,3,3,LLM,SPENT,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
8,PAUSE,True,6,NASIR,-GY--,4,4,CSS,SADLY,YG---,4,4,LLM,BACKS,-G--Y,4,4,LLM,HAUSA,-GGG-,2,2,LLM,FAUST,-GGG-,2,2,LLM,PAUSE,GGGGG,0,0,LLM
9,CRAZY,True,5,CONES,G----,4,4,CSS,CRUMP,GG---,3,3,LLM,CRACK,GGG--,2,2,LLM,CRAWL,GGG--,2,2,LLM,CRAZY,GGGGG,0,0,LLM,,,,,
10,BASES,True,5,TESLA,-YG-Y,4,4,CSS,CASED,-GGG-,2,2,LLM,VASES,-GGGG,1,1,LLM,EASES,-GGGG,1,1,LLM,BASES,GGGGG,0,0,LLM,,,,,
11,YOUNG,True,3,PACES,-----,5,5,CSS,GROUT,Y-YY-,5,4,LLM,YOUNG,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
12,MEANS,True,3,SARIN,YY--Y,5,5,CSS,LEANS,-GGGG,1,1,LLM,MEANS,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
13,TRUTH,True,4,SLATE,---G-,4,4,CSS,MOTTO,--YG-,4,4,LLM,BRITT,-G-GY,3,3,LLM,TRUTH,GGGGG,0,0,LLM,,,,,,,,,,
14,FIRED,True,5,TIERS,-GYY-,4,4,CSS,RIVER,YG-G-,3,3,LLM,HIRED,-GGGG,1,1,LLM,WIRED,-GGGG,1,1,LLM,FIRED,GGGGG,0,0,LLM,,,,,
15,FOLKS,True,6,YEARS,----G,4,4,CSS,PONDS,-G--G,3,3,LLM,HOBBS,-G--G,3,3,LLM,SOCKS,-G-GG,2,2,LLM,LOOKS,YG-GG,2,2,LLM,FOLKS,GGGGG,0,0,LLM
16,CHILE,True,4,ROSIE,---YG,4,4,CSS,MIGLE,-Y-GG,3,3,LLM,EXILE,--GGG,2,2,LLM,CHILE,GGGGG,0,0,LLM,,,,,,,,,,
17,BLACK,True,6,ARIES,Y----,5,5,CSS,GUESS,-----,5,5,LLM,MADDY,-Y---,5,5,LLM,BLATT,GGG--,2,2,LLM,BLANK,GGG-G,1,1,LLM,BLACK,GGGGG,0,0,LLM
18,GRANT,True,3,SHARE,--GY-,4,4,CSS,GRAIL,GGG--,2,2,LLM,GRANT,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
19,MEALS,True,2,SALEM,YYYYY,5,4,CSS,MEALS,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,
20,CREAM,True,4,HARES,-YYY-,5,4,CSS,WEARY,-YYY-,5,4,LLM,CLEAR,G-GGY,2,2,LLM,CREAM,GGGGG,0,0,LLM,,,,,,,,,,
21,AWAKE,True,4,NADER,-Y-Y-,5,4,CSS,STEAK,--YYY,5,4,LLM,BLAKE,--GGG,2,2,LLM,AWAKE,GGGGG,0,0,LLM,,,,,,,,,,
22,OCCUR,True,4,SARIN,--Y--,5,5,CSS,FRODO,-YY--,5,5,LLM,COVER,YY--G,4,4,LLM,OCCUR,GGGGG,0,0,LLM,,,,,,,,,,
23,YEARS,True,6,ELIAS,Y--YG,4,4,CSS,BEAKS,-GG-G,2,2,LLM,SEATS,-GG-G,2,2,LLM,PEARS,-GGGG,1,1,LLM,HEARS,-GGGG,1,1,LLM,YEARS,GGGGG,0,0,LLM
24,GRADE,True,2,RAISE,YY--G,4,3,CSS,GRADE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,
25,CHILL,True,5,HEATS,Y----,5,5,CSS,POUCH,---YY,5,5,LLM,CHINK,GGG--,2,2,LLM,CHILD,GGGG-,1,1,LLM,CHILL,GGGGG,0,0,LLM,,,,,
26,FLOOD,True,5,LANES,Y----,5,5,CSS,CLOUT,-GG--,3,3,LLM,GLOOM,-GGG-,2,2,LLM,FLOOR,GGGG-,1,1,LLM,FLOOD,GGGGG,0,0,LLM,,,,,
27,APPLY,True,6,BORES,-----,5,5,CSS,VIVID,-----,5,5,LLM,CHANT,--Y--,5,5,LLM,THIRD,-----,5,5,LLM,MAGMA,-Y---,5,5,LLM,APPLY,GGGGG,0,0,LLM
28,SMILE,True,4,SABER,G--Y-,4,4,CSS,SEEMS,GY-Y-,4,4,LLM,SMOKE,GG--G,2,2,LLM,SMILE,GGGGG,0,0,LLM,,,,,,,,,,
29,KNOCK,True,4,NEARS,Y----,5,5,CSS,GLINT,---Y-,5,5,LLM,MUNCH,--YG-,4,4,LLM,KNOCK,GGGGG,0,0,LLM,,,,,,,,,,
30,SLEEP,True,5,RINSE,---YY,5,5,CSS,GATES,---GY,4,4,LLM,SEWED,GY-G-,3,3,LLM,SLEEK,GGGG-,1,1,LLM,SLEEP,GGGGG,0,0,LLM,,,,,
31,BRICK,True,3,SENOR,----Y,5,5,CSS,BARRA,G-Y--,4,4,LLM,BRICK,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
32,WROTE,True,4,EARNS,Y-Y--,5,5,CSS,LOWER,-YYYY,5,4,LLM,CROWE,-GGYG,2,2,LLM,WROTE,GGGGG,0,0,LLM,,,,,,,,,,
33,RATED,True,3,RAINS,GG---,3,3,CSS,WORDS,--YY-,5,5,LLM,RATED,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
34,ALERT,True,4,DOMES,---Y-,5,5,CSS,HEAVY,-YY--,5,5,LLM,LANCE,YY--Y,5,5,LLM,ALERT,GGGGG,0,0,LLM,,,,,,,,,,
35,CAGES,True,3,HALES,-G-GG,2,2,CSS,SAVES,-G-GG,2,2,LLM,CAGES,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
36,TEDDY,False,2,MEARS,-G---,4,4,CSS,CEDED,-GG-Y,3,3,LLM,,,,,,,,,,,,,,,,,,,,
37,COLES,True,3,RACES,--YGG,3,3,CSS,CLUES,GY-GG,2,2,LLM,COLES,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
38,HWANG,True,5,ARTIS,Y----,5,5,CSS,NEALE,Y-G--,4,4,LLM,KNAPP,-YG--,4,4,LLM,HUANG,G-GGG,1,1,LLM,HWANG,GGGGG,0,0,LLM,,,,,
39,WRATH,True,4,RESIN,Y----,5,5,CSS,AWARD,-YGY-,4,4,LLM,BRAWL,-GGY-,3,3,LLM,WRATH,GGGGG,0,0,LLM,,,,,,,,,,
40,MACHO,True,5,SALON,-G-Y-,4,4,CSS,CARGO,YG--G,3,3,LLM,FACTO,-GG-G,2,2,LLM,MACAO,GGG-G,1,1,LLM,MACHO,GGGGG,0,0,LLM,,,,,
41,LOPEZ,True,5,LINES,G--G-,3,3,CSS,LACEY,G--G-,3,3,LLM,LEVER,G--G-,3,3,LLM,LOBED,GG-G-,2,2,LLM,LOPEZ,GGGGG,0,0,LLM,,,,,
42,GOODY,True,4,RHINE,-----,5,5,CSS,SLATS,-----,5,5,LLM,POGGY,-GY-G,3,3,LLM,GOODY,GGGGG,0,0,LLM,,,,,,,,,,
43,BROTH,True,5,OAKES,Y----,5,5,CSS,MORIN,-YY--,5,5,LLM,TROUT,YGG--,3,3,LLM,FROTH,-GGGG,1,1,LLM,BROTH,GGGGG,0,0,LLM,,,,,
44,VERDE,True,6,RAILS,Y----,5,5,CSS,CUTER,---YY,5,5,LLM,FERRY,-GG--,3,3,LLM,VERGE,GGG-G,1,1,LLM,VERVE,GGG-G,1,1,LLM,VERDE,GGGGG,0,0,LLM
45,TAMED,True,5,ELIAS,Y--Y-,5,5,CSS,CACED,-G-GG,2,2,LLM,CLUES,---G-,4,4,LLM,BAKED,-G-GG,2,2,LLM,TAMED,GGGGG,0,0,LLM,,,,,
46,LEAFS,False,6,MATES,-Y-YG,4,4,CSS,SEALS,-GGYG,2,2,LLM,LEAPS,GGG-G,1,1,LLM,LEADS,GGG-G,1,1,LLM,LEANS,GGG-G,1,1,LLM,LEAKS,GGG-G,1,1,LLM
47,YACHT,True,4,REALS,--Y--,5,5,CSS,TAMPA,YG---,4,4,LLM,FAITH,-G-YY,4,4,LLM,YACHT,GGGGG,0,0,LLM,,,,,,,,,,
48,MESSY,True,4,LOADS,----Y,5,5,CSS,SHIRT,Y----,5,5,LLM,ESSEX,YYG--,4,3,LLM,MESSY,GGGGG,0,0,LLM,,,,,,,,,,
49,RYDER,True,3,EARLS,Y-Y--,5,5,CSS,DWYER,Y-YGG,3,3,LLM,RYDER,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
50,MOTIF,True,4,SIENA,-Y---,5,5,CSS,BRICK,--Y--,5,5,LLM,JULIO,---GY,4,4,LLM,MOTIF,GGGGG,0,0,LLM,,,,,,,,,,
51,RAVEN,True,6,BATES,-G-G-,3,3,CSS,HAZEL,-G-G-,3,3,LLM,CAMEO,-G-G-,3,3,LLM,PAVED,-GGG-,2,2,LLM,WAVER,-GGGY,2,2,LLM,RAVEN,GGGGG,0,0,LLM
52,REICH,True,5,MARES,--YY-,5,5,CSS,FROZE,-Y--Y,5,5,LLM,REEDY,GG---,3,3,LLM,REIGN,GGG--,2,2,LLM,REICH,GGGGG,0,0,LLM,,,,,
53,ICONS,True,3,SIENA,YY-G-,4,4,CSS,JOINS,-YYGG,3,3,LLM,ICONS,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
54,SILKY,True,4,DOERS,----Y,5,5,CSS,SHIFT,G-Y--,4,4,LLM,SLYLY,GY--G,3,3,LLM,SILKY,GGGGG,0,0,LLM,,,,,,,,,,
55,CARVE,True,4,TRANS,-YY--,5,5,CSS,PARMA,-GG--,3,3,LLM,FARCE,-GGYG,2,2,LLM,CARVE,GGGGG,0,0,LLM,,,,,,,,,,
56,LAGER,True,2,DESAI,-Y-Y-,5,5,CSS,LAGER,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,
57,JERKS,True,6,EARLS,Y-G-G,3,3,CSS,WIRES,--GYG,3,3,LLM,SERBS,-GG-G,2,2,LLM,GERMS,-GG-G,2,2,LLM,HERDS,-GG-G,2,2,LLM,JERKS,GGGGG,0,0,LLM
