game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,4,AIRES,-----,5,5,CSS,BLOCH,--G-Y,4,4,CSS,THONG,YGG--,3,3,LLM,PHOTO,GGGGG,0,0,LLM,,,,,,,,,,
2,PARTY,True,3,NOISE,-----,5,5,CSS,CARTA,-GGG-,2,2,CSS,PARTY,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
3,TRICK,True,3,DARES,--Y--,5,5,CSS,TRYIN,GG-Y-,3,3,CSS,TRICK,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
4,DIRTY,True,4,PORES,--G--,4,4,CSS,MARIA,--GY-,4,4,CSS,BIRCH,-GG--,3,3,LLM,DIRTY,GGGGG,0,0,LLM,,,,,,,,,,
5,USUAL,True,3,LEAPS,Y-Y-Y,5,5,CSS,SALAM,Y-YG-,4,4,CSS,USUAL,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
6,TRULY,True,5,AIRED,--Y--,5,5,CSS,COORS,---Y-,5,5,CSS,TRUNK,GGG--,2,2,LLM,TRUTH,GGG--,2,2,LLM,TRULY,GGGGG,0,0,LLM,,,,,
7,SPENT,True,3,TONES,Y-YYY,5,5,CSS,STERN,GYG-Y,3,3,CSS,SPENT,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
8,PAUSE,True,4,READS,-YY-Y,5,4,CSS,SALEH,YG-Y-,4,4,CSS,TASTE,-GY-G,3,3,LLM,PAUSE,GGGGG,0,0,LLM,,,,,,,,,,
9,CRAZY,False,6,CRIES,GG---,3,3,CSS,CRANK,GGG--,2,2,CSS,CRABB,GGG--,2,2,LLM,CRAMP,GGG--,2,2,LLM,CRAWL,GGG--,2,2,LLM,CRAFT,GGG--,2,2,LLM
10,BASES,False,6,DARIO,-G---,4,4,CSS,LANEY,-G-G-,3,3,CSS,WAKES,-G-GG,2,2,LLM,GASES,-GGGG,1,1,LLM,EASES,-GGGG,1,1,LLM,CASES,-GGGG,1,1,LLM
11,YOUNG,True,4,TAHIR,-----,5,5,CSS,OLSEN,Y---Y,5,5,CSS,MOUND,-GGG-,2,2,LLM,YOUNG,GGGGG,0,0,LLM,,,,,,,,,,
12,MEANS,True,4,READY,-GG--,3,3,CSS,LEAST,-GGY-,3,3,CSS,SEAMS,-GGYG,2,2,LLM,MEANS,GGGGG,0,0,LLM,,,,,,,,,,
13,TRUTH,True,3,STARE,-Y-Y-,5,5,CSS,TROUT,GG-YY,3,2,CSS,TRUTH,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
14,FIRED,True,3,TRIAD,-YY-G,4,4,CSS,MIRED,-GGGG,1,1,CSS,FIRED,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
15,FOLKS,True,6,CORES,-G--G,3,3,CSS,TOOLS,-G-YG,3,3,CSS,LOADS,YG--G,3,3,LLM,SOLIS,-GG-G,2,2,LLM,BOLUS,-GG-G,2,2,LLM,FOLKS,GGGGG,0,0,LLM
16,CHILE,True,5,AISLE,-Y-GG,3,3,CSS,EMILE,--GGG,2,2,CSS,GUILE,--GGG,2,2,LLM,WHILE,-GGGG,1,1,LLM,CHILE,GGGGG,0,0,LLM,,,,,
17,BLACK,True,4,DOERS,-----,5,5,CSS,ALINA,YG---,4,4,CSS,CLACK,-GGGG,1,1,LLM,BLACK,GGGGG,0,0,LLM,,,,,,,,,,
18,GRANT,True,4,LURES,--Y--,5,5,CSS,TRAIN,YGG-Y,3,3,CSS,BRANT,-GGGG,1,1,LLM,GRANT,GGGGG,0,0,LLM,,,,,,,,,,
19,MEALS,True,2,SCARE,Y-G-Y,4,4,CSS,MEALS,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,
20,CREAM,True,3,DARES,-YYY-,5,4,CSS,TRACE,-GYYY,4,4,CSS,CREAM,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
21,AWAKE,True,4,HARES,-Y-Y-,5,4,CSS,NEALE,--G-G,3,3,CSS,QUAKE,--GGG,2,2,LLM,AWAKE,GGGGG,0,0,LLM,,,,,,,,,,
22,OCCUR,True,4,TRANS,-Y---,5,5,CSS,MOREY,-YY--,5,5,CSS,LIBOR,---YG,4,4,LLM,OCCUR,GGGGG,0,0,LLM,,,,,,,,,,
23,YEARS,False,6,AIRES,Y-YYG,4,4,CSS,REAMS,YGG-G,2,2,CSS,FEARS,-GGGG,1,1,LLM,HEARS,-GGGG,1,1,LLM,BEARS,-GGGG,1,1,LLM,SEARS,-GGGG,1,1,LLM
24,GRADE,True,3,BALES,-Y-Y-,5,4,CSS,TRADE,-GGGG,1,1,CSS,GRADE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
25,CHILL,True,3,MAINE,--G--,4,4,CSS,CRIST,G-G--,3,3,CSS,CHILL,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
26,FLOOD,True,4,PARIS,-----,5,5,CSS,OLNEY,YG---,4,4,CSS,BLOOD,-GGGG,1,1,LLM,FLOOD,GGGGG,0,0,LLM,,,,,,,,,,
27,APPLY,True,5,TAILS,-Y-G-,4,4,CSS,HELLA,---GY,4,4,CSS,ANGLO,G--G-,3,3,LLM,AMPLY,G-GGG,1,1,LLM,APPLY,GGGGG,0,0,LLM,,,,,
28,SMILE,True,4,KOREA,---Y-,5,5,CSS,LIEGE,YY--G,4,4,CSS,CHILE,--GGG,2,2,LLM,SMILE,GGGGG,0,0,LLM,,,,,,,,,,
29,KNOCK,True,3,NEARS,Y----,5,5,CSS,TONIC,-YY-Y,5,4,CSS,KNOCK,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
30,SLEEP,True,3,RATES,---GY,4,4,CSS,SPEED,GYGG-,2,2,CSS,SLEEP,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
31,BRICK,True,4,LONER,----Y,5,5,CSS,CARTS,Y-Y--,5,5,CSS,FRICK,-GGGG,1,1,LLM,BRICK,GGGGG,0,0,LLM,,,,,,,,,,
32,WROTE,True,4,DANES,---Y-,5,5,CSS,LOIRE,-Y-YG,4,4,CSS,TROVE,YGG-G,2,2,LLM,WROTE,GGGGG,0,0,LLM,,,,,,,,,,
33,RATED,False,6,SALON,-G---,4,4,CSS,MARIE,-GY-Y,4,4,CSS,WAGER,-G-GY,3,3,LLM,RAKED,GG-GG,1,1,LLM,RACED,GG-GG,1,1,LLM,RAZED,GG-GG,1,1,LLM
34,ALERT,True,5,SALEH,-YYY-,5,3,CSS,NEALE,-YYY-,5,4,CSS,EQUAL,Y--YY,5,5,LLM,ALEXA,GGG--,2,2,LLM,ALERT,GGGGG,0,0,LLM,,,,,
35,CAGES,False,6,LIARS,--Y-G,4,4,CSS,MATES,-G-GG,2,2,CSS,BASES,-G-GG,2,2,LLM,WAKES,-G-GG,2,2,LLM,CAPES,GG-GG,1,1,LLM,CAVES,GG-GG,1,1,LLM
36,TEDDY,True,4,SNARE,----Y,5,5,CSS,TELCO,GG---,3,3,CSS,TEMPT,GG---,3,3,LLM,TEDDY,GGGGG,0,0,LLM,,,,,,,,,,
37,COLES,True,2,CARNE,G---Y,4,4,CSS,COLES,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,
38,HWANG,True,5,DATES,-Y---,5,5,CSS,ALAIN,--G-Y,4,4,CSS,CRANK,--GG-,3,3,LLM,HUANG,G-GGG,1,1,LLM,HWANG,GGGGG,0,0,LLM,,,,,
39,WRATH,True,3,TALES,YY---,5,5,CSS,PRATT,-GGG-,2,2,CSS,WRATH,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
40,MACHO,True,4,LOPES,-Y---,5,5,CSS,RAMON,-GYY-,4,4,CSS,MACAO,GGG-G,1,1,LLM,MACHO,GGGGG,0,0,LLM,,,,,,,,,,
41,LOPEZ,True,3,PARIS,Y----,5,5,CSS,DOLPH,-GYY-,4,4,CSS,LOPEZ,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
42,GOODY,True,5,BARNS,-----,5,5,CSS,TELCO,----Y,5,5,CSS,MOODY,-GGGG,1,1,LLM,WOODY,-GGGG,1,1,LLM,GOODY,GGGGG,0,0,LLM,,,,,
43,BROTH,True,5,ARISE,-G---,4,4,CSS,GROOT,-GG-Y,3,3,CSS,TROLL,YGG--,3,3,LLM,FROTH,-GGGG,1,1,LLM,BROTH,GGGGG,0,0,LLM,,,,,
44,VERDE,True,5,PALER,---YY,5,5,CSS,TERSE,-GG-G,2,2,CSS,VERGE,GGG-G,1,1,LLM,VERVE,GGG-G,1,1,LLM,VERDE,GGGGG,0,0,LLM,,,,,
45,TAMED,True,3,SABRE,-G--Y,4,4,CSS,LADEN,-GYG-,3,3,CSS,TAMED,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
46,LEAFS,True,6,LIARS,G-G-G,2,2,CSS,LEANS,GGG-G,1,1,CSS,LEAPS,GGG-G,1,1,LLM,LEAKS,GGG-G,1,1,LLM,LEADS,GGG-G,1,1,LLM,LEAFS,GGGGG,0,0,LLM
47,YACHT,True,4,TRINA,Y---Y,5,5,CSS,SLATE,--YY-,5,5,CSS,HATCH,YGYY-,4,3,LLM,YACHT,GGGGG,0,0,LLM,,,,,,,,,,
48,MESSY,True,3,CARES,---YY,5,5,CSS,SEINE,YG---,4,4,CSS,MESSY,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
49,RYDER,True,2,RIDES,G-GG-,2,2,CSS,RYDER,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,
50,MOTIF,True,4,BALES,-----,5,5,CSS,COUNT,-G--Y,4,4,CSS,FORTY,YG-Y-,4,4,LLM,MOTIF,GGGGG,0,0,LLM,,,,,,,,,,
51,RAVEN,True,5,LEASH,-YY--,5,5,CSS,CARED,-GYG-,3,3,CSS,TAPER,-G-GY,3,3,LLM,RAMEN,GG-GG,1,1,LLM,RAVEN,GGGGG,0,0,LLM,,,,,
52,REICH,True,4,MINES,-Y-Y-,5,5,CSS,DELIA,-G-Y-,4,4,CSS,KEITH,-GG-G,2,2,LLM,REICH,GGGGG,0,0,LLM,,,,,,,,,,
53,ICONS,True,3,LEANS,---GG,3,3,CSS,IRONS,G-GGG,1,1,CSS,ICONS,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
54,SILKY,True,4,NEARS,----Y,5,5,CSS,SPILT,G-YY-,4,3,CSS,SYBIL,GY-YY,4,4,LLM,SILKY,GGGGG,0,0,LLM,,,,,,,,,,
55,CARVE,False,6,RAINS,YG---,4,4,CSS,MARGE,-GG-G,2,2,CSS,PARKE,-GG-G,2,2,LLM,TARTE,-GG-G,2,2,LLM,LARUE,-GG-G,2,2,LLM,FARCE,-GGYG,2,2,LLM
56,LAGER,False,6,RAINS,YG---,4,4,CSS,CARTE,-GY-Y,4,4,CSS,BAKER,-G-GG,2,2,LLM,FADER,-G-GG,2,2,LLM,GAMER,YG-GG,2,2,LLM,EAGER,-GGGG,1,1,LLM
