game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,4,PLATE,G--G-,3,3,CSS,POTTS,GY-G-,3,3,CSS,PROTO,G-GGG,1,1,LLM,PHOTO,GGGGG,0,0,LLM,,,,,,,,,,
2,PARTY,True,5,SIREN,--G--,4,4,CSS,MORAY,--GYG,3,3,CSS,HARDY,-GG-G,2,2,LLM,PARRY,GGG-G,1,1,LLM,PARTY,GGGGG,0,0,LLM,,,,,
3,TRICK,True,4,SCARE,-Y-Y-,5,5,CSS,CORKY,Y-YY-,5,5,CSS,BRICK,-GGGG,1,1,LLM,TRICK,GGGGG,0,0,LLM,,,,,,,,,,
4,DIRTY,True,4,DANES,G----,4,4,CSS,DILDO,GG---,3,3,CSS,DITTY,GG-GG,1,1,LLM,DIRTY,GGGGG,0,0,LLM,,,,,,,,,,
5,USUAL,True,3,NIELS,---YY,5,5,CSS,SHOAL,Y--GG,3,3,CSS,USUAL,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
6,TRULY,True,5,MAIER,----Y,5,5,CSS,TORSO,G-Y--,4,4,CSS,TRUNK,GGG--,2,2,LLM,TRUTH,GGG--,2,2,LLM,TRULY,GGGGG,0,0,LLM,,,,,
7,SPENT,True,5,ARISE,---YY,5,5,CSS,NESTS,YYYY-,5,4,CSS,STENT,G-GGG,1,1,LLM,SCENT,G-GGG,1,1,LLM,SPENT,GGGGG,0,0,LLM,,,,,
8,PAUSE,True,3,RATES,-G-YY,4,4,CSS,SALVE,YG--G,3,3,CSS,PAUSE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
9,CRAZY,True,6,IRENA,-G--Y,4,4,CSS,BRAGS,-GG--,3,3,CSS,CRAFT,GGG--,2,2,LLM,CRAMP,GGG--,2,2,LLM,CRACK,GGG--,2,2,LLM,CRAZY,GGGGG,0,0,LLM
10,BASES,True,4,SEARS,YYY-G,4,4,CSS,EASES,-GGGG,1,1,CSS,CASES,-GGGG,1,1,LLM,BASES,GGGGG,0,0,LLM,,,,,,,,,,
11,YOUNG,True,4,TIERS,-----,5,5,CSS,MAHON,---YY,5,5,CSS,BOUND,-GGG-,2,2,LLM,YOUNG,GGGGG,0,0,LLM,,,,,,,,,,
12,MEANS,True,2,DENIS,-GY-G,3,3,CSS,MEANS,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,
13,TRUTH,True,4,TEARY,G--Y-,4,4,CSS,TORUS,G-YY-,4,3,CSS,TRUNK,GGG--,2,2,LLM,TRUTH,GGGGG,0,0,LLM,,,,,,,,,,
14,FIRED,True,4,REALS,YY---,5,5,CSS,CRETE,-YY--,5,4,CSS,FIXER,GG-GY,2,2,LLM,FIRED,GGGGG,0,0,LLM,,,,,,,,,,
15,FOLKS,True,5,ROSIE,-GY--,4,4,CSS,LOONS,YG--G,3,3,CSS,FOALS,GG-YG,2,2,LLM,FOLDS,GGG-G,1,1,LLM,FOLKS,GGGGG,0,0,LLM,,,,,
16,CHILE,True,2,REALS,-Y-G-,4,4,CSS,CHILE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,
17,BLACK,True,4,LANES,YY---,5,4,CSS,ALTAR,YG---,4,4,CSS,CLAMP,YGG--,3,3,LLM,BLACK,GGGGG,0,0,LLM,,,,,,,,,,
18,GRANT,True,4,RAISE,YY---,5,4,CSS,CROAT,-G-YG,3,3,CSS,GRAFT,GGG-G,1,1,LLM,GRANT,GGGGG,0,0,LLM,,,,,,,,,,
19,MEALS,True,2,RAGES,-Y-YG,4,4,CSS,MEALS,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,
20,CREAM,True,4,TIRES,--YY-,5,4,CSS,READE,YYY--,5,3,CSS,BREAM,-GGGG,1,1,LLM,CREAM,GGGGG,0,0,LLM,,,,,,,,,,
21,AWAKE,True,4,SIREN,---Y-,5,5,CSS,GLADE,--G-G,3,3,CSS,PEACE,--G-G,3,3,LLM,AWAKE,GGGGG,0,0,LLM,,,,,,,,,,
22,OCCUR,True,4,TONES,-Y---,5,5,CSS,MARLO,--Y-Y,5,5,CSS,BROOD,-YY--,5,5,LLM,OCCUR,GGGGG,0,0,LLM,,,,,,,,,,
23,YEARS,True,4,KAREN,-YYY-,5,4,CSS,TEARS,-GGGG,1,1,CSS,HEARS,-GGGG,1,1,LLM,YEARS,GGGGG,0,0,LLM,,,,,,,,,,
24,GRADE,True,3,EARLS,YYY--,5,5,CSS,TRADE,-GGGG,1,1,CSS,GRADE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
