game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,3,TIERS,Y----,5,5,CSS,ALTHO,--YYG,4,4,CSS,PHOTO,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
2,PARTY,True,4,ROSEN,Y----,5,5,CSS,DARLA,-GG--,3,3,CSS,MARTY,-GGGG,1,1,LLM,PARTY,GGGGG,0,0,LLM,,,,,,,,,,
3,TRICK,True,4,BONES,-----,5,5,CSS,LAURA,---Y-,5,5,CSS,CRICK,-GGGG,1,1,LLM,TRICK,GGGGG,0,0,LLM,,,,,,,,,,
4,DIRTY,True,4,TRANS,YY---,5,5,CSS,RETRO,Y-Y--,5,5,CSS,MIRTH,-GGG-,2,2,LLM,DIRTY,GGGGG,0,0,LLM,,,,,,,,,,
5,USUAL,True,4,STORE,Y----,5,5,CSS,NAILS,-Y-YY,5,5,CSS,FLASH,-YYY-,5,5,LLM,USUAL,GGGGG,0,0,LLM,,,,,,,,,,
6,TRULY,True,3,ROLES,Y-Y--,5,4,CSS,CYRIL,-YY-Y,5,4,CSS,TRULY,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
7,SPENT,True,3,SIREN,G--YY,4,3,CSS,SCENE,G-GG-,2,2,CSS,SPENT,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
8,PAUSE,True,5,SLOAN,Y--Y-,5,5,CSS,MARES,-G-YY,4,4,CSS,HASTE,-GY-G,3,3,LLM,CAUSE,-GGGG,1,1,LLM,PAUSE,GGGGG,0,0,LLM,,,,,
9,CRAZY,False,6,EARNS,-YY--,5,5,CSS,CIARA,G-GY-,3,3,CSS,CRABB,GGG--,2,2,LLM,CRAFT,GGG--,2,2,LLM,CRACK,GGG--,2,2,LLM,CRAWL,GGG--,2,2,LLM
10,BASES,True,3,LOBES,--YGG,3,3,CSS,BATES,GG-GG,1,1,CSS,BASES,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
11,YOUNG,True,4,DARTS,-----,5,5,CSS,LOCKE,-G---,4,4,CSS,BOOBY,-G--Y,4,4,LLM,YOUNG,GGGGG,0,0,LLM,,,,,,,,,,
