game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,4,REINS,-----,5,5,CSS,MATCH,--Y-Y,5,5,CSS,HOLTZ,YY-G-,4,3,CSS,PHOTO,GGGGG,0,0,LLM,,,,,,,,,,
2,PARTY,True,5,DEANS,--Y--,5,5,CSS,MARIA,-GG--,3,3,CSS,LARGO,-GG--,3,3,CSS,PARRY,GGG-G,1,1,LLM,PARTY,GGGGG,0,0,LLM,,,,,
3,TRICK,True,4,SCALE,-Y---,5,5,CSS,CHINO,Y-G--,4,4,CSS,BRICK,-GGGG,1,1,CSS,TRICK,GGGGG,0,0,LLM,,,,,,,,,,
4,DIRTY,True,3,IRENA,YY---,5,4,CSS,HIRST,-GG-Y,3,3,CSS,DIRTY,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
5,USUAL,True,4,EARNS,-Y--Y,5,5,CSS,SHALT,Y-YY-,5,3,CSS,ALISA,YY-Y-,5,5,CSS,USUAL,GGGGG,0,0,LLM,,,,,,,,,,
6,TRULY,True,3,NORSE,--Y--,5,5,CSS,TIARA,G--Y-,4,4,CSS,TRULY,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
7,SPENT,True,4,TRIES,Y--YY,5,5,CSS,STALE,GY--Y,4,4,CSS,SCENT,G-GGG,1,1,CSS,SPENT,GGGGG,0,0,LLM,,,,,,,,,,
8,PAUSE,True,3,RACES,-G-YY,4,4,CSS,LAPSE,-GYGG,2,2,CSS,PAUSE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
9,CRAZY,True,4,HEROS,--Y--,5,5,CSS,TRAIN,-GG--,3,3,CSS,GRADY,-GG-G,2,2,CSS,CRAZY,GGGGG,0,0,LLM,,,,,,,,,,
10,BASES,True,4,ARIEL,Y--G-,4,4,CSS,CASED,-GGG-,2,2,CSS,GASES,-GGGG,1,1,CSS,BASES,GGGGG,0,0,LLM,,,,,,,,,,
11,YOUNG,True,4,SABER,-----,5,5,CSS,LINGO,--YYY,5,4,CSS,ZHONG,--YGG,3,3,CSS,YOUNG,GGGGG,0,0,LLM,,,,,,,,,,
12,MEANS,True,4,OATES,-Y-YG,4,4,CSS,REALS,-GG-G,2,2,CSS,BEAMS,-GGYG,2,2,CSS,MEANS,GGGGG,0,0,LLM,,,,,,,,,,
13,TRUTH,True,3,LACES,-----,5,5,CSS,BURNT,-YY-Y,5,4,CSS,TRUTH,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
14,FIRED,True,5,LORDS,--GY-,4,4,CSS,DIRAC,YGG--,3,3,CSS,TIRED,-GGGG,1,1,CSS,WIRED,-GGGG,1,1,LLM,FIRED,GGGGG,0,0,LLM,,,,,
15,FOLKS,True,4,SIREN,Y----,5,5,CSS,COALS,-G-YG,3,3,CSS,BOLTS,-GG-G,2,2,CSS,FOLKS,GGGGG,0,0,LLM,,,,,,,,,,
16,CHILE,True,3,LAINE,Y-G-G,3,3,CSS,SLICE,-YGYG,3,3,CSS,CHILE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
17,BLACK,True,5,TONES,-----,5,5,CSS,LUCIA,Y-Y-Y,5,4,CSS,CLARK,YGG-G,2,2,CSS,FLACK,-GGGG,1,1,LLM,BLACK,GGGGG,0,0,LLM,,,,,
18,GRANT,True,4,SARIN,-YY-Y,5,4,CSS,ANDER,YY--Y,5,5,CSS,FRANK,-GGG-,2,2,CSS,GRANT,GGGGG,0,0,LLM,,,,,,,,,,
19,MEALS,True,5,AIRES,Y--YG,4,4,CSS,DEALS,-GGGG,1,1,CSS,SEALS,-GGGG,1,1,CSS,HEALS,-GGGG,1,1,LLM,MEALS,GGGGG,0,0,LLM,,,,,
20,CREAM,True,3,STORE,---YY,5,5,CSS,CEDAR,GY-GY,3,3,CSS,CREAM,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
21,AWAKE,True,6,SONIA,----Y,5,5,CSS,LATHE,-Y--G,4,4,CSS,GRADE,--G-G,3,3,CSS,PEACE,--G-G,3,3,LLM,QUAKE,--GGG,2,2,LLM,AWAKE,GGGGG,0,0,LLM
22,OCCUR,True,4,DARIO,--Y-Y,5,5,CSS,SNORE,--YY-,5,5,CSS,RUMOR,-Y-YG,4,4,CSS,OCCUR,GGGGG,0,0,LLM,,,,,,,,,,
23,YEARS,True,6,SONAR,Y--YY,5,4,CSS,RATES,YY-YG,4,4,CSS,PEARS,-GGGG,1,1,CSS,BEARS,-GGGG,1,1,LLM,FEARS,-GGGG,1,1,LLM,YEARS,GGGGG,0,0,LLM
24,GRADE,True,4,TAMER,-Y-YY,5,4,CSS,NEARS,-YGY-,4,4,CSS,GRACE,GGG-G,1,1,CSS,GRADE,GGGGG,0,0,LLM,,,,,,,,,,
25,CHILL,True,4,MATES,-----,5,5,CSS,GROIN,---Y-,5,5,CSS,CHILD,GGGG-,1,1,CSS,CHILL,GGGGG,0,0,LLM,,,,,,,,,,
26,FLOOD,True,3,RATES,-----,5,5,CSS,COMIN,-Y---,5,5,CSS,FLOOD,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
27,APPLY,True,5,WARES,-Y---,5,5,CSS,ALINA,GY---,4,4,CSS,ADULT,G--G-,3,3,CSS,AMPLY,G-GGG,1,1,LLM,APPLY,GGGGG,0,0,LLM,,,,,
