game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,False,3,MATER,--Y--,5,5,CSS,TUNIS,Y----,5,5,CSS,BOOTY,-YGG-,3,3,CSS,,,,,,,,,,,,,,,
2,PARTY,False,3,ELIAS,---Y-,5,5,CSS,CARTA,-GGG-,2,2,CSS,DARTH,-GGG-,2,2,CSS,,,,,,,,,,,,,,,
3,TRICK,False,3,RATED,Y-Y--,5,5,CSS,TORUS,G-Y--,4,4,CSS,TRIPP,GGG--,2,2,CSS,,,,,,,,,,,,,,,
4,DIRTY,False,3,STOLE,-Y---,5,5,CSS,TRAIT,YY-Y-,5,5,CSS,FIRTH,-GGG-,2,2,CSS,,,,,,,,,,,,,,,
5,USUAL,False,3,AYRES,Y---Y,5,5,CSS,SHANA,Y-Y--,5,4,CSS,BASIL,-YY-G,4,4,CSS,,,,,,,,,,,,,,,
6,TRULY,False,3,SPARE,---Y-,5,5,CSS,TRYIN,GGY--,3,3,CSS,TRUDY,GGG-G,1,1,CSS,,,,,,,,,,,,,,,
7,SPENT,False,3,HOLES,---YY,5,5,CSS,SPARE,GG--Y,3,3,CSS,SPEND,GGGG-,1,1,CSS,,,,,,,,,,,,,,,
8,PAUSE,True,3,MARES,-G-YY,4,4,CSS,LAPSE,-GYGG,2,2,CSS,PAUSE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
9,CRAZY,False,3,CARTS,GYY--,4,4,CSS,CLARE,G-GY-,3,3,CSS,CRANK,GGG--,2,2,CSS,,,,,,,,,,,,,,,
10,BASES,False,3,ARIES,Y--GG,3,3,CSS,TALES,-G-GG,2,2,CSS,CASES,-GGGG,1,1,CSS,,,,,,,,,,,,,,,
11,YOUNG,False,3,NEARS,Y----,5,5,CSS,TONIC,-GY--,4,4,CSS,DOWNY,-G-GY,3,3,CSS,,,,,,,,,,,,,,,
12,MEANS,True,3,REALS,-GG-G,2,2,CSS,MEATS,GGG-G,1,1,CSS,MEANS,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
13,TRUTH,True,3,DATES,--Y--,5,5,CSS,BRITT,-G-GY,3,3,CSS,TRUTH,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
14,FIRED,False,3,LORNE,--G-Y,4,4,CSS,DARES,Y-GG-,3,3,CSS,WIRED,-GGGG,1,1,CSS,,,,,,,,,,,,,,,
15,FOLKS,False,3,SIENA,Y----,5,5,CSS,COLTS,-GG-G,2,2,CSS,FOLDS,GGG-G,1,1,CSS,,,,,,,,,,,,,,,
16,CHILE,True,3,MORES,---Y-,5,5,CSS,NEALE,---GG,3,3,CSS,CHILE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
17,BLACK,False,3,PEARS,--G--,4,4,CSS,ALAIN,-GG--,3,3,CSS,FLACK,-GGGG,1,1,CSS,,,,,,,,,,,,,,,
18,GRANT,True,3,SINCE,--Y--,5,5,CSS,ROGAN,Y-YYY,5,4,CSS,GRANT,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
19,MEALS,False,3,SNARE,Y-G-Y,4,4,CSS,LEAST,YGGY-,3,3,CSS,HEALS,-GGGG,1,1,CSS,,,,,,,,,,,,,,,
20,CREAM,False,3,OATES,-Y-Y-,5,5,CSS,NEALE,-YY--,5,4,CSS,DREAM,-GGGG,1,1,CSS,,,,,,,,,,,,,,,
21,AWAKE,False,3,SLADE,--G-G,3,3,CSS,GRATE,--G-G,3,3,CSS,PEAKE,--GGG,2,2,CSS,,,,,,,,,,,,,,,
22,OCCUR,False,3,SANDI,-----,5,5,CSS,ROUTE,YYY--,5,5,CSS,FLOUR,--YGG,3,3,CSS,,,,,,,,,,,,,,,
23,YEARS,False,3,RAIDS,YY--G,4,4,CSS,BRAGS,-YG-G,3,3,CSS,STARS,--GGG,2,2,CSS,,,,,,,,,,,,,,,
24,GRADE,False,3,HAIRS,-Y-Y-,5,5,CSS,ARENT,YGY--,4,4,CSS,GRACE,GGG-G,1,1,CSS,,,,,,,,,,,,,,,
25,CHILL,True,3,LANES,Y----,5,5,CSS,COULD,G--G-,3,3,CSS,CHILL,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
26,FLOOD,False,3,HAIRS,-----,5,5,CSS,LUMEN,Y----,5,5,CSS,GODLY,-YYY-,5,5,CSS,,,,,,,,,,,,,,,
27,APPLY,True,3,MEALS,--YG-,4,4,CSS,LAYLA,-YYG-,4,4,CSS,APPLY,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
28,SMILE,True,3,REINA,-YG--,4,4,CSS,SLICE,GYG-G,2,2,CSS,SMILE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
29,KNOCK,False,3,AYERS,-----,5,5,CSS,MOUNT,-Y-Y-,5,5,CSS,NICOL,Y-YY-,5,4,CSS,,,,,,,,,,,,,,,
30,SLEEP,False,3,AYRES,---GY,4,4,CSS,STEEN,G-GG-,2,2,CSS,SWEEP,G-GGG,1,1,CSS,,,,,,,,,,,,,,,
31,BRICK,True,3,CANES,Y----,5,5,CSS,RICOH,YYY--,5,3,CSS,BRICK,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
32,WROTE,False,3,CANES,---Y-,5,5,CSS,MERIT,-YY-Y,5,4,CSS,TROPE,YGG-G,2,2,CSS,,,,,,,,,,,,,,,
33,RATED,True,2,COLES,---G-,4,4,CSS,RATED,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,
34,ALERT,True,3,EATIN,YYY--,5,5,CSS,TEARS,YYYG-,4,4,CSS,ALERT,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
35,CAGES,False,3,SAUER,YG-G-,3,3,CSS,CATES,GG-GG,1,1,CSS,CANES,GG-GG,1,1,CSS,,,,,,,,,,,,,,,
36,TEDDY,False,3,LAINE,----Y,5,5,CSS,RESET,-G--Y,4,4,CSS,PETCO,-GY--,4,4,CSS,,,,,,,,,,,,,,,
37,COLES,False,3,LANES,Y--GG,3,3,CSS,FILES,--GGG,2,2,CSS,MULES,--GGG,2,2,CSS,,,,,,,,,,,,,,,
38,HWANG,False,3,MARES,-Y---,5,5,CSS,ALINA,Y--G-,4,4,CSS,THANG,-YGGG,2,2,CSS,,,,,,,,,,,,,,,
39,WRATH,False,3,NOYES,-----,5,5,CSS,TALIA,YY---,5,5,CSS,KRAFT,-GG-Y,3,3,CSS,,,,,,,,,,,,,,,
40,MACHO,False,3,PANES,-G---,4,4,CSS,MARIA,GG---,3,3,CSS,MAMMY,GG---,3,3,CSS,,,,,,,,,,,,,,,
41,LOPEZ,False,3,MATES,---G-,4,4,CSS,RILED,--YG-,4,4,CSS,BEVEL,---GY,4,4,CSS,,,,,,,,,,,,,,,
42,GOODY,False,3,PILES,-----,5,5,CSS,GORAN,GG---,3,3,CSS,GOOFY,GGG-G,1,1,CSS,,,,,,,,,,,,,,,
43,BROTH,False,3,NILES,-----,5,5,CSS,DARTH,--YGG,3,3,CSS,FROTH,-GGGG,1,1,CSS,,,,,,,,,,,,,,,
