game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,4,SMART,----Y,5,5,VOI,TITHE,Y--Y-,5,5,LLM,CLOTH,--GGY,3,3,LLM,PHOTO,GGGGG,0,0,LLM,,,,,,,,,,
2,PARTY,True,5,RAISE,YG---,4,4,VOI,MARGO,-GG--,3,3,LLM,CARLA,-GG--,3,3,LLM,PARRY,GGG-G,1,1,LLM,PARTY,GGGGG,0,0,LLM,,,,,
3,TRICK,True,4,EARLS,--Y--,5,5,VOI,RICKY,YYYY-,5,2,LLM,PRICK,-GGGG,1,1,LLM,TRICK,GGGGG,0,0,LLM,,,,,,,,,,
4,DIRTY,True,4,REALS,Y----,5,5,VOI,TRIPP,YYY--,5,5,LLM,MIRTH,-GGG-,2,2,LLM,DIRTY,GGGGG,0,0,LLM,,,,,,,,,,
5,USUAL,True,4,READS,--Y-Y,5,5,VOI,SALTY,YYY--,5,4,LLM,ALISA,YY-Y-,5,5,LLM,USUAL,GGGGG,0,0,LLM,,,,,,,,,,
6,TRULY,True,3,LASER,Y---Y,5,5,VOI,TROLL,GG-G-,2,2,LLM,TRULY,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
7,SPENT,True,4,ANSEL,-YYY-,5,5,VOI,NURSE,Y--YY,5,5,LLM,STENT,G-GGG,1,1,LLM,SPENT,GGGGG,0,0,LLM,,,,,,,,,,
8,PAUSE,True,3,ARIES,Y--YY,5,4,VOI,STADE,Y-Y-G,4,4,LLM,PAUSE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
9,CRAZY,False,6,LASER,-Y--Y,5,5,VOI,FRANC,-GG-Y,3,3,LLM,CRAMP,GGG--,2,2,LLM,CRACK,GGG--,2,2,LLM,CRABB,GGG--,2,2,LLM,CRAIG,GGG--,2,2,LLM
10,BASES,False,6,EARNS,YG--G,3,3,VOI,TALES,-G-GG,2,2,LLM,HAWES,-G-GG,2,2,LLM,CAPES,-G-GG,2,2,LLM,SAKES,YG-GG,2,2,LLM,VASES,-GGGG,1,1,LLM
11,YOUNG,True,4,OATES,Y----,5,5,VOI,COULD,-GG--,3,3,LLM,MOURN,-GG-Y,3,3,LLM,YOUNG,GGGGG,0,0,LLM,,,,,,,,,,
12,MEANS,True,5,AIRES,Y--YG,4,4,VOI,LEAPS,-GG-G,2,2,LLM,BEATS,-GG-G,2,2,LLM,SEAMS,-GGYG,2,2,LLM,MEANS,GGGGG,0,0,LLM,,,,,
13,TRUTH,True,4,LEANS,-----,5,5,VOI,JORDI,--Y--,5,5,LLM,CRUMP,-GG--,3,3,LLM,TRUTH,GGGGG,0,0,LLM,,,,,,,,,,
14,FIRED,True,4,ANISE,--Y-Y,5,4,VOI,REMIT,YY-Y-,5,5,LLM,FIVER,GG-GY,2,2,LLM,FIRED,GGGGG,0,0,LLM,,,,,,,,,,
15,FOLKS,True,5,OATES,Y---G,4,4,VOI,FROGS,G-Y-G,3,3,LLM,FOCUS,GG--G,2,2,LLM,FOLDS,GGG-G,1,1,LLM,FOLKS,GGGGG,0,0,LLM,,,,,
16,CHILE,True,4,AROSE,----G,4,4,VOI,WILDE,-YY-G,4,3,LLM,CLINE,GYG-G,2,2,LLM,CHILE,GGGGG,0,0,LLM,,,,,,,,,,
17,BLACK,True,3,ELIAS,-G-Y-,4,4,VOI,BLANK,GGG-G,1,1,LLM,BLACK,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
18,GRANT,True,5,TALES,YY---,5,5,VOI,ACTOR,Y-Y-Y,5,5,LLM,MURAT,--YYG,4,3,LLM,GRAFT,GGG-G,1,1,LLM,GRANT,GGGGG,0,0,LLM,,,,,
19,MEALS,True,5,OATES,-Y-YG,4,4,VOI,BEARS,-GG-G,2,2,LLM,HEALS,-GGGG,1,1,LLM,DEALS,-GGGG,1,1,LLM,MEALS,GGGGG,0,0,LLM,,,,,
20,CREAM,True,3,RATES,YY-Y-,5,5,VOI,CLEAR,G-GGY,2,2,LLM,CREAM,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
21,AWAKE,True,5,OATES,-Y-Y-,5,4,VOI,REINA,-Y--Y,5,5,LLM,GLADE,--G-G,3,3,LLM,AMAZE,G-G-G,2,2,LLM,AWAKE,GGGGG,0,0,LLM,,,,,
22,OCCUR,True,4,RAISE,Y----,5,5,VOI,BASED,-----,5,5,LLM,HONOR,-Y--G,4,4,LLM,OCCUR,GGGGG,0,0,LLM,,,,,,,,,,
23,YEARS,True,4,TEARS,-GGGG,1,1,VOI,BEARS,-GGGG,1,1,LLM,SEARS,-GGGG,1,1,LLM,YEARS,GGGGG,0,0,LLM,,,,,,,,,,
24,GRADE,True,4,LASER,-Y-YY,5,4,VOI,DREAM,YGYY-,4,4,LLM,TRADE,-GGGG,1,1,LLM,GRADE,GGGGG,0,0,LLM,,,,,,,,,,
