game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,4,PUMAS,G----,4,4,VOI,PORTE,GY-G-,3,3,VOI,PINTO,G--GG,2,2,LLM,PHOTO,GGGGG,0,0,LLM,,,,,,,,,,
2,PARTY,True,5,LANES,-G---,4,4,VOI,MARIA,-GG--,3,3,VOI,GARRY,-GG-G,2,2,LLM,DARCY,-GG-G,2,2,LLM,PARTY,GGGGG,0,0,LLM,,,,,
3,TRICK,True,4,OATES,--Y--,5,5,VOI,PRINT,-GG-Y,3,3,VOI,FRITZ,-GGY-,3,3,LLM,TRICK,GGGGG,0,0,LLM,,,,,,,,,,
4,DIRTY,True,3,EARNS,--G--,4,4,VOI,GIRTH,-GGG-,2,2,VOI,DIRTY,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
5,USUAL,True,4,ARIES,Y---Y,5,5,VOI,SANTA,YY---,5,5,VOI,CLASH,-YYY-,5,5,LLM,USUAL,GGGGG,0,0,LLM,,,,,,,,,,
6,TRULY,True,5,TEARS,G--Y-,4,4,VOI,TRICK,GG---,3,3,VOI,TRUTH,GGG--,2,2,LLM,TRUDY,GGG-G,1,1,LLM,TRULY,GGGGG,0,0,LLM,,,,,
7,SPENT,True,4,TALES,Y--YY,5,5,VOI,STEIN,GYG-Y,3,3,VOI,SCENT,G-GGG,1,1,LLM,SPENT,GGGGG,0,0,LLM,,,,,,,,,,
8,PAUSE,True,4,SIENA,Y-Y-Y,5,5,VOI,RATES,-G-YY,4,4,VOI,CAUSE,-GGGG,1,1,LLM,PAUSE,GGGGG,0,0,LLM,,,,,,,,,,
9,CRAZY,True,6,ACRES,YYY--,5,4,VOI,CAPRI,GY-Y-,4,4,VOI,CRAFT,GGG--,2,2,LLM,CRACK,GGG--,2,2,LLM,CRAWL,GGG--,2,2,LLM,CRAZY,GGGGG,0,0,LLM
10,BASES,True,6,OATES,-G-GG,2,2,VOI,CARES,-G-GG,2,2,VOI,SAVES,YG-GG,2,2,LLM,EASES,-GGGG,1,1,LLM,GASES,-GGGG,1,1,LLM,BASES,GGGGG,0,0,LLM
11,YOUNG,True,4,AROSE,--Y--,5,5,VOI,PINTO,--Y-Y,5,5,VOI,HOUND,-GGG-,2,2,LLM,YOUNG,GGGGG,0,0,LLM,,,,,,,,,,
12,MEANS,True,5,REALS,-GG-G,2,2,VOI,BEATS,-GG-G,2,2,VOI,PEAKS,-GG-G,2,2,LLM,SEAMS,-GGYG,2,2,LLM,MEANS,GGGGG,0,0,LLM,,,,,
13,TRUTH,True,4,TALES,G----,4,4,VOI,TRUMP,GGG--,2,2,VOI,TRUCK,GGG--,2,2,LLM,TRUTH,GGGGG,0,0,LLM,,,,,,,,,,
14,FIRED,True,4,LANES,---G-,4,4,VOI,PETER,---GY,4,4,VOI,GRIEF,-YYGY,4,4,LLM,FIRED,GGGGG,0,0,LLM,,,,,,,,,,
15,FOLKS,True,4,SNARE,Y----,5,5,VOI,PLOTS,-YY-G,4,4,VOI,FOLDS,GGG-G,1,1,LLM,FOLKS,GGGGG,0,0,LLM,,,,,,,,,,
16,CHILE,True,3,RAISE,--G-G,3,3,VOI,CLINE,GYG-G,2,2,VOI,CHILE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
17,BLACK,True,5,ARISE,Y----,5,5,VOI,MOCHA,--Y-Y,5,5,VOI,CANDY,YY---,5,5,LLM,FLACK,-GGGG,1,1,LLM,BLACK,GGGGG,0,0,LLM,,,,,
18,GRANT,True,6,RAISE,YY---,5,4,VOI,CRAZY,-GG--,3,3,VOI,DRAGO,-GGY-,3,3,LLM,GRAPH,GGG--,2,2,LLM,GRAFT,GGG-G,1,1,LLM,GRANT,GGGGG,0,0,LLM
19,MEALS,True,4,MARES,GY-YG,3,3,VOI,MEANS,GGG-G,1,1,VOI,MEATS,GGG-G,1,1,LLM,MEALS,GGGGG,0,0,LLM,,,,,,,,,,
20,CREAM,True,4,RAISE,YY--Y,5,5,VOI,ALERT,Y-GY-,4,4,VOI,DREAM,-GGGG,1,1,LLM,CREAM,GGGGG,0,0,LLM,,,,,,,,,,
21,AWAKE,True,5,RATES,-Y-Y-,5,4,VOI,NEALE,--G-G,3,3,VOI,AGAPE,G-G-G,2,2,LLM,AMAZE,G-G-G,2,2,LLM,AWAKE,GGGGG,0,0,LLM,,,,,
22,OCCUR,True,4,AIRES,--Y--,5,5,VOI,TRULY,-YY--,5,5,VOI,HURRY,-YY--,5,5,LLM,OCCUR,GGGGG,0,0,LLM,,,,,,,,,,
23,YEARS,False,6,REALS,YGG-G,2,2,VOI,BEARS,-GGGG,1,1,VOI,MEARS,-GGGG,1,1,LLM,HEARS,-GGGG,1,1,LLM,TEARS,-GGGG,1,1,LLM,WEARS,-GGGG,1,1,LLM
24,GRADE,True,3,DANES,YY-Y-,5,4,VOI,BREAD,-GYYY,4,3,VOI,GRADE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
25,CHILL,True,5,ARIES,--G--,4,4,VOI,GLINT,-YG--,4,4,VOI,BUILD,--GG-,3,3,LLM,PHILO,-GGG-,2,2,LLM,CHILL,GGGGG,0,0,LLM,,,,,
26,FLOOD,True,4,ARISE,-----,5,5,VOI,YOUNG,-Y---,5,5,VOI,FLOCK,GGG--,2,2,LLM,FLOOD,GGGGG,0,0,LLM,,,,,,,,,,
27,APPLY,True,3,LEANS,Y-Y--,5,5,VOI,CALLY,-Y-GG,3,3,VOI,APPLY,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
28,SMILE,True,5,READS,-Y--Y,5,5,VOI,SPENT,G-Y--,4,4,VOI,SOLVE,G-Y-G,3,3,LLM,SLIME,GYGYG,2,2,LLM,SMILE,GGGGG,0,0,LLM,,,,,
29,KNOCK,True,4,REINA,---Y-,5,5,VOI,NYLON,Y--Y-,5,5,VOI,KNOBS,GGG--,2,2,LLM,KNOCK,GGGGG,0,0,LLM,,,,,,,,,,
30,SLEEP,True,5,REALS,-Y-YY,5,5,VOI,SLIME,GG--Y,3,3,VOI,SLEET,GGGG-,1,1,LLM,SLEEK,GGGG-,1,1,LLM,SLEEP,GGGGG,0,0,LLM,,,,,
31,BRICK,True,4,OATES,-----,5,5,VOI,CHILI,Y-G--,4,4,VOI,PRICK,-GGGG,1,1,LLM,BRICK,GGGGG,0,0,LLM,,,,,,,,,,
32,WROTE,True,3,TEARS,YY-Y-,5,5,VOI,PORTE,-YYGG,3,3,VOI,WROTE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
33,RATED,True,4,ELIAS,Y--Y-,5,5,VOI,GRADE,-YYYY,5,3,VOI,CARED,-GYGG,2,2,LLM,RATED,GGGGG,0,0,LLM,,,,,,,,,,
34,ALERT,True,2,AIRES,G-YY-,4,4,VOI,ALERT,GGGGG,0,0,VOI,,,,,,,,,,,,,,,,,,,,
35,CAGES,True,4,SNARE,Y-Y-Y,5,4,VOI,BASES,-G-GG,2,2,VOI,GATES,YG-GG,2,2,LLM,CAGES,GGGGG,0,0,LLM,,,,,,,,,,
36,TEDDY,True,4,EARLS,Y----,5,5,VOI,CONTE,---YY,5,5,VOI,MUTED,--YYY,5,4,LLM,TEDDY,GGGGG,0,0,LLM,,,,,,,,,,
37,COLES,True,6,AROSE,--YYY,5,4,VOI,PESTO,-YY-Y,5,5,VOI,HOLES,-GGGG,1,1,LLM,SOLES,-GGGG,1,1,LLM,FORES,-G-GG,2,2,LLM,COLES,GGGGG,0,0,LLM
38,HWANG,True,4,TASER,-Y---,5,5,VOI,APPLY,Y----,5,5,VOI,NOIDA,Y---Y,5,5,LLM,HWANG,GGGGG,0,0,LLM,,,,,,,,,,
39,WRATH,True,4,AROSE,YG---,4,4,VOI,GRANT,-GG-Y,3,3,VOI,TRAMP,YGG--,3,3,LLM,WRATH,GGGGG,0,0,LLM,,,,,,,,,,
40,MACHO,True,5,SIENA,----Y,5,5,VOI,PARTY,-G---,4,4,VOI,MADAM,GG---,3,3,LLM,MACHU,GGGG-,1,1,LLM,MACHO,GGGGG,0,0,LLM,,,,,
41,LOPEZ,True,4,AILES,--YG-,4,4,VOI,LEVER,G--G-,3,3,VOI,LUMEN,G--G-,3,3,LLM,LOPEZ,GGGGG,0,0,LLM,,,,,,,,,,
42,GOODY,True,4,EARNS,-----,5,5,VOI,PHOTO,--G-Y,4,4,VOI,GLOOM,G-GY-,3,3,LLM,GOODY,GGGGG,0,0,LLM,,,,,,,,,,
43,BROTH,True,4,TEARS,Y--Y-,5,5,VOI,DIRTY,--YG-,4,4,VOI,FROTH,-GGGG,1,1,LLM,BROTH,GGGGG,0,0,LLM,,,,,,,,,,
44,VERDE,True,5,RATES,Y--Y-,5,5,VOI,PRICE,-Y--G,4,4,VOI,VERGE,GGG-G,1,1,LLM,VERVE,GGG-G,1,1,LLM,VERDE,GGGGG,0,0,LLM,,,,,
45,TAMED,True,4,ARIES,Y--G-,4,4,VOI,PANEL,-G-G-,3,3,VOI,FAMED,-GGGG,1,1,LLM,TAMED,GGGGG,0,0,LLM,,,,,,,,,,
46,LEAFS,False,6,ELISA,YY-YY,5,4,VOI,MEALS,-GGYG,2,2,VOI,LEAPS,GGG-G,1,1,LLM,LEADS,GGG-G,1,1,LLM,LEAKS,GGG-G,1,1,LLM,LEANS,GGG-G,1,1,LLM
47,YACHT,True,3,TASER,YG---,4,4,VOI,CATTY,YGY-Y,4,4,VOI,YACHT,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
48,MESSY,True,4,RATES,---YY,5,5,VOI,SMILE,YY--Y,5,5,VOI,EPSOM,Y-G-Y,4,4,LLM,MESSY,GGGGG,0,0,LLM,,,,,,,,,,
49,RYDER,True,4,DARES,Y-YG-,4,4,VOI,CRIED,-Y-GY,4,4,VOI,ENDER,--GGG,2,2,LLM,RYDER,GGGGG,0,0,LLM,,,,,,,,,,
50,MOTIF,True,4,LEANS,-----,5,5,VOI,BROTH,--YY-,5,4,VOI,TOPIC,YG-G-,3,3,LLM,MOTIF,GGGGG,0,0,LLM,,,,,,,,,,
