game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,3,GIPSY,--Y--,5,5,VOI,PARTE,G--G-,3,3,VOI,PHOTO,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
2,PARTY,True,3,OATES,-GY--,4,4,VOI,TAMPA,YG-Y-,4,4,VOI,PARTY,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
3,TRICK,True,4,AIRES,-YY--,5,5,VOI,PRINT,-GG-Y,3,3,VOI,TRILL,GGG--,2,2,LLM,TRICK,GGGGG,0,0,LLM,,,,,,,,,,
4,DIRTY,True,3,TEARS,Y--Y-,5,5,VOI,FRITZ,-YYG-,4,4,VOI,DIRTY,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
5,USUAL,True,4,EARNS,-Y--Y,5,5,VOI,SHALT,Y-YY-,5,3,VOI,ALISA,YY-Y-,5,5,LLM,USUAL,GGGGG,0,0,LLM,,,,,,,,,,
6,TRULY,True,4,AROSE,-G---,4,4,VOI,TRICK,GG---,3,3,VOI,TRUTH,GGG--,2,2,LLM,TRULY,GGGGG,0,0,LLM,,,,,,,,,,
7,SPENT,True,3,ARIES,---YY,5,5,VOI,STONE,GY-GY,3,3,VOI,SPENT,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
8,PAUSE,True,3,AROSE,Y--GG,3,3,VOI,LAPSE,-GYGG,2,2,VOI,PAUSE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
9,CRAZY,True,6,TALES,-Y---,5,5,VOI,PIANO,--G--,4,4,VOI,GUARD,--GY-,4,4,LLM,CRACK,GGG--,2,2,LLM,CRABB,GGG--,2,2,LLM,CRAZY,GGGGG,0,0,LLM
10,BASES,True,3,RAISE,-G-YY,4,3,VOI,SALES,YG-GG,2,2,VOI,BASES,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
11,YOUNG,True,4,ARIES,-----,5,5,VOI,POOCH,-G---,4,4,VOI,GOLLY,YG--Y,4,4,LLM,YOUNG,GGGGG,0,0,LLM,,,,,,,,,,
12,MEANS,True,4,ARIES,Y--YG,4,4,VOI,DEALS,-GG-G,2,2,VOI,BEANS,-GGGG,1,1,LLM,MEANS,GGGGG,0,0,LLM,,,,,,,,,,
13,TRUTH,True,3,HOSEA,Y----,5,5,VOI,WIRTH,--YGG,3,3,VOI,TRUTH,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
