game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,4,WHERE,-G---,4,4,LLM,SHONA,-GG--,3,3,CSS,CHOCO,-GG-G,2,2,CSS,PHOTO,GGGGG,0,0,CSS,,,,,,,,,,
2,PARTY,True,4,CRANE,-YY--,5,5,LLM,MARTA,-GGG-,2,2,CSS,PARTS,GGGG-,1,1,CSS,PARTY,GGGGG,0,0,CSS,,,,,,,,,,
3,TRICK,True,5,OTHER,-Y--Y,5,5,LLM,TRANS,GG---,3,3,CSS,TRULY,GG---,3,3,CSS,TRIPP,GGG--,2,2,CSS,TRICK,GGGGG,0,0,CSS,,,,,
4,DIRTY,True,4,THERE,Y--Y-,5,5,LLM,SORTA,--GG-,3,3,CSS,KURTZ,--GG-,3,3,CSS,DIRTY,GGGGG,0,0,CSS,,,,,,,,,,
5,USUAL,True,4,THINK,-----,5,5,LLM,CARES,-Y--Y,5,5,CSS,SPASM,Y-Y--,5,4,CSS,USUAL,GGGGG,0,0,CSS,,,,,,,,,,
6,TRULY,True,3,CRANE,-G---,4,4,LLM,PROST,-G--Y,4,4,CSS,TRULY,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
7,SPENT,True,4,OTHER,-Y-Y-,5,5,LLM,SLATE,G--YY,4,4,CSS,SCENT,G-GGG,1,1,CSS,SPENT,GGGGG,0,0,CSS,,,,,,,,,,
8,PAUSE,True,5,OTHER,---Y-,5,5,LLM,SEINE,Y---G,4,4,CSS,AMUSE,Y-GGG,2,2,CSS,CAUSE,-GGGG,1,1,CSS,PAUSE,GGGGG,0,0,CSS,,,,,
9,CRAZY,True,5,THINK,-----,5,5,LLM,DALES,-Y---,5,5,CSS,AROMA,YG---,4,4,CSS,GRAVY,-GG-G,2,2,CSS,CRAZY,GGGGG,0,0,CSS,,,,,
10,BASES,True,4,WHERE,--Y--,5,5,LLM,DATES,-G-GG,2,2,CSS,CASES,-GGGG,1,1,CSS,BASES,GGGGG,0,0,CSS,,,,,,,,,,
11,YOUNG,True,4,THEIR,-----,5,5,LLM,SALON,---YY,5,5,CSS,CONDO,-GY--,4,4,CSS,YOUNG,GGGGG,0,0,CSS,,,,,,,,,,
12,MEANS,True,4,RIGHT,-----,5,5,LLM,SLADE,Y-G-Y,4,4,CSS,BEAMS,-GGYG,2,2,CSS,MEANS,GGGGG,0,0,CSS,,,,,,,,,,
13,TRUTH,True,4,RIGHT,Y--YY,5,4,LLM,EARTH,--YGG,3,3,CSS,FROTH,-G-GG,2,2,CSS,TRUTH,GGGGG,0,0,CSS,,,,,,,,,,
14,FIRED,True,4,ABOUT,-----,5,5,LLM,SIREN,-GGG-,2,2,CSS,MIRED,-GGGG,1,1,CSS,FIRED,GGGGG,0,0,CSS,,,,,,,,,,
15,FOLKS,True,4,OTHER,Y----,5,5,LLM,COLON,-GG--,3,3,CSS,FOLDS,GGG-G,1,1,CSS,FOLKS,GGGGG,0,0,CSS,,,,,,,,,,
16,CHILE,True,3,WHERE,-G--G,3,3,LLM,THOSE,-G--G,3,3,CSS,CHILE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
17,BLACK,True,5,WHERE,-----,5,5,LLM,LUISA,Y---Y,5,5,CSS,ALBAN,YGY--,4,4,CSS,BLATT,GGG--,2,2,CSS,BLACK,GGGGG,0,0,CSS,,,,,
18,GRANT,True,4,THEIR,Y---Y,5,5,LLM,SURAT,--YYG,4,3,CSS,GRAFT,GGG-G,1,1,CSS,GRANT,GGGGG,0,0,CSS,,,,,,,,,,
19,MEALS,True,5,OTHER,---Y-,5,5,LLM,LEASE,YGGY-,3,3,CSS,DEALS,-GGGG,1,1,CSS,SEALS,-GGGG,1,1,CSS,MEALS,GGGGG,0,0,CSS,,,,,
20,CREAM,True,4,RIGHT,Y----,5,5,LLM,SABRE,-Y-YY,5,5,CSS,DREAM,-GGGG,1,1,CSS,CREAM,GGGGG,0,0,CSS,,,,,,,,,,
21,AWAKE,True,4,THINK,----Y,5,5,LLM,LEAKS,-YGG-,3,3,CSS,DRAKE,--GGG,2,2,CSS,AWAKE,GGGGG,0,0,CSS,,,,,,,,,,
22,OCCUR,True,5,THERE,---Y-,5,5,LLM,SARIN,--Y--,5,5,CSS,BROOD,-YY--,5,5,CSS,ROCKY,YYG--,4,4,CSS,OCCUR,GGGGG,0,0,CSS,,,,,
23,YEARS,False,6,OTHER,---YY,5,5,LLM,NEARS,-GGGG,1,1,CSS,PEARS,-GGGG,1,1,CSS,WEARS,-GGGG,1,1,CSS,GEARS,-GGGG,1,1,CSS,SEARS,-GGGG,1,1,CSS
24,GRADE,True,2,RIGHT,Y-Y--,5,5,LLM,GRADE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,
25,CHILL,True,3,THINK,-GG--,3,3,LLM,CHILE,GGGG-,1,1,CSS,CHILL,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
