game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,4,HOUSE,YY---,5,4,LLM,CHOIR,-GG--,3,3,CSS,THONG,YGG--,3,3,CSS,PHOTO,GGGGG,0,0,CSS,,,,,,,,,,
2,PARTY,True,5,HOUSE,-----,5,5,LLM,NAIRA,-G-Y-,4,4,CSS,DARCY,-GG-G,2,2,CSS,MARTY,-GGGG,1,1,CSS,PARTY,GGGGG,0,0,CSS,,,,,
3,TRICK,True,3,HOUSE,-----,5,5,LLM,NAIRA,--GY-,4,4,CSS,TRICK,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
4,DIRTY,True,4,HOUSE,-----,5,5,LLM,RAINA,Y-Y--,5,5,CSS,BIRDY,-GGYG,2,2,CSS,DIRTY,GGGGG,0,0,CSS,,,,,,,,,,
5,USUAL,True,3,HOUSE,--GY-,4,4,LLM,SAULT,YYGY-,4,4,CSS,USUAL,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
6,TRULY,True,4,HOUSE,--G--,4,4,LLM,BRUNT,-GG-Y,3,3,CSS,TRUDY,GGG-G,1,1,CSS,TRULY,GGGGG,0,0,CSS,,,,,,,,,,
7,SPENT,True,4,HOUSE,---YY,5,5,LLM,RATES,--YYY,5,5,CSS,SLEPT,G-GYG,2,2,CSS,SPENT,GGGGG,0,0,CSS,,,,,,,,,,
8,PAUSE,True,4,THERE,----G,4,4,LLM,ALINE,Y---G,4,4,CSS,USAGE,YYY-G,4,4,CSS,PAUSE,GGGGG,0,0,CSS,,,,,,,,,,
9,CRAZY,True,5,HOUSE,-----,5,5,LLM,LANKA,-Y---,5,5,CSS,CRAFT,GGG--,2,2,CSS,CRAIG,GGG--,2,2,CSS,CRAZY,GGGGG,0,0,CSS,,,,,
10,BASES,True,6,HOUSE,---YY,5,4,LLM,REELS,-Y--G,4,4,CSS,MATES,-G-GG,2,2,CSS,CASES,-GGGG,1,1,CSS,GASES,-GGGG,1,1,CSS,BASES,GGGGG,0,0,CSS
11,YOUNG,True,4,HOUSE,-GG--,3,3,LLM,MOUND,-GGG-,2,2,CSS,COUNT,-GGG-,2,2,CSS,YOUNG,GGGGG,0,0,CSS,,,,,,,,,,
12,MEANS,True,5,HOUSE,---YY,5,5,LLM,TIRES,---YG,4,4,CSS,DEALS,-GG-G,2,2,CSS,BEAMS,-GGYG,2,2,CSS,MEANS,GGGGG,0,0,CSS,,,,,
13,TRUTH,True,3,HOUSE,Y-G--,4,4,LLM,THUNK,GYG--,3,3,CSS,TRUTH,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
