game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,4,WORDS,-Y---,5,5,LLM,ALTON,--YY-,5,4,CSS,KYOTO,--GGG,2,2,CSS,PHOTO,GGGGG,0,0,CSS,,,,,,,,,,
2,PARTY,True,4,STATE,--YG-,4,4,LLM,PONTA,G--GY,3,3,CSS,PARTI,GGGG-,1,1,CSS,PARTY,GGGGG,0,0,CSS,,,,,,,,,,
3,TRICK,True,6,WORDS,--Y--,5,5,LLM,CAIRN,Y-GY-,4,4,CSS,BRICE,-GGG-,2,2,CSS,PRICK,-GGGG,1,1,CSS,FRICK,-GGGG,1,1,CSS,TRICK,GGGGG,0,0,CSS
4,DIRTY,True,3,WORDS,--GY-,4,4,LLM,DARIA,G-GY-,3,3,CSS,DIRTY,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
5,USUAL,True,4,START,Y-Y--,5,4,LLM,LANES,YY--Y,5,5,CSS,ISLAM,-GYG-,3,3,CSS,USUAL,GGGGG,0,0,CSS,,,,,,,,,,
6,TRULY,True,4,THYME,G-Y--,4,4,LLM,TANDY,G---G,3,3,CSS,TILLY,G--GG,2,2,CSS,TRULY,GGGGG,0,0,CSS,,,,,,,,,,
7,SPENT,True,3,START,G---G,3,3,LLM,SPELT,GGG-G,1,1,CSS,SPENT,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
8,PAUSE,True,4,WORDS,----Y,5,5,LLM,SALEH,YG-Y-,4,4,CSS,PASTE,GGY-G,2,2,CSS,PAUSE,GGGGG,0,0,CSS,,,,,,,,,,
9,CRAZY,True,5,THERE,---Y-,5,5,LLM,RAIDS,YY---,5,4,CSS,MORAN,--YY-,5,4,CSS,BRAGA,-GG--,3,3,CSS,CRAZY,GGGGG,0,0,CSS,,,,,
10,BASES,True,5,VOWEL,---G-,4,4,LLM,DATES,-G-GG,2,2,CSS,CARES,-G-GG,2,2,CSS,MAGES,-G-GG,2,2,CSS,BASES,GGGGG,0,0,CSS,,,,,
11,YOUNG,True,4,WORDS,-G---,4,4,LLM,MONTY,-GY-Y,4,4,CSS,COYNE,-GYG-,3,3,CSS,YOUNG,GGGGG,0,0,CSS,,,,,,,,,,
12,MEANS,True,5,RIGHT,-----,5,5,LLM,CANES,-YYYG,4,3,CSS,JEANS,-GGGG,1,1,CSS,LEANS,-GGGG,1,1,CSS,MEANS,GGGGG,0,0,CSS,,,,,
13,TRUTH,True,3,THESE,GY---,4,4,LLM,TORCH,G-Y-G,3,3,CSS,TRUTH,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
14,FIRED,True,5,THERE,--YY-,5,4,LLM,DARES,Y-GG-,3,3,CSS,MIRED,-GGGG,1,1,CSS,WIRED,-GGGG,1,1,CSS,FIRED,GGGGG,0,0,CSS,,,,,
15,FOLKS,True,5,WORDS,-G--G,3,3,LLM,TOOLS,-G-YG,3,3,CSS,LOPES,YG--G,3,3,CSS,YOLKS,-GGGG,1,1,CSS,FOLKS,GGGGG,0,0,CSS,,,,,
16,CHILE,True,3,WORDS,-----,5,5,LLM,LATHE,Y--YG,4,4,CSS,CHILE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
17,BLACK,True,6,VOWEL,----Y,5,5,LLM,SALTY,-YY--,5,5,CSS,ALAIN,-GG--,3,3,CSS,CLARK,YGG-G,2,2,CSS,FLACK,-GGGG,1,1,CSS,BLACK,GGGGG,0,0,CSS
18,GRANT,True,3,START,--GYG,3,3,LLM,GRAFT,GGG-G,1,1,CSS,GRANT,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
19,MEALS,True,4,START,Y-G--,4,4,LLM,LEAPS,YGG-G,2,2,CSS,HEALS,-GGGG,1,1,CSS,MEALS,GGGGG,0,0,CSS,,,,,,,,,,
20,CREAM,True,4,START,--YY-,5,5,LLM,MARNE,YYY-Y,5,5,CSS,DEMAR,-YYGY,4,4,CSS,CREAM,GGGGG,0,0,CSS,,,,,,,,,,
21,AWAKE,True,3,WORDS,Y----,5,5,LLM,TWEEN,-GY--,4,4,CSS,AWAKE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
22,OCCUR,True,4,THINK,-----,5,5,LLM,EARLS,--Y--,5,5,CSS,BROOD,-YY--,5,5,CSS,OCCUR,GGGGG,0,0,CSS,,,,,,,,,,
23,YEARS,True,6,WORDS,--Y-G,4,4,LLM,TEARS,-GGGG,1,1,CSS,MEARS,-GGGG,1,1,CSS,PEARS,-GGGG,1,1,CSS,BEARS,-GGGG,1,1,CSS,YEARS,GGGGG,0,0,CSS
24,GRADE,True,4,THINK,-----,5,5,LLM,ROBES,Y--Y-,5,4,CSS,MADRE,-YYYG,4,3,CSS,GRADE,GGGGG,0,0,CSS,,,,,,,,,,
25,CHILL,True,5,THERE,-G---,4,4,LLM,SHONA,-G---,4,4,CSS,CHILI,GGGG-,1,1,CSS,CHILD,GGGG-,1,1,CSS,CHILL,GGGGG,0,0,CSS,,,,,
26,FLOOD,True,4,WORDS,-Y-Y-,5,4,LLM,ELDON,-GYG-,3,3,CSS,BLOOD,-GGGG,1,1,CSS,FLOOD,GGGGG,0,0,CSS,,,,,,,,,,
