game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6
1,PHOTO,True,3,HOUSE,YY---,5,4,LLM,WAHOO,--YYG,4,3,CSS,PHOTO,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,43,99.236098774205,43,3,93.02325581395348,3,1,66.66666666666666,,,,,,,,,
2,PARTY,True,3,HOUSE,-----,5,5,LLM,GRAIN,-YY--,5,5,CSS,PARTY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,694,87.67098951856458,694,57,91.78674351585015,57,1,98.24561403508771,,,,,,,,,
3,TRICK,True,2,THINK,G-G-G,2,2,LLM,TRICK,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,,5629,1,99.98223485521407,1,1,0.0,,,,,,,,,,,,
4,DIRTY,True,4,HOUSE,-----,5,5,LLM,DALAI,G---Y,4,4,CSS,DRINK,GYY--,4.0,4.0,LLM,DIRTY,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,694,87.67098951856458,694,14,97.98270893371757,14,1,92.85714285714286,1,1,0.0,,,,,,
5,USUAL,True,4,HOUSE,--GY-,4,4,LLM,DRUMS,--G-Y,4,4,CSS,STUCK,Y-G--,4.0,4.0,LLM,USUAL,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,47,99.1650381950613,47,19,59.57446808510638,19,1,94.73684210526315,1,1,0.0,,,,,,
6,TRULY,True,4,HOUSE,--G--,4,4,LLM,FAUNA,--G--,4,4,CSS,TRUMP,GGG--,2.0,2.0,LLM,TRULY,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,50,99.1117427607035,50,13,74.0,13,3,76.92307692307693,3,1,66.66666666666666,,,,,,
7,SPENT,True,4,HOUSE,---YY,5,5,LLM,SMELT,G-G-G,2,2,CSS,SWEET,G-G-G,2.0,2.0,LLM,SPENT,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,463,91.77473796411441,463,7,98.48812095032397,7,3,57.14285714285714,3,1,66.66666666666666,,,,,,
8,PAUSE,True,2,HOUSE,--GGG,2,2,LLM,PAUSE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,,5629,6,99.89340913128441,6,1,83.33333333333334,,,,,,,,,,,,
9,CRAZY,True,4,HOUSE,-----,5,5,LLM,AIDAN,Y----,5,5,CSS,PARTY,-YY-G,4.0,4.0,LLM,CRAZY,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,694,87.67098951856458,694,70,89.9135446685879,70,3,95.71428571428572,3,1,66.66666666666666,,,,,,
10,BASES,True,6,HOUSE,---YY,5,4,LLM,REYES,---GG,3,3,CSS,GAMES,-G-GG,2.0,2.0,LLM,PALES,-G-GG,2.0,2.0,CSS,CASES,-GGGG,1.0,1.0,LLM,BASES,GGGGG,0.0,0.0,CSS,5629,463,91.77473796411441,463,116,74.94600431965442,116,40,65.51724137931035,40,27,32.5,27,2,92.5925925925926,2,1,50.0
11,YOUNG,True,5,HOUSE,-GG--,3,3,LLM,MOURN,-GG-Y,3,3,CSS,FOUND,-GGG-,2.0,2.0,LLM,COUNT,-GGG-,2.0,2.0,CSS,YOUNG,GGGGG,0.0,0.0,LLM,,,,,,5629,18,99.68022739385326,18,6,66.66666666666666,6,2,66.66666666666666,2,1,50.0,1,1,0.0,,,
12,MEANS,True,6,HOUSE,---YY,5,5,LLM,SMEAR,YYYY-,5,3,CSS,MAKES,GY-YG,3.0,3.0,LLM,MEATS,GGG-G,1.0,1.0,CSS,MEALS,GGG-G,1.0,1.0,LLM,MEANS,GGGGG,0.0,0.0,CSS,5629,463,91.77473796411441,463,17,96.32829373650108,17,3,82.35294117647058,3,2,33.33333333333333,2,1,50.0,1,1,0.0
