game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6
1,PHOTO,True,3,HOUSE,YY---,5,4,LLM,CHOIR,-GG--,3,3,CSS,PHOTO,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,43,99.236098774205,43,6,86.04651162790698,6,1,83.33333333333334,,,,,,,,,
2,PARTY,True,3,HOUSE,-----,5,5,LLM,NAIRA,-G-Y-,4,4,CSS,PARTY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,694,87.67098951856458,694,10,98.55907780979827,10,1,90.0,,,,,,,,,
3,TRICK,True,4,HOUSE,-----,5,5,LLM,DARLA,--Y--,5,5,CSS,BRICK,-GGGG,1.0,1.0,LLM,TRICK,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,694,87.67098951856458,694,26,96.25360230547551,26,4,84.61538461538461,4,1,75.0,,,,,,
4,DIRTY,True,3,HOUSE,-----,5,5,LLM,PRINT,-YY-Y,5,4,CSS,DIRTY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,694,87.67098951856458,694,7,98.9913544668588,7,1,85.71428571428571,,,,,,,,,
5,USUAL,True,4,THERE,-----,5,5,LLM,LOANS,Y-Y-Y,5,5,CSS,SALAD,Y-YG-,4.0,4.0,LLM,USUAL,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,1280,77.2606146740096,1280,15,98.828125,15,1,93.33333333333333,1,1,0.0,,,,,,
6,TRULY,True,3,HOUSE,--G--,4,4,LLM,PAULI,--GG-,3,3,CSS,TRULY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,50,99.1117427607035,50,1,98.0,1,1,0.0,,,,,,,,,
7,SPENT,True,5,HOUSE,---YY,5,5,LLM,REELS,--G-Y,4,4,CSS,STEAK,GYG--,3.0,3.0,LLM,SWEPT,G-GYG,2.0,2.0,CSS,SPENT,GGGGG,0.0,0.0,LLM,,,,,,5629,463,91.77473796411441,463,16,96.54427645788337,16,3,81.25,3,1,66.66666666666666,1,1,0.0,,,
8,PAUSE,True,3,HOUSE,--GGG,2,2,LLM,ABUSE,Y-GGG,2,2,CSS,PAUSE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,6,99.89340913128441,6,2,66.66666666666666,2,1,50.0,,,,,,,,,
9,CRAZY,True,3,HOUSE,-----,5,5,LLM,TRACI,-GGY-,3,3,CSS,CRAZY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,694,87.67098951856458,694,6,99.13544668587896,6,1,83.33333333333334,,,,,,,,,
10,BASES,True,6,HOUSE,---YY,5,4,LLM,SPEND,Y-Y--,5,5,CSS,TEARS,-YY-G,4.0,4.0,LLM,MALES,-G-GG,2.0,2.0,CSS,CASES,-GGGG,1.0,1.0,LLM,BASES,GGGGG,0.0,0.0,CSS,5629,463,91.77473796411441,463,188,59.395248380129594,188,38,79.7872340425532,38,20,47.368421052631575,20,4,80.0,4,1,75.0
