game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6
1,PHOTO,True,3,START,-Y---,5,5,LLM,TONED,YY---,5,5,CSS,PHOTO,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,166,97.05098596553562,166,7,95.78313253012048,7,1,85.71428571428571,,,,,,,,,
2,PARTY,True,4,STATE,--YG-,4,4,LLM,PONTA,G--GY,3,3,CSS,PARTI,GGGG-,1.0,1.0,LLM,PARTY,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,35,99.37821993249246,35,2,94.28571428571428,2,1,50.0,1,1,0.0,,,,,,
3,TRICK,True,4,BEING,--G--,4,4,LLM,SAITH,--GY-,4,4,CSS,TRIPP,GGG--,2.0,2.0,LLM,TRICK,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,175,96.89109966246225,175,9,94.85714285714286,9,2,77.77777777777779,2,1,50.0,,,,,,
4,DIRTY,True,3,NOISE,--Y--,5,5,LLM,TAHIR,Y--YY,5,5,CSS,DIRTY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,259,95.39882750044413,259,1,99.61389961389962,1,1,0.0,,,,,,,,,
5,USUAL,True,4,STATE,Y-Y--,5,4,LLM,RAILS,-Y-YY,5,5,CSS,ASLAN,-GYG-,3.0,3.0,LLM,USUAL,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,208,96.30484988452656,208,3,98.5576923076923,3,1,66.66666666666666,1,1,0.0,,,,,,
6,TRULY,True,3,EVERY,---YG,4,4,LLM,TARDY,G-Y-G,3,3,CSS,TRULY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,62,98.89856102327234,62,1,98.38709677419355,1,1,0.0,,,,,,,,,
7,SPENT,True,2,THERE,Y-G--,4,4,LLM,SPENT,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,,5629,34,99.39598507727838,34,1,97.05882352941177,,,,,,,,,,,,
8,PAUSE,True,4,NOTCH,-----,5,5,LLM,AISLE,Y-Y-G,4,3,CSS,SPARE,YYY-G,4.0,3.0,LLM,PAUSE,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,1503,73.2989873867472,1503,10,99.3346640053227,10,1,90.0,1,1,0.0,,,,,,
9,CRAZY,True,5,TALES,-Y---,5,5,LLM,ARIAN,YG---,4,4,CSS,BRAVO,-GG--,3.0,3.0,LLM,GRADY,-GG-G,2.0,2.0,CSS,CRAZY,GGGGG,0.0,0.0,LLM,,,,,,5629,310,94.4928051163617,310,15,95.16129032258065,15,7,53.333333333333336,7,1,85.71428571428571,1,1,0.0,,,
10,BASES,False,6,NOTCH,-----,5,5,LLM,ARIES,Y--GG,3,3,CSS,MAKES,-G-GG,2.0,2.0,LLM,SAGES,YG-GG,2.0,2.0,CSS,EASES,-GGGG,1.0,1.0,LLM,VASES,-GGGG,1.0,1.0,CSS,5629,1503,73.2989873867472,1503,37,97.53825681969394,37,23,37.83783783783784,23,3,86.95652173913044,3,2,33.33333333333333,2,1,50.0
11,YOUNG,True,4,ALERT,-----,5,5,LLM,COINS,-G-G-,3,3,CSS,FOUND,-GGG-,2.0,2.0,LLM,YOUNG,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,485,91.38390477882395,485,12,97.52577319587628,12,1,91.66666666666666,1,1,0.0,,,,,,
