game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6
1,PHOTO,True,4,STILL,-Y---,5,5,LLM,TETRA,Y----,5,5,CSS,COUNT,-Y--Y,5.0,5.0,LLM,PHOTO,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,435,92.27216201812045,435,17,96.0919540229885,17,2,88.23529411764706,2,1,50.0,,,,,,
2,PARTY,True,6,AVOID,Y----,5,5,LLM,CRATE,-YYG-,4,4,CSS,MARTA,-GGG-,2.0,2.0,LLM,BARTH,-GGG-,2.0,2.0,CSS,PARTS,GGGG-,1.0,1.0,LLM,PARTY,GGGGG,0.0,0.0,CSS,5629,1124,80.03197726061467,1124,12,98.93238434163702,12,8,33.33333333333333,8,6,25.0,6,1,83.33333333333334,1,1,0.0
3,TRICK,True,4,NOTCH,--YG-,4,4,LLM,REACT,Y--GY,4,4,CSS,TRUCK,GG-GG,1.0,1.0,LLM,TRICK,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,21,99.62693195949547,21,2,90.47619047619048,2,1,50.0,1,1,0.0,,,,,,
4,DIRTY,True,5,ABOUT,----Y,5,5,LLM,TRICK,YYY--,5,5,CSS,LITRE,-GYY-,4.0,4.0,LLM,MIRTH,-GGG-,2.0,2.0,CSS,DIRTY,GGGGG,0.0,0.0,LLM,,,,,,5629,246,95.62977438266121,246,13,94.71544715447155,13,6,53.84615384615385,6,1,83.33333333333334,1,1,0.0,,,
5,USUAL,True,4,COWER,-----,5,5,LLM,PANTS,-Y--Y,5,5,CSS,ASSAY,-G-G-,3.0,3.0,LLM,USUAL,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,1028,81.73743116006395,1028,35,96.59533073929961,35,2,94.28571428571428,2,1,50.0,,,,,,
6,TRULY,True,5,ABOUT,---YY,5,5,LLM,TRUCK,GGG--,2,2,CSS,TRUTH,GGG--,2.0,2.0,LLM,TRUDY,GGG-G,1.0,1.0,CSS,TRULY,GGGGG,0.0,0.0,LLM,,,,,,5629,81,98.56102327233967,81,6,92.5925925925926,6,5,16.666666666666664,5,1,80.0,1,1,0.0,,,
7,SPENT,True,3,THERE,Y-G--,4,4,LLM,AGENT,--GGG,2,2,CSS,SPENT,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,34,99.39598507727838,34,3,91.17647058823529,3,1,66.66666666666666,,,,,,,,,
8,PAUSE,True,4,WATER,-G-Y-,4,4,LLM,LANGE,-G--G,3,3,CSS,MAUDE,-GG-G,2.0,2.0,LLM,PAUSE,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,69,98.77420500977084,69,17,75.36231884057972,17,3,82.35294117647058,3,1,66.66666666666666,,,,,,
9,CRAZY,True,6,ALERT,Y--Y-,5,5,LLM,SARAN,-YY--,5,4,CSS,CRAIG,GGG--,2.0,2.0,LLM,CRACK,GGG--,2.0,2.0,CSS,CRAMP,GGG--,2.0,2.0,LLM,CRAZY,GGGGG,0.0,0.0,CSS,5629,256,95.45212293480192,256,26,89.84375,26,4,84.61538461538461,4,3,25.0,3,2,33.33333333333333,2,1,50.0
10,BASES,True,3,STATE,Y-Y-Y,5,4,LLM,LASER,-GGG-,2,2,CSS,BASES,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,115,97.95700834961805,115,10,91.30434782608695,10,1,90.0,,,,,,,,,
11,YOUNG,True,4,THERE,-----,5,5,LLM,ISLAM,-----,5,5,CSS,FOUND,-GGG-,2.0,2.0,LLM,YOUNG,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,1280,77.2606146740096,1280,58,95.46875,58,1,98.27586206896551,1,1,0.0,,,,,,
12,MEANS,True,5,AVOID,Y----,5,5,LLM,PARTY,-Y---,5,5,CSS,KHANS,--GGG,2.0,2.0,LLM,LEANS,-GGGG,1.0,1.0,CSS,MEANS,GGGGG,0.0,0.0,LLM,,,,,,5629,1124,80.03197726061467,1124,170,84.87544483985765,170,7,95.88235294117648,7,3,57.14285714285714,3,1,66.66666666666666,,,
13,TRUTH,True,2,STATE,-Y-G-,4,4,LLM,TRUTH,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,,5629,21,99.62693195949547,21,1,95.23809523809523,,,,,,,,,,,,
14,FIRED,True,3,OTHER,---GY,4,4,LLM,ACRES,--GG-,3,3,CSS,FIRED,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,108,98.08136436311956,108,10,90.74074074074075,10,1,90.0,,,,,,,,,
15,FOLKS,True,4,THERE,-----,5,5,LLM,DUCKS,---GG,3,3,CSS,BOOKS,-G-GG,2.0,2.0,LLM,FOLKS,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,1280,77.2606146740096,1280,17,98.671875,17,4,76.47058823529412,4,1,75.0,,,,,,
16,CHILE,True,5,BEING,-YG--,4,4,LLM,ARIES,--GY-,4,4,CSS,ELITE,-YG-G,3.0,3.0,LLM,WHILE,-GGGG,1.0,1.0,CSS,CHILE,GGGGG,0.0,0.0,LLM,,,,,,5629,100,98.223485521407,100,19,81.0,19,2,89.47368421052632,2,1,50.0,1,1,0.0,,,
17,BLACK,True,3,FOCUS,--Y--,5,5,LLM,CHILE,Y--Y-,5,5,CSS,BLACK,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,268,95.23894119737076,268,2,99.25373134328358,2,1,50.0,,,,,,,,,
18,GRANT,True,3,THING,Y--GY,4,4,LLM,AGENT,YY-GG,3,3,CSS,GRANT,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,5,99.91117427607034,5,2,60.0,2,1,50.0,,,,,,,,,
19,MEALS,True,4,SOMEH,Y-YY-,5,5,LLM,MEANS,GGG-G,1,1,CSS,MEATS,GGG-G,1.0,1.0,LLM,MEALS,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,24,99.57363652513767,24,3,87.5,3,2,33.33333333333333,2,1,50.0,,,,,,
20,CREAM,True,4,FOCUS,--Y--,5,5,LLM,BLACK,--YY-,5,5,CSS,CARED,GYYY-,4.0,3.0,LLM,CREAM,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,268,95.23894119737076,268,46,82.83582089552239,46,1,97.82608695652173,1,1,0.0,,,,,,
21,AWAKE,True,3,LEARN,-YG--,4,4,LLM,AGATE,G-G-G,2,2,CSS,AWAKE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,35,99.37821993249246,35,2,94.28571428571428,2,1,50.0,,,,,,,,,
22,OCCUR,True,5,ALARM,---Y-,5,5,LLM,HIRED,--Y--,5,5,CSS,PROOF,-YY--,5.0,5.0,LLM,ROBYN,YY---,5.0,5.0,CSS,OCCUR,GGGGG,0.0,0.0,LLM,,,,,,5629,689,87.75981524249423,689,76,88.96952104499275,76,7,90.78947368421053,7,1,85.71428571428571,1,1,0.0,,,
23,YEARS,False,6,PLACE,--G-Y,4,4,LLM,MEANS,-GG-G,2,2,CSS,HEARS,-GGGG,1.0,1.0,LLM,REARS,-GGGG,1.0,1.0,CSS,BEARS,-GGGG,1.0,1.0,LLM,SEARS,-GGGG,1.0,1.0,CSS,5629,55,99.02291703677385,55,19,65.45454545454545,19,8,57.89473684210527,8,7,12.5,7,6,14.285714285714285,6,5,16.666666666666664
24,GRADE,True,6,STILL,-----,5,5,LLM,RAMBO,YY---,5,4,CSS,AGREE,YYY-G,4.0,3.0,LLM,GRAVE,GGG-G,1.0,1.0,CSS,GRACE,GGG-G,1.0,1.0,LLM,GRADE,GGGGG,0.0,0.0,CSS,5629,1295,76.99413750222064,1295,75,94.20849420849422,75,5,93.33333333333333,5,4,20.0,4,3,25.0,3,1,66.66666666666666
25,CHILL,True,4,LATER,Y----,5,5,LLM,FOLKS,--Y--,5,5,CSS,CHILD,GGGG-,1.0,1.0,LLM,CHILL,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,213,96.21602416059692,213,25,88.26291079812206,25,2,92.0,2,1,50.0,,,,,,
26,FLOOD,True,5,BEING,-----,5,5,LLM,PRAYS,-----,5,5,CSS,MUCHO,----Y,5.0,5.0,LLM,LOLOL,YY-G-,4.0,3.0,CSS,FLOOD,GGGGG,0.0,0.0,LLM,,,,,,5629,1133,79.8720909575413,1133,39,96.55781112091792,39,4,89.74358974358975,4,1,75.0,1,1,0.0,,,
27,APPLY,True,4,ABOUT,G----,4,4,LLM,ARIES,G----,4,4,CSS,ALPHA,GYG--,3.0,3.0,LLM,APPLY,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,176,96.87333451767633,176,23,86.93181818181817,23,2,91.30434782608695,2,1,50.0,,,,,,
28,SMILE,True,3,STATE,G---G,3,3,LLM,SPIRE,G-G-G,2,2,CSS,SMILE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,47,99.1650381950613,47,9,80.85106382978722,9,1,88.88888888888889,,,,,,,,,
29,KNOCK,True,4,THOSE,--G--,4,4,LLM,FLOOD,--G--,4,4,CSS,GROUP,--G--,4.0,4.0,LLM,KNOCK,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,109,98.06359921833364,109,32,70.64220183486239,32,4,87.5,4,1,75.0,,,,,,
30,SLEEP,True,4,OTHER,---G-,4,4,LLM,BASES,--YG-,4,4,CSS,SEVEN,GY-G-,3.0,3.0,LLM,SLEEP,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,314,94.42174453721798,314,11,96.4968152866242,11,4,63.63636363636363,4,1,75.0,,,,,,
31,BRICK,True,3,STILL,--G--,4,4,LLM,CAINE,Y-G--,4,4,CSS,BRICK,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,171,96.96216024160597,171,7,95.90643274853801,7,1,85.71428571428571,,,,,,,,,
32,WROTE,True,4,STILL,-Y---,5,5,LLM,GAUNT,----Y,5,5,CSS,VOTER,-YYYY,5.0,3.0,LLM,WROTE,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,435,92.27216201812045,435,86,80.22988505747126,86,2,97.67441860465115,2,1,50.0,,,,,,
33,RATED,False,6,ABOVE,Y---Y,5,5,LLM,RENAL,GY-Y-,4,4,CSS,RACER,GG-G-,2.0,2.0,LLM,RAKES,GG-G-,2.0,2.0,CSS,RAGED,GG-GG,1.0,1.0,LLM,RAZED,GG-GG,1.0,1.0,CSS,5629,427,92.41428317640789,427,14,96.72131147540983,14,9,35.714285714285715,9,4,55.55555555555556,4,3,25.0,3,2,33.33333333333333
34,ALERT,True,4,NOTCH,--Y--,5,5,LLM,SMELT,--GYG,3,3,CSS,FLEET,-GG-G,2.0,2.0,LLM,ALERT,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,437,92.23663172854859,437,3,99.31350114416476,3,1,66.66666666666666,1,1,0.0,,,,,,
