game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6
1,PHOTO,True,3,CRATE,---G-,4,4,LLM,BOOTY,-YGG-,3,3,CSS,PHOTO,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,107,98.09912950790549,107,1,99.06542056074767,1,1,0.0,,,,,,,,,
2,PARTY,True,4,CRATE,-YYG-,4,4,LLM,PARTI,GGGG-,1,1,CSS,PARTS,GGGG-,1.0,1.0,LLM,PARTY,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,19,99.66246224906733,19,2,89.47368421052632,2,1,50.0,1,1,0.0,,,,,,
3,TRICK,True,2,CHOSE,Y----,5,5,LLM,TRICK,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,,5629,80,98.5787884171256,80,1,98.75,,,,,,,,,,,,
4,DIRTY,True,6,AFTER,--Y-Y,5,5,LLM,GROOT,-Y--Y,5,5,CSS,STIRS,-YYY-,5.0,4.0,LLM,TURIN,Y-GY-,4.0,4.0,CSS,MIRTH,-GGG-,2.0,2.0,LLM,DIRTY,GGGGG,0.0,0.0,CSS,5629,98,98.25901581097885,98,16,83.6734693877551,16,5,68.75,5,4,20.0,4,1,75.0,1,1,0.0
5,USUAL,True,3,BASED,-YY--,5,5,LLM,SOCAL,Y--GG,3,3,CSS,USUAL,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,255,95.46988807958785,255,1,99.6078431372549,1,1,0.0,,,,,,,,,
6,TRULY,True,5,GIVEN,-----,5,5,LLM,MYRRH,-YY--,5,5,CSS,RODDY,Y---G,4.0,4.0,LLM,ARTSY,-GY-G,3.0,3.0,CSS,TRULY,GGGGG,0.0,0.0,LLM,,,,,,5629,1299,76.92307692307693,1299,22,98.30638953040801,22,4,81.81818181818183,4,1,75.0,1,1,0.0,,,
7,SPENT,True,5,THEME,Y-G--,4,4,LLM,FRETS,--GYY,4,4,CSS,STEAK,GYG--,3.0,3.0,LLM,SCENT,G-GGG,1.0,1.0,CSS,SPENT,GGGGG,0.0,0.0,LLM,,,,,,5629,46,99.18280333984723,46,14,69.56521739130434,14,5,64.28571428571429,5,1,80.0,1,1,0.0,,,
8,PAUSE,True,5,GIVEN,---Y-,5,5,LLM,REACH,-YY--,5,5,CSS,BASED,-GYY-,4.0,3.0,LLM,FALSE,-G-GG,2.0,2.0,CSS,PAUSE,GGGGG,0.0,0.0,LLM,,,,,,5629,743,86.800497424054,743,48,93.53970390309556,48,4,91.66666666666666,4,1,75.0,1,1,0.0,,,
9,CRAZY,True,2,CRATE,GGG--,2,2,LLM,CRAZY,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,,5629,11,99.80458340735477,11,1,90.9090909090909,,,,,,,,,,,,
10,BASES,True,4,LARGE,-G--Y,4,4,LLM,DANES,-G-GG,2,2,CSS,BAKES,GG-GG,1.0,1.0,LLM,BASES,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,109,98.06359921833364,109,40,63.30275229357798,40,3,92.5,3,1,66.66666666666666,,,,,,
11,YOUNG,True,4,BASED,-----,5,5,LLM,FUNNY,-Y-GY,4,4,CSS,YEOLD,G-Y--,4.0,4.0,LLM,YOUNG,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,547,90.28246580209628,547,4,99.26873857404021,4,1,75.0,1,1,0.0,,,,,,
12,MEANS,True,6,GIVEN,---YY,5,5,LLM,SNEAK,YYYY-,5,4,CSS,GUESS,--Y-G,4.0,4.0,LLM,DEANS,-GGGG,1.0,1.0,CSS,LEANS,-GGGG,1.0,1.0,LLM,MEANS,GGGGG,0.0,0.0,CSS,5629,189,96.64238763545923,189,8,95.76719576719577,8,7,12.5,7,4,42.857142857142854,4,3,25.0,3,1,66.66666666666666
13,TRUTH,True,5,GUESS,-Y---,5,5,LLM,ACURA,--GY-,4,4,CSS,TRULY,GGG--,2.0,2.0,LLM,TRUNK,GGG--,2.0,2.0,CSS,TRUTH,GGGGG,0.0,0.0,LLM,,,,,,5629,154,97.26416770296677,154,12,92.20779220779221,12,3,75.0,3,2,33.33333333333333,2,1,50.0,,,
14,FIRED,True,6,GUESS,--Y--,5,5,LLM,HENRI,-Y-YY,5,5,CSS,TRIER,-YYG-,4.0,4.0,LLM,AIRED,-GGGG,1.0,1.0,CSS,MIRED,-GGGG,1.0,1.0,LLM,FIRED,GGGGG,0.0,0.0,CSS,5629,1121,80.08527269497246,1121,61,94.55842997323818,61,6,90.1639344262295,6,3,50.0,3,2,33.33333333333333,2,1,50.0
15,FOLKS,True,5,GUESS,----G,4,4,LLM,FAILS,G--YG,3,3,CSS,FLOWS,GYY-G,3.0,3.0,LLM,FOLDS,GGG-G,1.0,1.0,CSS,FOLKS,GGGGG,0.0,0.0,LLM,,,,,,5629,393,93.01829809912951,393,4,98.9821882951654,4,2,50.0,2,1,50.0,1,1,0.0,,,
16,CHILE,True,6,BASED,---Y-,5,5,LLM,NEELY,-Y-G-,4,4,CSS,TITLE,-Y-GG,3.0,3.0,LLM,GUILE,--GGG,2.0,2.0,CSS,WHILE,-GGGG,1.0,1.0,LLM,CHILE,GGGGG,0.0,0.0,CSS,5629,451,91.98791970154558,451,12,97.33924611973393,12,3,75.0,3,2,33.33333333333333,2,1,50.0,1,1,0.0
17,BLACK,True,4,AFTER,Y----,5,5,LLM,SAUCY,-Y-G-,4,4,CSS,CLACK,-GGGG,1.0,1.0,LLM,BLACK,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,677,87.97299697992538,677,8,98.81831610044313,8,1,87.5,1,1,0.0,,,,,,
18,GRANT,True,4,AFTER,Y-Y-Y,5,5,LLM,TRYNA,YG-GY,3,3,CSS,BRANT,-GGGG,1.0,1.0,LLM,GRANT,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,69,98.77420500977084,69,2,97.10144927536231,2,1,50.0,1,1,0.0,,,,,,
