game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6
1,PHOTO,True,3,HOUSE,YY---,5,4,LLM,CHOIR,-GG--,3,3,CSS,PHOTO,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,43,99.236098774205,43,6,86.04651162790698,6,1,83.33333333333334,,,,,,,,,
2,PARTY,True,4,HOUSE,-----,5,5,LLM,LATIN,-GY--,4,4,CSS,TAMAR,YG--Y,4.0,4.0,LLM,PARTY,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,694,87.67098951856458,694,15,97.8386167146974,15,1,93.33333333333333,1,1,0.0,,,,,,
3,TRICK,True,4,HOUSE,-----,5,5,LLM,MARTA,--YY-,5,5,CSS,TRILL,GGG--,2.0,2.0,LLM,TRICK,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,694,87.67098951856458,694,9,98.70317002881845,9,2,77.77777777777779,2,1,50.0,,,,,,
4,DIRTY,True,3,HOUSE,-----,5,5,LLM,CRYPT,-YY-Y,5,5,CSS,DIRTY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,694,87.67098951856458,694,3,99.56772334293949,3,1,66.66666666666666,,,,,,,,,
5,USUAL,True,3,HOUSE,--GY-,4,4,LLM,SAULT,YYGY-,4,4,CSS,USUAL,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,47,99.1650381950613,47,1,97.87234042553192,1,1,0.0,,,,,,,,,
6,TRULY,True,5,HOUSE,--G--,4,4,LLM,BRUNT,-GG-Y,3,3,CSS,TRUCK,GGG--,2.0,2.0,LLM,TRUDY,GGG-G,1.0,1.0,CSS,TRULY,GGGGG,0.0,0.0,LLM,,,,,,5629,50,99.1117427607035,50,4,92.0,4,3,25.0,3,1,66.66666666666666,1,1,0.0,,,
7,SPENT,True,4,HOUSE,---YY,5,5,LLM,TALES,Y--YY,5,5,CSS,STENT,G-GGG,1.0,1.0,LLM,SPENT,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,463,91.77473796411441,463,7,98.48812095032397,7,2,71.42857142857143,2,1,50.0,,,,,,
8,PAUSE,True,2,HOUSE,--GGG,2,2,LLM,PAUSE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,,5629,6,99.89340913128441,6,1,83.33333333333334,,,,,,,,,,,,
9,CRAZY,True,4,HOUSE,-----,5,5,LLM,PARTY,-YY-G,4,4,CSS,GRADY,-GG-G,2.0,2.0,LLM,CRAZY,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,694,87.67098951856458,694,7,98.9913544668588,7,1,85.71428571428571,1,1,0.0,,,,,,
10,BASES,False,6,HOUSE,---YY,5,4,LLM,SPENT,Y-Y--,5,5,CSS,STINT,Y----,5.0,5.0,LLM,LASER,-GGG-,2.0,2.0,CSS,EASES,-GGGG,1.0,1.0,LLM,GASES,-GGGG,1.0,1.0,CSS,5629,463,91.77473796411441,463,165,64.36285097192224,165,114,30.909090909090907,114,10,91.22807017543859,10,4,60.0,4,3,25.0
