game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6
1,PHOTO,True,4,HOUSE,YY---,5,4,LLM,CHOIR,-GG--,3,3,CSS,PHONY,GGG--,2.0,2.0,LLM,PHOTO,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,43,99.236098774205,43,6,86.04651162790698,6,1,83.33333333333334,1,1,0.0,,,,,,
2,PARTY,True,4,HOUSE,-----,5,5,LLM,TANYA,YG-Y-,4,4,CSS,MARTY,-GGGG,1.0,1.0,LLM,PARTY,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,694,87.67098951856458,694,8,98.84726224783861,8,1,87.5,1,1,0.0,,,,,,
3,TRICK,True,3,HOUSE,-----,5,5,LLM,TRIAD,GGG--,2,2,CSS,TRICK,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,694,87.67098951856458,694,3,99.56772334293949,3,1,66.66666666666666,,,,,,,,,
4,DIRTY,True,3,HOUSE,-----,5,5,LLM,DARIN,G-GY-,3,3,CSS,DIRTY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,694,87.67098951856458,694,1,99.85590778097982,1,1,0.0,,,,,,,,,
5,USUAL,True,4,HOUSE,--GY-,4,4,LLM,SAULT,YYGY-,4,4,CSS,STUDS,Y-G--,4.0,4.0,LLM,USUAL,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,47,99.1650381950613,47,1,97.87234042553192,1,1,0.0,1,1,0.0,,,,,,
6,TRULY,True,5,HOUSE,--G--,4,4,LLM,BRUNT,-GG-Y,3,3,CSS,TRUCK,GGG--,2.0,2.0,LLM,TRUDY,GGG-G,1.0,1.0,CSS,TRULY,GGGGG,0.0,0.0,LLM,,,,,,5629,50,99.1117427607035,50,4,92.0,4,3,25.0,3,1,66.66666666666666,1,1,0.0,,,
7,SPENT,True,5,HOUSE,---YY,5,5,LLM,RATES,--YYY,5,5,CSS,STEIN,GYG-Y,3.0,3.0,LLM,SCENT,G-GGG,1.0,1.0,CSS,SPENT,GGGGG,0.0,0.0,LLM,,,,,,5629,463,91.77473796411441,463,9,98.0561555075594,9,2,77.77777777777779,2,1,50.0,1,1,0.0,,,
8,PAUSE,True,2,HOUSE,--GGG,2,2,LLM,PAUSE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,,5629,6,99.89340913128441,6,1,83.33333333333334,,,,,,,,,,,,
9,CRAZY,True,6,HOUSE,-----,5,5,LLM,LAIRD,-Y-Y-,5,5,CSS,GRAFT,-GG--,3.0,3.0,LLM,PRANK,-GG--,3.0,3.0,CSS,BRAVA,-GG--,3.0,3.0,LLM,CRAZY,GGGGG,0.0,0.0,CSS,5629,694,87.67098951856458,694,36,94.81268011527378,36,9,75.0,9,3,66.66666666666666,3,1,66.66666666666666,1,1,0.0
10,BASES,False,6,HOUSE,---YY,5,4,LLM,DARES,-G-GG,2,2,CSS,TAXES,-G-GG,2.0,2.0,LLM,CASES,-GGGG,1.0,1.0,CSS,GASES,-GGGG,1.0,1.0,LLM,EASES,-GGGG,1.0,1.0,CSS,5629,463,91.77473796411441,463,56,87.90496760259178,56,45,19.642857142857142,45,4,91.11111111111111,4,3,25.0,3,2,33.33333333333333
11,YOUNG,True,4,HOUSE,-GG--,3,3,LLM,MOUND,-GGG-,2,2,CSS,COUNT,-GGG-,2.0,2.0,LLM,YOUNG,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,18,99.68022739385326,18,2,88.88888888888889,2,1,50.0,1,1,0.0,,,,,,
12,MEANS,False,6,HOUSE,---YY,5,5,LLM,STEER,Y-Y--,5,5,CSS,EVANS,Y-GGG,2.0,2.0,LLM,DEANS,-GGGG,1.0,1.0,CSS,LEANS,-GGGG,1.0,1.0,LLM,JEANS,-GGGG,1.0,1.0,CSS,5629,463,91.77473796411441,463,50,89.20086393088553,50,5,90.0,5,4,20.0,4,3,25.0,3,2,33.33333333333333
13,TRUTH,True,4,HOUSE,Y-G--,4,4,LLM,THUNK,GYG--,3,3,CSS,HURTS,YYYG-,4.0,4.0,LLM,TRUTH,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,14,99.75128797299698,14,1,92.85714285714286,1,1,0.0,1,1,0.0,,,,,,
14,FIRED,True,3,HOUSE,----Y,5,5,LLM,DINER,YG-GY,3,3,CSS,FIRED,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,654,88.38159531000179,654,6,99.08256880733946,6,1,83.33333333333334,,,,,,,,,
15,FOLKS,True,6,HOUSE,-G-Y-,4,4,LLM,LOOMS,YG--G,3,3,CSS,GOALS,-G-YG,3.0,3.0,LLM,COLTS,-GG-G,2.0,2.0,CSS,YOLKS,-GGGG,1.0,1.0,LLM,FOLKS,GGGGG,0.0,0.0,CSS,5629,160,97.1575768342512,160,22,86.25,22,9,59.09090909090909,9,5,44.44444444444444,5,1,80.0,1,1,0.0
16,CHILE,True,4,HOUSE,Y---G,4,4,LLM,THINE,-GG-G,2,2,CSS,CHIME,GGG-G,1.0,1.0,LLM,CHILE,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,23,99.59140166992361,23,3,86.95652173913044,3,1,66.66666666666666,1,1,0.0,,,,,,
17,BLACK,True,4,HOUSE,-----,5,5,LLM,NAIRA,-Y---,5,5,CSS,ALKYL,YGY--,4.0,4.0,LLM,BLACK,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,694,87.67098951856458,694,16,97.69452449567724,16,3,81.25,3,1,66.66666666666666,,,,,,
18,GRANT,True,3,HOUSE,-----,5,5,LLM,TANIA,YYY--,5,4,CSS,GRANT,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,694,87.67098951856458,694,3,99.56772334293949,3,1,66.66666666666666,,,,,,,,,
19,MEALS,True,5,HOUSE,---YY,5,5,LLM,SEALS,-GGGG,1,1,CSS,DEALS,-GGGG,1.0,1.0,LLM,REALS,-GGGG,1.0,1.0,CSS,MEALS,GGGGG,0.0,0.0,LLM,,,,,,5629,463,91.77473796411441,463,3,99.35205183585313,3,2,33.33333333333333,2,1,50.0,1,1,0.0,,,
20,CREAM,True,6,HOUSE,----Y,5,5,LLM,EATER,YY--Y,5,5,CSS,GEARY,-YYY-,5.0,4.0,LLM,DREAM,-GGGG,1.0,1.0,CSS,BREAM,-GGGG,1.0,1.0,LLM,CREAM,GGGGG,0.0,0.0,CSS,5629,654,88.38159531000179,654,38,94.18960244648318,38,11,71.05263157894737,11,2,81.81818181818183,2,1,50.0,1,1,0.0
21,AWAKE,True,5,HOUSE,----G,4,4,LLM,RAINE,-Y--G,4,4,CSS,FLAME,--G-G,3.0,3.0,LLM,AGAVE,G-G-G,2.0,2.0,CSS,AWAKE,GGGGG,0.0,0.0,LLM,,,,,,5629,286,94.91916859122402,286,29,89.86013986013987,29,10,65.51724137931035,10,2,80.0,2,1,50.0,,,
22,OCCUR,True,4,HOUSE,-YY--,5,5,LLM,TUMOR,-Y-YG,4,4,CSS,FLOUR,--YGG,3.0,3.0,LLM,OCCUR,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,55,99.02291703677385,55,3,94.54545454545455,3,1,66.66666666666666,1,1,0.0,,,,,,
23,YEARS,True,4,HOUSE,---YY,5,5,LLM,AILES,Y--YG,4,4,CSS,GEARS,-GGGG,1.0,1.0,LLM,YEARS,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,463,91.77473796411441,463,36,92.22462203023758,36,10,72.22222222222221,10,1,90.0,,,,,,
24,GRADE,True,6,HOUSE,----G,4,4,LLM,CAINE,-Y--G,4,4,CSS,BLEAM,--YY-,5.0,5.0,LLM,DRAPE,YGG-G,2.0,2.0,CSS,TRADE,-GGGG,1.0,1.0,LLM,GRADE,GGGGG,0.0,0.0,CSS,5629,286,94.91916859122402,286,43,84.96503496503497,43,19,55.81395348837209,19,2,89.47368421052632,2,1,50.0,1,1,0.0
25,CHILL,True,3,HOUSE,Y----,5,5,LLM,CHART,GG---,3,3,CSS,CHILL,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,132,97.65500088825723,132,8,93.93939393939394,8,1,87.5,,,,,,,,,
26,FLOOD,True,4,HOUSE,-Y---,5,5,LLM,CARON,---G-,4,4,CSS,BLOOM,-GGG-,2.0,2.0,LLM,FLOOD,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,290,94.8481080120803,290,11,96.20689655172414,11,1,90.9090909090909,1,1,0.0,,,,,,
27,APPLY,True,5,HOUSE,-----,5,5,LLM,DIANA,--Y--,5,5,CSS,CAMRY,-Y--G,4.0,4.0,LLM,APTLY,GG-GG,1.0,1.0,CSS,APPLY,GGGGG,0.0,0.0,LLM,,,,,,5629,694,87.67098951856458,694,45,93.51585014409221,45,2,95.55555555555556,2,1,50.0,1,1,0.0,,,
28,SMILE,True,5,HOUSE,---YG,4,4,LLM,SPATE,G---G,3,3,CSS,SERGE,G---G,3.0,3.0,LLM,SLIDE,GYG-G,2.0,2.0,CSS,SMILE,GGGGG,0.0,0.0,LLM,,,,,,5629,65,98.84526558891456,65,16,75.38461538461539,16,7,56.25,7,1,85.71428571428571,1,1,0.0,,,
29,KNOCK,True,4,HOUSE,-Y---,5,5,LLM,TALON,---YY,5,5,CSS,PRONG,--GY-,4.0,4.0,LLM,KNOCK,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,290,94.8481080120803,290,15,94.82758620689656,15,1,93.33333333333333,1,1,0.0,,,,,,
30,SLEEP,True,5,HOUSE,---YY,5,5,LLM,ARIES,---GY,4,4,CSS,SLEET,GGGG-,1.0,1.0,LLM,SLEEK,GGGG-,1.0,1.0,CSS,SLEEP,GGGGG,0.0,0.0,LLM,,,,,,5629,463,91.77473796411441,463,17,96.32829373650108,17,2,88.23529411764706,2,1,50.0,1,1,0.0,,,
31,BRICK,True,4,HOUSE,-----,5,5,LLM,RAINA,Y-G--,4,4,CSS,PRICK,-GGGG,1.0,1.0,LLM,BRICK,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,694,87.67098951856458,694,21,96.97406340057637,21,4,80.95238095238095,4,1,75.0,,,,,,
