game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6
1,PHOTO,True,4,TELCO,Y---G,4,4,LLM,GITMO,--Y-G,4,4,CSS,KANTO,---GG,3.0,3.0,LLM,PHOTO,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,25,99.55587138035175,25,6,76.0,6,3,50.0,3,1,66.66666666666666,,,,,,
2,PARTY,True,3,FLYER,--Y-Y,5,5,LLM,DIRTY,--GGG,2,2,CSS,PARTY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,101,98.20572037662106,101,3,97.02970297029702,3,1,66.66666666666666,,,,,,,,,
3,TRICK,True,6,RIPON,YY---,5,4,LLM,ARIAS,-GG--,3,3,CSS,DRIED,-GG--,3.0,3.0,LLM,BRITT,-GGY-,3.0,3.0,CSS,TRILL,GGG--,2.0,2.0,LLM,TRICK,GGGGG,0.0,0.0,CSS,5629,164,97.08651625510748,164,38,76.82926829268293,38,14,63.1578947368421,14,2,85.71428571428571,2,1,50.0,1,1,0.0
4,DIRTY,True,4,JOANN,-----,5,5,LLM,STURT,-Y-Y-,5,4,CSS,BERTH,--GG-,3.0,3.0,LLM,DIRTY,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,1348,76.05258482856635,1348,34,97.47774480712165,34,1,97.05882352941177,1,1,0.0,,,,,,
5,USUAL,True,5,MOMMY,-----,5,5,LLM,CELLS,--Y-Y,5,5,CSS,ALISA,YY-Y-,5.0,5.0,LLM,SNARL,Y-Y-G,4.0,3.0,CSS,USUAL,GGGGG,0.0,0.0,LLM,,,,,,5629,2856,49.26274649138391,2856,29,98.98459383753502,29,5,82.75862068965517,5,1,80.0,1,1,0.0,,,
6,TRULY,True,4,BLANK,-Y---,5,5,LLM,SILLS,---G-,4,4,CSS,GOULD,--GG-,3.0,3.0,LLM,TRULY,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,413,92.6629952034109,413,26,93.7046004842615,26,2,92.3076923076923,2,1,50.0,,,,,,
7,SPENT,True,5,LAGER,---Y-,5,5,LLM,SEEIN,G-G-Y,3,3,CSS,SCENT,G-GGG,1.0,1.0,LLM,STENT,G-GGG,1.0,1.0,CSS,SPENT,GGGGG,0.0,0.0,LLM,,,,,,5629,386,93.14265411263102,386,4,98.96373056994818,4,2,50.0,2,1,50.0,1,1,0.0,,,
8,PAUSE,True,6,SIXTY,Y----,5,5,LLM,LEEDS,-Y--Y,5,5,CSS,CHASE,--YGG,3.0,3.0,LLM,MASSE,-G-GG,2.0,2.0,CSS,PARSE,GG-GG,1.0,1.0,LLM,PAUSE,GGGGG,0.0,0.0,CSS,5629,751,86.65837626576656,751,44,94.14114513981359,44,6,86.36363636363636,6,2,66.66666666666666,2,1,50.0,1,1,0.0
9,CRAZY,True,4,VEDAS,---Y-,5,5,LLM,MANNY,-Y--G,4,4,CSS,TRACY,-GGYG,2.0,2.0,LLM,CRAZY,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,631,88.79019364007816,631,8,98.73217115689383,8,1,87.5,1,1,0.0,,,,,,
10,BASES,True,2,NESTS,-YG-G,3,3,LLM,BASES,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,,5629,19,99.66246224906733,19,1,94.73684210526315,,,,,,,,,,,,
11,YOUNG,True,3,HAGEN,--Y-Y,5,5,LLM,ICING,---GG,3,3,CSS,YOUNG,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,62,98.89856102327234,62,11,82.25806451612904,11,1,90.9090909090909,,,,,,,,,
12,MEANS,False,6,FORTH,-----,5,5,LLM,CUPPA,----Y,5,5,CSS,DAWNS,-Y-GG,3.0,3.0,LLM,LEANS,-GGGG,1.0,1.0,CSS,BEANS,-GGGG,1.0,1.0,LLM,JEANS,-GGGG,1.0,1.0,CSS,5629,1504,73.28122224196127,1504,445,70.4122340425532,445,5,98.87640449438202,5,3,40.0,3,2,33.33333333333333,2,1,50.0
13,TRUTH,True,3,CREPT,-G--Y,4,4,LLM,FROTH,-G-GG,2,2,CSS,TRUTH,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,38,99.32492449813466,38,2,94.73684210526315,2,1,50.0,,,,,,,,,
14,FIRED,True,5,WORST,--G--,4,4,LLM,MARIE,--GYY,4,4,CSS,VERDI,-YGYY,4.0,4.0,LLM,HIRED,-GGGG,1.0,1.0,CSS,FIRED,GGGGG,0.0,0.0,LLM,,,,,,5629,180,96.80227393853261,180,4,97.77777777777777,4,2,50.0,2,1,50.0,1,1,0.0,,,
15,FOLKS,True,5,PORTA,-G---,4,4,LLM,HOLES,-GG-G,2,2,CSS,MOLDS,-GG-G,2.0,2.0,LLM,SOLIS,-GG-G,2.0,2.0,CSS,FOLKS,GGGGG,0.0,0.0,LLM,,,,,,5629,344,93.88879019364008,344,10,97.09302325581395,10,5,50.0,5,3,40.0,3,1,66.66666666666666,,,
16,CHILE,True,4,BLOOD,-Y---,5,5,LLM,CELTS,GYY--,4,4,CSS,CAMEL,G--YY,4.0,4.0,LLM,CHILE,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,604,89.26985254929828,604,4,99.33774834437085,4,2,50.0,2,1,50.0,,,,,,
17,BLACK,True,3,GEICO,---G-,4,4,LLM,LUCCA,Y--GY,4,4,CSS,BLACK,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,56,99.00515189198792,56,3,94.64285714285714,3,1,66.66666666666666,,,,,,,,,
18,GRANT,True,3,VERDE,--Y--,5,5,LLM,ROGAN,Y-YYY,5,4,CSS,GRANT,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,546,90.30023094688222,546,1,99.81684981684981,1,1,0.0,,,,,,,,,
19,MEALS,True,5,DROVE,----Y,5,5,LLM,LENIN,YG---,4,4,CSS,CELTA,-GY-Y,4.0,4.0,LLM,HEALY,-GGG-,2.0,2.0,CSS,MEALS,GGGGG,0.0,0.0,LLM,,,,,,5629,622,88.95007994315154,622,47,92.44372990353698,47,6,87.2340425531915,6,2,66.66666666666666,2,1,50.0,,,
20,CREAM,True,3,ADEPT,Y-G--,4,4,LLM,MEENA,Y-G-Y,4,4,CSS,CREAM,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,32,99.43151536685025,32,4,87.5,4,1,75.0,,,,,,,,,
21,AWAKE,True,5,OPIUM,-----,5,5,LLM,ALGAL,G--Y-,4,4,CSS,ABATE,G-G-G,2.0,2.0,LLM,AWARE,GGG-G,1.0,1.0,CSS,AWAKE,GGGGG,0.0,0.0,LLM,,,,,,5629,1425,74.68466868004974,1425,17,98.80701754385966,17,2,88.23529411764706,2,1,50.0,1,1,0.0,,,
22,OCCUR,True,3,FORUM,-YYG-,4,4,LLM,PROUD,-YYG-,4,4,CSS,OCCUR,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,8,99.85787884171256,8,1,87.5,1,1,0.0,,,,,,,,,
23,YEARS,True,3,HENRI,-G-G-,3,3,LLM,KERRY,-G-GY,3,3,CSS,YEARS,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,49,99.12950790548943,49,1,97.95918367346938,1,1,0.0,,,,,,,,,
24,GRADE,True,3,NEEDS,-Y-G-,4,4,LLM,BLADE,--GGG,2,2,CSS,GRADE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,23,99.59140166992361,23,2,91.30434782608695,2,1,50.0,,,,,,,,,
25,CHILL,True,6,QUEST,-----,5,5,LLM,DADDY,-----,5,5,CSS,GRONK,-----,5.0,5.0,LLM,CIVIC,GY---,4.0,4.0,CSS,CLIFF,GYG--,3.0,3.0,LLM,CHILL,GGGGG,0.0,0.0,CSS,5629,1138,79.78326523361166,1138,215,81.10720562390158,215,19,91.16279069767442,19,4,78.94736842105263,4,1,75.0,1,1,0.0
26,FLOOD,True,5,BRITS,-----,5,5,LLM,WHALE,---Y-,5,5,CSS,NYLON,--YG-,4.0,4.0,LLM,GOGOL,-Y-GY,4.0,4.0,CSS,FLOOD,GGGGG,0.0,0.0,LLM,,,,,,5629,914,83.76265766565997,914,34,96.2800875273523,34,3,91.17647058823529,3,1,66.66666666666666,1,1,0.0,,,
27,APPLY,True,5,TRENT,-----,5,5,LLM,SAKHO,-Y---,5,5,CSS,PLAID,YYY--,5.0,5.0,LLM,AMPLY,G-GGG,1.0,1.0,CSS,APPLY,GGGGG,0.0,0.0,LLM,,,,,,5629,1028,81.73743116006395,1028,71,93.09338521400778,71,2,97.1830985915493,2,1,50.0,1,1,0.0,,,
28,SMILE,True,6,ALGER,-Y-Y-,5,5,LLM,DELFT,-YY--,5,5,CSS,LYNNE,Y---G,4.0,4.0,LLM,ECOLE,---GG,3.0,3.0,CSS,WHILE,--GGG,2.0,2.0,LLM,SMILE,GGGGG,0.0,0.0,CSS,5629,152,97.29969799253864,152,35,76.97368421052632,35,9,74.28571428571429,9,3,66.66666666666666,3,1,66.66666666666666,1,1,0.0
