game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6
1,PHOTO,True,4,VASCO,----G,4,4,LLM,NITRO,--Y-G,4,4,CSS,KYOTO,--GGG,2.0,2.0,LLM,PHOTO,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,108,98.08136436311956,108,5,95.37037037037037,5,1,80.0,1,1,0.0,,,,,,
2,PARTY,True,4,RATES,YGY--,4,4,LLM,MARTI,-GGG-,2,2,CSS,GARTH,-GGG-,2.0,2.0,LLM,PARTY,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,18,99.68022739385326,18,5,72.22222222222221,5,2,60.0,2,1,50.0,,,,,,
3,TRICK,True,4,OATES,--Y--,5,5,LLM,GRUNT,-G--Y,4,4,CSS,TRIPP,GGG--,2.0,2.0,LLM,TRICK,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,92,98.36560667969444,92,5,94.56521739130434,5,2,60.0,2,1,50.0,,,,,,
4,DIRTY,True,3,AIRES,-GG--,3,3,LLM,BIRTH,-GGG-,2,2,CSS,DIRTY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,13,99.76905311778292,13,1,92.3076923076923,1,1,0.0,,,,,,,,,
5,USUAL,True,3,ARISE,Y--Y-,5,5,LLM,SALTS,YYY--,5,4,CSS,USUAL,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,271,95.18564576301297,271,2,99.2619926199262,2,1,50.0,,,,,,,,,
6,TRULY,True,3,OATES,--Y--,5,5,LLM,DIRTY,--YYG,4,4,CSS,TRULY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,92,98.36560667969444,92,1,98.91304347826086,1,1,0.0,,,,,,,,,
7,SPENT,True,3,EARLS,Y---Y,5,5,LLM,SEINE,GY-G-,3,3,CSS,SPENT,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,130,97.6905311778291,130,5,96.15384615384616,5,1,80.0,,,,,,,,,
8,PAUSE,True,4,REALS,-YY-Y,5,4,LLM,SAWED,YG-Y-,4,4,CSS,CASTE,-GY-G,3.0,3.0,LLM,PAUSE,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,42,99.25386391899093,42,7,83.33333333333334,7,1,85.71428571428571,1,1,0.0,,,,,,
9,CRAZY,True,5,AISLE,Y----,5,5,LLM,HAMAD,-Y---,5,5,CSS,GRANT,-GG--,3.0,3.0,LLM,CRACK,GGG--,2.0,2.0,CSS,CRAZY,GGGGG,0.0,0.0,LLM,,,,,,5629,459,91.84579854325813,459,70,84.74945533769062,70,4,94.28571428571428,4,2,50.0,2,1,50.0,,,
10,BASES,True,6,RATES,-G-GG,2,2,LLM,MALES,-G-GG,2,2,CSS,CASES,-GGGG,1.0,1.0,LLM,VASES,-GGGG,1.0,1.0,CSS,EASES,-GGGG,1.0,1.0,LLM,BASES,GGGGG,0.0,0.0,CSS,5629,58,98.96962160241605,58,38,34.48275862068966,38,4,89.47368421052632,4,3,25.0,3,2,33.33333333333333,2,1,50.0
