game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6
1,PHOTO,True,4,GREEN,-----,5,5,LLM,BAILS,-----,5,5,CSS,GUESS,-----,5.0,5.0,LLM,PHOTO,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,1283,77.20731923965181,1283,59,95.40140296180826,59,30,49.152542372881356,30,1,96.66666666666667,,,,,,
2,PARTY,True,5,VOWEL,-----,5,5,LLM,SAINT,-G--Y,4,4,CSS,TATUM,YG---,4.0,4.0,LLM,BARTH,-GGG-,2.0,2.0,CSS,PARTY,GGGGG,0.0,0.0,LLM,,,,,,5629,1303,76.8520163439332,1303,32,97.544128933231,32,6,81.25,6,2,66.66666666666666,2,1,50.0,,,
3,TRICK,True,4,GUESS,-----,5,5,LLM,PONTA,---Y-,5,5,CSS,TIMID,GY---,4.0,4.0,LLM,TRICK,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,1270,77.43826612186889,1270,20,98.4251968503937,20,6,70.0,6,1,83.33333333333334,,,,,,
4,DIRTY,True,5,GUESS,-----,5,5,LLM,RABIN,Y--Y-,5,5,CSS,PRIMO,-YY--,5.0,5.0,LLM,FIRTH,-GGG-,2.0,2.0,CSS,DIRTY,GGGGG,0.0,0.0,LLM,,,,,,5629,1270,77.43826612186889,1270,30,97.63779527559055,30,3,90.0,3,1,66.66666666666666,1,1,0.0,,,
5,USUAL,True,4,LANES,YY--Y,5,5,LLM,STAHL,Y-Y-G,4,3,CSS,TREND,-----,5.0,5.0,LLM,USUAL,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,28,99.50257594599397,28,1,96.42857142857143,1,1,0.0,1,1,0.0,,,,,,
6,TRULY,True,5,START,-Y-Y-,5,5,LLM,TRIBE,GG---,3,3,CSS,TROOP,GG---,3.0,3.0,LLM,TRUNK,GGG--,2.0,2.0,CSS,TRULY,GGGGG,0.0,0.0,LLM,,,,,,5629,88,98.43666725883816,88,7,92.04545454545455,7,4,42.857142857142854,4,2,50.0,2,1,50.0,,,
7,SPENT,True,6,COULD,-----,5,5,LLM,MARES,---YY,5,5,CSS,SENSE,GYY--,4.0,3.0,LLM,STEIN,GYG-Y,3.0,3.0,CSS,STASH,GY---,4.0,4.0,LLM,SPENT,GGGGG,0.0,0.0,CSS,5629,1556,72.35743471309291,1556,38,97.55784061696659,38,5,86.8421052631579,5,1,80.0,1,1,0.0,1,1,0.0
8,PAUSE,True,3,RITES,---YY,5,5,LLM,SHALE,Y-Y-G,4,4,CSS,PAUSE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,110,98.0458340735477,110,5,95.45454545454545,5,1,80.0,,,,,,,,,
9,CRAZY,False,6,GUESS,-----,5,5,LLM,MARIA,-YY--,5,5,CSS,CRANK,GGG--,2.0,2.0,LLM,CRAWL,GGG--,2.0,2.0,CSS,CRAFT,GGG--,2.0,2.0,LLM,CRABB,GGG--,2.0,2.0,CSS,5629,1270,77.43826612186889,1270,57,95.51181102362204,57,4,92.98245614035088,4,3,25.0,3,2,33.33333333333333,2,1,50.0
10,BASES,True,3,GUESS,--YYG,4,4,LLM,SALES,YG-GG,2,2,CSS,BASES,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,52,99.07621247113164,52,4,92.3076923076923,4,1,75.0,,,,,,,,,
11,YOUNG,True,4,MIGHT,--Y--,5,5,LLM,GLARE,Y----,5,5,CSS,SONGS,-GYY-,4.0,3.0,LLM,YOUNG,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,224,96.02060756795167,224,9,95.98214285714286,9,2,77.77777777777779,2,1,50.0,,,,,,
12,MEANS,True,3,AMONG,YY-G-,4,4,LLM,MAINE,GY-GY,3,3,CSS,MEANS,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,11,99.80458340735477,11,3,72.72727272727273,3,1,66.66666666666666,,,,,,,,,
13,TRUTH,True,2,START,-Y-YY,5,4,LLM,TRUTH,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,,5629,3,99.94670456564221,3,1,66.66666666666666,,,,,,,,,,,,
14,FIRED,False,6,GIVEN,-G-G-,3,3,LLM,RIDES,YGYG-,3,3,CSS,GUESS,--Y--,5.0,5.0,LLM,MIRED,-GGGG,1.0,1.0,CSS,HIRES,-GGG-,2.0,2.0,LLM,TIRED,-GGGG,1.0,1.0,CSS,5629,103,98.1701900870492,103,7,93.20388349514563,7,7,0.0,7,5,28.57142857142857,5,4,20.0,4,3,25.0
15,FOLKS,True,5,LEAST,Y--Y-,5,5,LLM,SOILS,-G-YG,3,3,CSS,GOLDS,-GG-G,2.0,2.0,LLM,YOLKS,-GGGG,1.0,1.0,CSS,FOLKS,GGGGG,0.0,0.0,LLM,,,,,,5629,97,98.27678095576479,97,8,91.75257731958763,8,3,62.5,3,1,66.66666666666666,1,1,0.0,,,
16,CHILE,True,3,WORDS,-----,5,5,LLM,ALICE,-YGYG,3,3,CSS,CHILE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,1044,81.45318884348907,1044,1,99.90421455938697,1,1,0.0,,,,,,,,,
17,BLACK,True,6,GUESS,-----,5,5,LLM,TRIAD,---Y-,5,5,CSS,PAOLA,-Y-Y-,5.0,5.0,LLM,BLANC,GGG-Y,2.0,2.0,CSS,QUINT,-----,5.0,5.0,LLM,BLACK,GGGGG,0.0,0.0,CSS,5629,1270,77.43826612186889,1270,131,89.68503937007874,131,9,93.12977099236642,9,1,88.88888888888889,1,1,0.0,1,1,0.0
18,GRANT,True,2,START,--GYG,3,3,LLM,GRANT,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,,5629,7,99.87564398649849,7,1,85.71428571428571,,,,,,,,,,,,
19,MEALS,True,3,ONSET,--YY-,5,5,LLM,SEALS,-GGGG,1,1,CSS,MEALS,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,236,95.80742583052051,236,4,98.30508474576271,4,1,75.0,,,,,,,,,
20,CREAM,True,3,START,--YY-,5,5,LLM,CARER,GYYY-,4,3,CSS,CREAM,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,333,94.0842067862853,333,1,99.69969969969969,1,1,0.0,,,,,,,,,
21,AWAKE,True,6,FIFTH,-----,5,5,LLM,CORES,---Y-,5,5,CSS,SMILE,----G,4.0,4.0,LLM,DEANE,--G-G,3.0,3.0,CSS,AGAVE,G-G-G,2.0,2.0,LLM,AWAKE,GGGGG,0.0,0.0,CSS,5629,2359,58.09202344999112,2359,162,93.13268334039847,162,32,80.24691358024691,32,4,87.5,4,1,75.0,1,1,0.0
22,OCCUR,True,4,GUESS,-Y---,5,5,LLM,MOURN,-YYY-,5,4,CSS,TROUT,-YYG-,4.0,4.0,LLM,OCCUR,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,154,97.26416770296677,154,6,96.1038961038961,6,1,83.33333333333334,1,1,0.0,,,,,,
23,YEARS,True,5,GIVEN,---Y-,5,5,LLM,PEARS,-GGGG,1,1,CSS,HEARS,-GGGG,1.0,1.0,LLM,FEARS,-GGGG,1.0,1.0,CSS,YEARS,GGGGG,0.0,0.0,LLM,,,,,,5629,743,86.800497424054,743,9,98.78869448183042,9,8,11.11111111111111,8,7,12.5,7,1,85.71428571428571,,,
24,GRADE,True,3,GREEN,GGY--,3,3,LLM,GRAPE,GGG-G,1,1,CSS,GRADE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,10,99.82234855214071,10,5,50.0,5,1,80.0,,,,,,,,,
25,CHILL,True,4,START,-----,5,5,LLM,CONDE,G----,4,4,CSS,CIVIL,GY--G,3.0,3.0,LLM,CHILL,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,852,84.86409664238764,852,16,98.12206572769952,16,1,93.75,1,1,0.0,,,,,,
26,FLOOD,True,5,START,-----,5,5,LLM,CONDE,-Y-Y-,5,4,CSS,LLOYD,-GG-G,2.0,2.0,LLM,BLOOD,-GGGG,1.0,1.0,CSS,FLOOD,GGGGG,0.0,0.0,LLM,,,,,,5629,852,84.86409664238764,852,9,98.94366197183099,9,2,77.77777777777779,2,1,50.0,1,1,0.0,,,
27,APPLY,True,6,COULD,---G-,4,4,LLM,SALLE,-Y-G-,4,4,CSS,AYALA,GY-G-,3.0,3.0,LLM,AMPLY,G-GGG,1.0,1.0,CSS,APPLI,GGGG-,1.0,1.0,LLM,APPLY,GGGGG,0.0,0.0,CSS,5629,171,96.96216024160597,171,6,96.49122807017544,6,3,50.0,3,1,66.66666666666666,1,1,0.0,1,1,0.0
28,SMILE,True,4,COULD,---G-,4,4,LLM,SALLE,G--GG,2,2,CSS,STYLE,G--GG,2.0,2.0,LLM,SMILE,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,171,96.96216024160597,171,2,98.83040935672514,2,1,50.0,1,1,0.0,,,,,,
29,KNOCK,True,4,BRAVE,-----,5,5,LLM,SLOTH,--G--,4,4,CSS,SLOOP,--G--,4.0,4.0,LLM,KNOCK,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,877,84.41996802273938,877,13,98.51767388825542,13,3,76.92307692307693,3,1,66.66666666666666,,,,,,
30,SLEEP,True,3,GIVEN,---G-,4,4,LLM,LASER,Y-YG-,4,4,CSS,SLEEP,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,502,91.08189731746313,502,16,96.81274900398407,16,1,93.75,,,,,,,,,
31,BRICK,True,4,COULD,Y----,5,5,LLM,SINCE,-Y-G-,4,4,CSS,TRICK,-GGGG,1.0,1.0,LLM,BRICK,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,209,96.28708473974062,209,8,96.17224880382776,8,3,62.5,3,1,66.66666666666666,,,,,,
32,WROTE,True,6,COULD,-Y---,5,5,LLM,ASTON,--YY-,5,5,CSS,GROUP,-GG--,3.0,3.0,LLM,TROVE,YGG-G,2.0,2.0,CSS,WRITE,GG-GG,1.0,1.0,LLM,WROTE,GGGGG,0.0,0.0,CSS,5629,390,93.0715935334873,390,13,96.66666666666667,13,5,61.53846153846154,5,1,80.0,1,1,0.0,1,1,0.0
33,RATED,True,3,TEARS,YYYY-,5,5,LLM,CATER,-GGGY,2,2,CSS,RATED,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,17,99.69799253863918,17,1,94.11764705882352,1,1,0.0,,,,,,,,,
34,ALERT,True,3,START,--YGG,3,3,LLM,AVERT,G-GGG,1,1,CSS,ALERT,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,3,99.94670456564221,3,1,66.66666666666666,1,1,0.0,,,,,,,,,
35,CAGES,True,3,GIVEN,Y--G-,4,4,LLM,EAGER,-GGG-,2,2,CSS,CAGES,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,31,99.44928051163618,31,9,70.96774193548387,9,1,88.88888888888889,,,,,,,,,
36,TEDDY,True,3,LARGE,----Y,5,5,LLM,DENTS,YG-Y-,4,4,CSS,TEDDY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,485,91.38390477882395,485,3,99.38144329896907,3,1,66.66666666666666,,,,,,,,,
37,COLES,False,6,STAGE,Y---Y,5,5,LLM,LINES,Y--GG,3,3,CSS,ROLES,-GGGG,1.0,1.0,LLM,HOLES,-GGGG,1.0,1.0,CSS,POLES,-GGGG,1.0,1.0,LLM,FOLES,-GGGG,1.0,1.0,CSS,5629,287,94.9014034464381,287,15,94.77351916376307,15,5,66.66666666666666,5,4,20.0,4,3,25.0,3,2,33.33333333333333
