game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6
1,PHOTO,True,5,ARISE,-----,5,5,LLM,LUNDY,-----,5,5,CSS,CHOCK,-GG--,3.0,3.0,LLM,WHOOP,-GGYY,3.0,3.0,CSS,PHOTO,GGGGG,0.0,0.0,LLM,,,,,,5629,265,95.29223663172854,265,18,93.20754716981132,18,2,88.88888888888889,2,1,50.0,1,1,0.0,,,
2,PARTY,True,5,ARISE,YY---,5,4,LLM,MARLA,-GG--,3,3,CSS,GARBO,-GG--,3.0,3.0,LLM,DARTH,-GGG-,2.0,2.0,CSS,PARTY,GGGGG,0.0,0.0,LLM,,,,,,5629,185,96.71344821460295,185,23,87.56756756756758,23,10,56.52173913043478,10,1,90.0,1,1,0.0,,,
3,TRICK,True,5,ARISE,-GG--,3,3,LLM,PRINT,-GG-Y,3,3,CSS,FRITZ,-GGY-,3.0,3.0,LLM,TRILL,GGG--,2.0,2.0,CSS,TRICK,GGGGG,0.0,0.0,LLM,,,,,,5629,29,99.48481080120803,29,4,86.20689655172413,4,2,50.0,2,1,50.0,1,1,0.0,,,
4,DIRTY,True,4,ARISE,-YY--,5,5,LLM,RINGO,YG---,4,4,CSS,BIRDY,-GGYG,2.0,2.0,LLM,DIRTY,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,49,99.12950790548943,49,8,83.6734693877551,8,1,87.5,1,1,0.0,,,,,,
5,USUAL,True,4,ARISE,Y--Y-,5,5,LLM,HALTS,-YY-Y,5,5,CSS,SCALP,Y-YY-,5.0,3.0,LLM,USUAL,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,271,95.18564576301297,271,10,96.30996309963099,10,1,90.0,1,1,0.0,,,,,,
6,TRULY,True,4,AUDIO,-Y---,5,5,LLM,SHUNT,--G-Y,4,4,CSS,TRUCK,GGG--,2.0,2.0,LLM,TRULY,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,153,97.2819328477527,153,7,95.42483660130719,7,3,57.14285714285714,3,1,66.66666666666666,,,,,,
7,SPENT,True,4,ARISE,---YY,5,5,LLM,PEELS,Y-G-Y,4,4,CSS,SPECK,GGG--,2.0,2.0,LLM,SPENT,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,256,95.45212293480192,256,5,98.046875,5,2,60.0,2,1,50.0,,,,,,
8,PAUSE,True,3,ARISE,Y--GG,3,3,LLM,LAPSE,-GYGG,2,2,CSS,PAUSE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,11,99.80458340735477,11,1,90.9090909090909,1,1,0.0,,,,,,,,,
9,CRAZY,True,5,ARISE,YG---,4,4,LLM,GRANT,-GG--,3,3,CSS,DRAMA,-GG--,3.0,3.0,LLM,BRAWL,-GG--,3.0,3.0,CSS,CRAZY,GGGGG,0.0,0.0,LLM,,,,,,5629,55,99.02291703677385,55,14,74.54545454545455,14,6,57.14285714285714,6,2,66.66666666666666,2,1,50.0,,,
10,BASES,False,6,ARISE,Y--YY,5,4,LLM,TALES,-G-GG,2,2,CSS,HAVES,-G-GG,2.0,2.0,LLM,GAMES,-G-GG,2.0,2.0,CSS,FAKES,-G-GG,2.0,2.0,LLM,CASES,-GGGG,1.0,1.0,CSS,5629,142,97.47734944039794,142,47,66.90140845070422,47,36,23.404255319148938,36,21,41.66666666666667,21,11,47.61904761904761,11,2,81.81818181818183
