game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6
1,PHOTO,True,3,ARISE,-----,5,5,LLM,GOOCH,-YG-Y,4,4,CSS,PHOTO,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,265,95.29223663172854,265,2,99.24528301886792,2,1,50.0,,,,,,,,,
2,PARTY,True,3,ARISE,YY---,5,4,LLM,PORTA,G-GGY,2,2,CSS,PARTY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,185,96.71344821460295,185,1,99.45945945945947,1,1,0.0,,,,,,,,,
3,TRICK,True,4,ARISE,-GG--,3,3,LLM,CRIMP,YGG--,3,3,CSS,BRICK,-GGGG,1.0,1.0,LLM,TRICK,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,29,99.48481080120803,29,3,89.65517241379311,3,2,33.33333333333333,2,1,50.0,,,,,,
4,DIRTY,True,4,AUDIO,--YY-,5,5,LLM,LINDY,-G-YG,3,3,CSS,DICKY,GG--G,2.0,2.0,LLM,DIRTY,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,112,98.01030378397584,112,6,94.64285714285714,6,4,33.33333333333333,4,1,75.0,,,,,,
5,USUAL,True,4,ARISE,Y--Y-,5,5,LLM,SAGAN,Y--G-,4,4,CSS,DUMAS,-Y-GY,4.0,4.0,LLM,USUAL,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,271,95.18564576301297,271,7,97.41697416974169,7,1,85.71428571428571,1,1,0.0,,,,,,
6,TRULY,True,3,AUDIO,-Y---,5,5,LLM,TRUNK,GGG--,2,2,CSS,TRULY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,153,97.2819328477527,153,7,95.42483660130719,7,1,85.71428571428571,,,,,,,,,
7,SPENT,True,4,ARISE,---YY,5,5,LLM,SPELL,GGG--,2,2,CSS,SPEED,GGG--,2.0,2.0,LLM,SPENT,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,256,95.45212293480192,256,5,98.046875,5,3,40.0,3,1,66.66666666666666,,,,,,
8,PAUSE,True,3,ARISE,Y--GG,3,3,LLM,PHASE,G-YGG,2,2,CSS,PAUSE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,11,99.80458340735477,11,1,90.9090909090909,1,1,0.0,,,,,,,,,
9,CRAZY,True,4,ARISE,YG---,4,4,LLM,FRAUD,-GG--,3,3,CSS,GRAVY,-GG-G,2.0,2.0,LLM,CRAZY,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,55,99.02291703677385,55,27,50.90909090909091,27,2,92.5925925925926,2,1,50.0,,,,,,
10,BASES,True,5,ARISE,Y--YY,5,4,LLM,LACES,-G-GG,2,2,CSS,SAVES,YG-GG,2.0,2.0,LLM,EASES,-GGGG,1.0,1.0,CSS,BASES,GGGGG,0.0,0.0,LLM,,,,,,5629,142,97.47734944039794,142,49,65.49295774647888,49,3,93.87755102040816,3,2,33.33333333333333,2,1,50.0,,,
11,YOUNG,True,4,AUDIO,-Y--Y,5,5,LLM,CLOUT,--YY-,5,4,CSS,YOURS,GGG--,2.0,2.0,LLM,YOUNG,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,85,98.48996269319595,85,20,76.47058823529412,20,2,90.0,2,1,50.0,,,,,,
12,MEANS,False,6,ARISE,Y--YY,5,5,LLM,SWEAT,Y-YY-,5,4,CSS,BASES,-Y-YG,4.0,4.0,LLM,LEAPS,-GG-G,2.0,2.0,CSS,JEANS,-GGGG,1.0,1.0,LLM,DEANS,-GGGG,1.0,1.0,CSS,5629,142,97.47734944039794,142,76,46.478873239436616,76,16,78.94736842105263,16,4,75.0,4,2,50.0,2,1,50.0
13,TRUTH,True,3,SLATE,---G-,4,4,LLM,FORTH,--YGG,3,3,CSS,TRUTH,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,58,98.96962160241605,58,1,98.27586206896551,1,1,0.0,,,,,,,,,
14,FIRED,True,4,ARISE,-YY-Y,5,4,LLM,WIDER,-GYGY,3,3,CSS,TIRED,-GGGG,1.0,1.0,LLM,FIRED,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,62,98.89856102327234,62,5,91.93548387096774,5,3,40.0,3,1,66.66666666666666,,,,,,
15,FOLKS,True,5,ARISE,---Y-,5,5,LLM,COCOS,-G--G,3,3,CSS,TOUCH,-G---,4.0,4.0,LLM,POLLS,-GG-G,2.0,2.0,CSS,FOLKS,GGGGG,0.0,0.0,LLM,,,,,,5629,277,95.07905489429739,277,51,81.58844765342961,51,20,60.78431372549019,20,5,75.0,5,1,80.0,,,
16,CHILE,True,4,ARISE,--G-G,3,3,LLM,GUILE,--GGG,2,2,CSS,WHILE,-GGGG,1.0,1.0,LLM,CHILE,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,27,99.52034109077988,27,4,85.18518518518519,4,1,75.0,1,1,0.0,,,,,,
17,BLACK,True,5,ARISE,Y----,5,5,LLM,NANNY,-Y---,5,5,CSS,CHAMP,Y-G--,4.0,4.0,LLM,FLACK,-GGGG,1.0,1.0,CSS,BLACK,GGGGG,0.0,0.0,LLM,,,,,,5629,389,93.08935867827323,389,84,78.40616966580977,84,4,95.23809523809523,4,1,75.0,1,1,0.0,,,
18,GRANT,True,3,ARISE,YG---,4,4,LLM,GRAFT,GGG-G,1,1,CSS,GRANT,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,55,99.02291703677385,55,1,98.18181818181819,1,1,0.0,,,,,,,,,
19,MEALS,True,2,ARISE,Y--YY,5,5,LLM,MEALS,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,,5629,142,97.47734944039794,142,1,99.29577464788733,,,,,,,,,,,,
20,CREAM,True,6,ARISE,YG--Y,4,4,LLM,DREAD,-GGG-,2,2,CSS,GREAT,-GGG-,2.0,2.0,LLM,BREAK,-GGG-,2.0,2.0,CSS,OREAL,-GGG-,2.0,2.0,LLM,CREAM,GGGGG,0.0,0.0,CSS,5629,15,99.73352282821105,15,8,46.666666666666664,8,6,25.0,6,2,66.66666666666666,2,1,50.0,1,1,0.0
